X1,X2,X3,X4,X5,X6,X7,AVG,RIP
24.5,148.4,2.2,1.1,0.5,15.0,1.5,-1761.6809376984847,0.5485009448704465
23.2,148.4,2.2,1.3,0.5,15.0,1.5,-1726.148150320868,0.5471577708331556
25.0,149.3,2.1,1.1,0.5,15.0,1.5,-1798.3057074050344,0.5541533991301566
24.9,148.9,2.0,1.1,0.5,15.0,1.5,-1791.092048770127,0.5524214505255869
24.5,149.7,2.0,1.1,0.5,15.0,1.5,-1762.6669530173701,0.5488406873600415
24.7,149.3,2.1,1.1,0.5,15.0,1.5,-1782.5770658584584,0.5492440339249914
24.4,149.6,2.1,1.2,0.5,15.0,1.5,-1770.6099581603078,0.5491161283074762
24.4,149.6,2.0,1.3,0.5,15.0,1.5,-1787.3292785576039,0.5495514101367684
25.0,148.7,2.3,1.3,0.5,15.0,1.5,-1826.9819409493425,0.5717022225863044
22.5,148.9,2.1,1.7,0.5,15.0,1.5,-1706.5693583147527,0.5421897763820471
25.0,148.3,2.0,1.3,0.5,15.0,1.5,-1804.9779900941508,0.5582063530138686
24.9,149.4,2.0,1.4,0.5,14.6,1.5,-1828.8924778412675,0.6041590116476611
25.0,148.7,2.0,1.3,0.5,15.0,1.5,-1799.0789825536835,0.5578724823872871
24.9,149.3,2.0,1.4,0.5,14.6,1.5,-1829.529227926373,0.6043197721889636
25.0,149.3,2.0,1.3,0.5,15.0,1.5,-1819.9478270622917,0.5615233724512099
22.2,147.5,2.0,1.8,0.5,15.0,1.5,-1686.6792486630884,0.531902913917826
25.0,149.0,2.0,1.3,0.5,15.0,1.5,-1812.1381467019855,0.5587254513979718
