X1,X2,X3,AVG,RIP
0.5,5.3,1.0,-1364.966417119009,0.22576790155474305
0.5,6.3,1.0,-1381.8707316092712,0.279721657796538
0.5,6.1,1.0,-1378.9689254034124,0.2706578232040595
0.5,5.4,1.0,-1367.4317112075132,0.226293743924624
0.5,5.0,1.0,-1362.1886645357804,0.2055432895226623
0.5,6.2,1.0,-1380.9465093669148,0.27886799162677856
0.5,5.2,1.0,-1364.2533222656937,0.2202935716033784
0.5,15.0,1.0,-1534.9241489253718,0.28621458463457805
0.5,5.1,1.0,-1362.7452690566708,0.21343770449427107
0.5,6.0,1.0,-1375.5825252768727,0.2598416863891641
0.5,5.7,1.0,-1371.2326003878834,0.24300807836886104
0.5,5.6,1.0,-1371.1399391399118,0.23614526499540217
