X1,X2,X3,X4,Tavg,Trip,Tcog,Navg,Nrip,Ncog
9.85,10.925,16.15,14.0,1448.18,18.95,20.62,0.45203213610586335,0.16981132075471672,0.30000000000000154
9.85,10.925,16.15,14.075,1446.99,19.01,20.62,0.4239130434782628,0.18867924528301933,0.30000000000000154
9.85,10.925,16.15,14.15,1448.81,18.85,20.56,0.46691871455576606,0.13836477987421425,0.21428571428571247
9.85,11.0,15.85,13.85,1432.65,20.14,20.85,0.08506616257089182,0.5440251572327046,0.628571428571431
9.85,11.0,15.85,13.925,1434.1,20.16,20.84,0.1193289224952732,0.5503144654088051,0.6142857142857145
9.85,11.0,15.85,14.0,1432.61,20.12,20.83,0.08412098298676632,0.5377358490566041,0.599999999999998
9.85,11.0,15.85,14.075,1458.25,20.01,20.97,0.6899810964083197,0.5031446540880508,0.7999999999999989
9.85,11.0,15.85,14.15,1447.51,19.89,20.63,0.43620037807183515,0.4654088050314467,0.314285714285713
9.85,11.0,15.924999999999999,13.85,1443.88,19.39,20.76,0.35042533081285865,0.30817610062893097,0.5000000000000026
9.85,11.0,15.924999999999999,13.925,1433.68,20.09,20.74,0.10940453686200652,0.5283018867924528,0.4714285714285695
9.85,11.0,15.924999999999999,14.0,1433.24,19.99,20.8,0.09900756143667441,0.4968553459119492,0.5571428571428585
9.85,11.0,15.924999999999999,14.075,1456.76,19.73,20.86,0.6547731568998129,0.41509433962264164,0.6428571428571425
9.85,11.0,15.924999999999999,14.15,1449.36,19.85,20.65,0.47991493383742856,0.45283018867924574,0.342857142857141
9.85,11.0,16.0,13.85,1434.48,19.59,20.78,0.12830812854442514,0.371069182389937,0.5285714285714306
9.85,11.0,16.0,13.925,1443.46,19.27,20.63,0.34050094517958657,0.2704402515723269,0.314285714285713
9.85,11.0,16.0,14.0,1441.07,19.4,20.58,0.2840264650283554,0.3113207547169807,0.24285714285714047
9.85,11.0,16.0,14.075,1457.84,19.79,20.87,0.6802930056710776,0.43396226415094313,0.657142857142859
9.85,11.0,16.0,14.15,1447.97,19.57,20.52,0.44706994328922733,0.36477987421383656,0.1571428571428565
9.85,11.0,16.075,13.85,1441.85,18.93,20.7,0.30245746691871395,0.16352201257861623,0.4142857142857135
9.85,11.0,16.075,13.925,1442.0,18.99,20.69,0.3060018903591698,0.18238993710691773,0.400000000000002
9.85,11.0,16.075,14.0,1434.02,19.58,20.71,0.11743856332703295,0.36792452830188627,0.42857142857143005
9.85,11.0,16.075,14.075,1448.81,19.4,20.55,0.46691871455576606,0.3113207547169807,0.200000000000001
9.85,11.0,16.075,14.15,1460.06,19.69,20.79,0.732750472589793,0.40251572327044066,0.542857142857142
9.85,11.0,16.15,13.85,1457.28,19.22,20.64,0.6670604914933852,0.2547169811320751,0.3285714285714295
9.85,11.0,16.15,13.925,1440.41,18.82,20.65,0.26843100189036256,0.12893081761006295,0.342857142857141
9.85,11.0,16.15,14.0,1441.38,19.01,20.57,0.2913516068052971,0.18867924528301933,0.228571428571429
9.85,11.0,16.15,14.075,1448.31,19.15,20.47,0.45510396975425377,0.2327044025157228,0.08571428571428398
9.85,11.0,16.15,14.15,1448.42,19.17,20.49,0.4577032136105895,0.2389937106918244,0.11428571428571196
9.85,11.075,15.85,13.85,1437.91,20.37,20.86,0.20935727788280106,0.6163522012578619,0.6428571428571425
9.85,11.075,15.85,13.925,1438.63,20.29,20.85,0.22637051039697942,0.5911949685534589,0.628571428571431
9.85,11.075,15.85,14.0,1435.0,20.37,20.81,0.1405954631379975,0.6163522012578619,0.57142857142857
9.85,11.075,15.85,14.075,1436.45,20.52,20.77,0.17485822306238427,0.6635220125786162,0.514285714285714
9.85,11.075,15.85,14.15,1435.24,20.86,20.73,0.14626654064272362,0.7704402515723269,0.457142857142858
9.85,11.075,15.924999999999999,13.85,1437.25,20.21,20.81,0.1937618147448029,0.5660377358490569,0.57142857142857
9.85,11.075,15.924999999999999,13.925,1438.25,20.19,20.75,0.2173913043478275,0.5597484276729564,0.485714285714286
9.85,11.075,15.924999999999999,14.0,1435.63,20.21,20.72,0.1554820415879056,0.5660377358490569,0.4428571428571415
9.85,11.075,15.924999999999999,14.075,1436.26,20.3,20.7,0.1703686200378083,0.5943396226415096,0.4142857142857135
9.85,11.075,15.924999999999999,14.15,1436.2,20.6,20.7,0.1689508506616281,0.6886792452830194,0.4142857142857135
9.85,11.075,16.0,13.85,1437.18,20.06,20.81,0.19210775047259265,0.5188679245283014,0.57142857142857
9.85,11.075,16.0,13.925,1437.61,19.95,20.78,0.20226843100188938,0.4842767295597482,0.5285714285714306
9.85,11.075,16.0,14.0,1434.73,20.02,20.67,0.13421550094518128,0.5062893081761005,0.37142857142857405
9.85,11.075,16.0,14.075,1435.51,20.16,20.69,0.15264650283553985,0.5503144654088051,0.400000000000002
9.85,11.075,16.0,14.15,1444.25,20.0,20.53,0.35916824196597513,0.5,0.171428571428573
9.85,11.075,16.075,13.85,1437.49,19.77,20.74,0.199432892249529,0.4276729559748426,0.4714285714285695
9.85,11.075,16.075,13.925,1444.06,19.34,20.59,0.35467863894139917,0.2924528301886792,0.257142857142857
9.85,11.075,16.075,14.0,1435.75,19.88,20.67,0.15831758034026597,0.4622641509433959,0.37142857142857405
9.85,11.075,16.075,14.075,1446.45,19.35,20.58,0.41115311909263036,0.29559748427673,0.24285714285714047
9.85,11.075,16.075,14.15,1444.11,19.65,20.54,0.35586011342154933,0.3899371069182385,0.18571428571428447
9.85,11.075,16.15,13.85,1443.64,19.24,20.59,0.3447542533081325,0.2610062893081756,0.257142857142857
9.85,11.075,16.15,13.925,1438.86,19.64,20.62,0.23180529300567013,0.38679245283018887,0.30000000000000154
9.85,11.075,16.15,14.0,1447.51,19.07,20.54,0.43620037807183515,0.20754716981132082,0.18571428571428447
9.85,11.075,16.15,14.075,1436.33,19.61,20.57,0.17202268431001852,0.37735849056603754,0.228571428571429
9.85,11.075,16.15,14.15,1445.28,19.31,20.49,0.38350661625708987,0.2830188679245279,0.11428571428571196
9.85,11.15,15.85,13.85,1440.41,20.52,20.81,0.26843100189036256,0.6635220125786162,0.57142857142857
9.85,11.15,15.85,13.925,1439.42,20.78,20.8,0.245037807183368,0.7452830188679249,0.5571428571428585
9.85,11.15,15.85,14.0,1440.01,21.0,20.77,0.2589792060491506,0.8144654088050315,0.514285714285714
9.85,11.15,15.85,14.075,1438.78,21.3,20.71,0.2299149338374299,0.9088050314465411,0.42857142857143005
9.85,11.15,15.85,14.15,1437.07,21.59,20.68,0.18950850661625696,1.0,0.3857142857142855
9.85,11.15,15.924999999999999,13.85,1439.73,20.36,20.76,0.25236294896030437,0.6132075471698112,0.5000000000000026
9.85,11.15,15.924999999999999,13.925,1439.18,20.47,20.74,0.2393667296786419,0.6477987421383644,0.4714285714285695
9.85,11.15,15.924999999999999,14.0,1440.15,20.83,20.71,0.2622873345935764,0.7610062893081756,0.42857142857143005
9.85,11.15,15.924999999999999,14.075,1438.53,21.03,20.63,0.22400756143667375,0.8238993710691828,0.314285714285713
9.85,11.15,15.924999999999999,14.15,1437.73,21.27,20.61,0.20510396975425513,0.8993710691823898,0.285714285714285
9.85,11.15,16.0,13.85,1439.1,20.11,20.71,0.23747637051039625,0.5345911949685532,0.42857142857143005
9.85,11.15,16.0,13.925,1438.45,20.31,20.74,0.22211720226843348,0.5974842767295594,0.4714285714285695
9.85,11.15,16.0,14.0,1439.72,20.62,20.69,0.2521266540642743,0.6949685534591198,0.400000000000002
9.85,11.15,16.0,14.075,1438.6,20.83,20.64,0.22566162570888396,0.7610062893081756,0.3285714285714295
9.85,11.15,16.0,14.15,1437.25,21.16,20.59,0.1937618147448029,0.8647798742138365,0.257142857142857
9.85,11.15,16.075,13.85,1439.95,19.93,20.7,0.2575614366729704,0.4779874213836477,0.4142857142857135
9.85,11.15,16.075,13.925,1439.51,20.12,20.69,0.24716446124763827,0.5377358490566041,0.400000000000002
9.85,11.15,16.075,14.0,1440.67,20.31,20.65,0.2745746691871488,0.5974842767295594,0.342857142857141
9.85,11.15,16.075,14.075,1445.2,20.11,20.58,0.3816162570888496,0.5345911949685532,0.24285714285714047
9.85,11.15,16.075,14.15,1436.33,20.8,20.55,0.17202268431001852,0.7515723270440254,0.200000000000001
9.85,11.15,16.15,13.85,1449.0,19.28,20.59,0.4714083175803421,0.2735849056603777,0.257142857142857
