X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
23.8,132.3,2.19,0.27,1.38,2.68,1.76,14.01,-42.0,-1676.35,66.23
20.72,118.7,1.63,0.77,2.49,2.4,1.67,10.34,-44.0,-1320.93,47.72
19.16,109.3,1.32,0.1,2.31,2.2,1.58,13.11,-46.0,-1376.5,41.26
20.44,112.3,1.01,0.75,1.28,2.43,1.89,10.11,-46.0,-1082.12,74.79
18.24,129.8,3.46,0.54,1.13,2.5,1.91,14.27,-42.0,-1390.43,54.83
23.62,115.4,1.54,0.19,2.05,2.78,1.99,11.02,-44.0,-1611.56,66.75
24.59,124.3,0.61,0.71,2.13,2.58,1.61,11.34,-44.0,-1530.91,71.94
23.46,94.3,3.23,0.63,0.5,2.05,1.51,10.33,-44.0,-1447.09,84.04
19.78,97.9,0.5,0.4,3.91,2.05,1.55,10.63,-44.0,-1134.45,86.22
24.09,92.1,1.37,0.17,0.92,2.43,1.57,11.32,-44.0,-1371.43,79.71
23.19,84.8,3.15,0.27,0.5,2.17,1.67,11.83,-45.0,-1434.44,79.2
19.34,101.0,1.26,0.03,3.01,2.05,1.51,12.61,-48.0,-1474.26,39.43
18.26,128.8,2.45,0.69,2.08,2.46,1.65,10.05,-44.0,-1210.01,44.94
24.37,127.5,2.64,0.23,0.81,2.28,1.66,10.87,-44.0,-1759.76,82.14
21.07,93.1,0.92,0.19,2.96,2.1,1.6,11.74,-47.0,-1420.33,33.85
23.17,107.5,3.36,0.9,0.5,2.06,1.55,10.33,-44.0,-1459.86,84.77
21.69,98.2,0.55,0.35,2.22,2.28,1.73,12.29,-44.0,-1276.82,43.25
22.55,97.1,0.94,0.31,2.27,2.36,1.86,10.65,-45.0,-1426.73,47.52
22.74,94.2,3.39,0.35,0.5,2.32,1.65,13.67,-43.0,-1400.48,69.48
21.75,124.0,0.78,0.23,1.23,2.82,1.86,12.77,-44.0,-1274.75,71.12
18.05,126.8,1.91,0.92,2.97,2.3,1.56,14.88,-41.0,-1271.04,46.97
24.45,94.0,0.5,0.06,3.04,2.3,1.7,11.5,-45.0,-1537.55,34.19
15.8,132.4,1.8,0.53,2.23,2.16,1.6,10.38,-46.0,-1056.49,29.9
17.17,120.7,3.03,0.18,1.74,2.16,1.66,12.79,-46.0,-1501.81,51.4
19.03,120.7,3.01,0.99,1.47,2.42,1.92,14.29,-42.0,-1398.76,58.91
22.29,101.3,1.93,0.78,1.81,2.44,1.88,13.07,-44.0,-1482.72,65.84
19.02,115.8,0.51,0.78,3.64,2.18,1.56,11.1,-43.0,-1055.24,63.97
18.02,130.6,2.4,0.29,0.98,2.46,1.81,11.62,-45.0,-1175.36,52.56
18.15,110.1,3.57,0.45,0.97,2.08,1.58,10.66,-45.0,-1295.53,58.49
19.33,132.7,2.37,0.77,2.27,2.67,1.92,10.34,-44.0,-1312.01,55.72
20.73,135.4,0.66,0.2,3.47,2.48,1.85,12.7,-44.0,-1405.45,38.32
24.49,109.9,0.5,0.01,3.13,2.2,1.66,14.73,-43.0,-1709.58,22.93
24.28,131.7,1.51,0.86,1.97,2.54,1.7,12.53,-43.0,-1613.52,71.31
16.9,137.2,1.53,0.1,1.01,2.37,1.86,12.82,-43.0,-991.6,30.77
22.95,100.6,0.5,0.7,3.38,2.49,1.82,10.9,-42.0,-1283.85,46.07
21.36,90.0,3.56,0.62,0.5,2.07,1.57,11.79,-44.0,-1282.48,73.52
18.3,115.8,1.44,0.81,1.53,2.22,1.72,14.28,-42.0,-1161.72,41.56
18.12,131.4,1.35,0.18,3.26,2.34,1.53,12.1,-46.0,-1283.11,36.4
21.84,125.3,0.57,0.93,2.92,2.55,1.59,10.69,-46.0,-1246.06,56.48
19.5,103.1,2.03,0.69,0.86,2.12,1.51,13.37,-43.0,-1169.96,53.52
24.49,110.7,0.51,0.01,3.13,2.17,1.66,10.18,-44.0,-1593.25,47.1
20.7,104.7,1.01,0.2,3.3,2.18,1.61,13.46,-46.0,-1457.55,42.13
18.01,114.6,1.42,0.24,1.53,2.15,1.65,11.67,-45.0,-1086.02,33.91
15.92,132.4,1.8,0.76,2.23,2.2,1.6,10.62,-46.0,-1013.97,35.01
23.83,107.5,3.24,0.9,0.5,2.06,1.55,10.33,-44.0,-1495.52,87.14
17.6,124.4,1.28,0.35,2.34,2.29,1.63,10.33,-46.0,-1086.13,27.96
22.99,83.0,2.22,0.6,0.5,2.1,1.6,13.98,-43.0,-1362.38,67.58
19.03,131.7,3.1,0.02,1.09,2.42,1.92,14.29,-44.0,-1578.35,63.02
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.9,-46.0,-998.4,67.24
21.2,97.8,0.54,0.99,3.62,2.21,1.71,13.73,-43.0,-1156.09,25.91
24.36,127.8,1.97,0.96,1.11,2.14,1.58,12.36,-43.0,-1651.21,78.13
23.46,102.2,0.93,0.31,2.59,2.01,1.51,14.66,-43.0,-1685.73,36.18
22.55,109.1,0.94,0.31,1.99,2.37,1.86,10.65,-45.0,-1452.72,55.0
15.22,135.8,3.39,0.85,1.07,2.16,1.57,12.52,-45.0,-1036.22,45.19
23.8,132.3,2.11,0.27,1.7,2.5,1.76,12.67,-44.0,-1756.39,74.38
23.74,97.5,0.55,0.19,2.05,2.51,1.72,11.02,-44.0,-1389.07,63.73
18.33,133.5,3.63,0.98,0.99,2.1,1.59,10.71,-44.0,-1257.9,60.04
17.4,120.4,0.92,0.19,2.96,2.15,1.65,11.51,-48.0,-1215.24,50.97
21.76,105.7,1.6,0.23,1.23,2.37,1.78,12.15,-45.0,-1397.85,63.12
21.1,93.1,1.0,0.19,1.46,2.1,1.6,11.74,-45.0,-1191.05,54.22
20.71,97.9,2.43,0.42,1.56,2.05,1.55,10.63,-45.0,-1474.66,65.98
22.69,94.2,3.39,0.33,0.5,2.32,1.65,13.66,-43.0,-1393.68,69.35
22.29,116.7,1.87,0.78,1.81,2.44,1.88,13.07,-44.0,-1537.65,65.5
23.11,94.5,3.28,0.63,0.5,2.05,1.51,10.33,-44.0,-1420.79,82.81
19.02,138.8,2.37,0.77,2.27,2.31,1.55,10.34,-44.0,-1327.12,50.71
24.11,115.8,1.44,0.81,1.53,2.49,1.99,14.28,-42.0,-1643.92,63.07
23.11,97.1,0.94,0.31,2.27,2.43,1.93,10.65,-45.0,-1467.59,49.28
22.35,121.8,3.52,0.97,0.55,2.44,1.82,10.5,-44.0,-1431.58,83.6
23.7,85.3,1.01,0.2,0.51,2.23,1.7,11.63,-45.0,-1237.54,86.23
18.16,124.1,1.35,0.14,2.39,2.36,1.66,12.1,-46.0,-1263.54,34.51
24.37,135.6,2.73,0.23,0.81,2.28,1.66,12.75,-44.0,-1753.83,75.91
16.9,130.6,1.46,0.1,1.01,2.31,1.81,12.82,-43.0,-950.14,28.24
19.19,118.1,0.5,0.29,1.01,2.14,1.59,11.73,-46.0,-984.87,67.86
18.97,103.1,1.97,0.69,1.14,2.05,1.55,13.38,-43.0,-1215.93,48.67
24.89,119.9,1.48,0.53,0.86,2.52,1.95,11.48,-44.0,-1621.11,81.88
24.59,109.5,0.5,0.01,3.11,2.2,1.66,14.73,-43.0,-1720.16,23.93
18.26,128.8,2.45,0.69,2.08,2.46,1.65,10.15,-44.0,-1201.04,45.79
17.58,135.2,2.54,0.88,2.02,2.51,1.73,13.08,-43.0,-1216.62,41.61
24.0,108.6,0.77,0.23,1.23,2.82,1.86,12.77,-44.0,-1414.88,77.23
24.94,119.9,1.43,0.79,1.22,2.5,1.96,11.45,-44.0,-1629.32,77.73
18.26,128.0,2.48,0.62,2.08,2.46,1.67,14.65,-41.0,-1357.61,49.55
19.2,135.4,0.66,0.2,3.47,2.36,1.85,12.7,-46.0,-1391.28,49.16
18.31,130.6,2.4,0.86,0.98,2.46,1.81,14.23,-41.0,-1229.46,48.77
24.23,115.7,0.73,0.45,2.72,2.43,1.86,10.63,-43.0,-1579.02,49.44
23.17,109.9,2.12,0.48,0.54,2.66,1.71,14.82,-40.0,-1447.17,63.53
22.74,94.2,3.4,0.64,0.5,2.32,1.65,13.68,-43.0,-1353.96,69.47
21.36,89.9,3.53,0.62,0.55,2.07,1.57,11.85,-44.0,-1297.95,72.87
23.76,120.6,0.71,0.99,1.47,2.49,1.55,12.11,-45.0,-1445.31,74.14
20.17,105.6,1.59,0.4,2.57,2.13,1.55,10.63,-46.0,-1389.69,38.16
19.34,115.8,1.26,0.03,2.97,2.1,1.56,12.61,-47.0,-1506.47,37.39
