X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
19.78,98.0,2.45,0.4,1.71,2.0,1.5,10.55,10.02,-39.0,-1526.32,55.1
24.88,135.9,2.66,0.44,0.69,2.52,1.74,12.11,5.7,-29.0,-2104.67,63.22
21.32,123.4,2.38,0.65,1.04,2.34,1.76,10.34,2.94,-44.0,-1481.44,78.1
19.48,122.9,1.62,0.53,2.97,2.01,1.5,11.06,4.23,-47.0,-1390.23,42.08
19.13,117.4,0.61,0.92,0.73,2.36,1.53,11.0,6.76,-34.0,-1314.95,99.78
24.45,110.0,0.9,0.82,2.55,2.73,1.76,10.09,8.46,-30.0,-1782.91,41.21
24.57,85.2,0.73,0.74,2.48,2.0,1.5,10.07,3.58,-45.0,-1419.46,40.57
20.18,122.8,0.58,0.72,1.26,2.4,1.69,14.49,8.32,-25.0,-1939.09,66.63
18.41,128.4,0.81,0.54,3.86,2.49,1.91,13.55,9.52,-34.0,-1421.88,78.72
23.98,120.4,1.98,0.45,1.63,2.63,1.83,11.91,6.57,-34.0,-1948.24,63.18
19.6,132.7,1.53,0.29,0.96,2.35,1.84,11.06,4.25,-41.0,-1356.25,73.42
21.15,120.1,1.72,0.27,2.31,2.7,1.98,10.61,8.45,-40.0,-1630.44,54.83
22.46,117.3,2.78,0.3,1.01,2.22,1.59,11.66,6.35,-41.0,-1725.17,72.15
15.8,136.2,1.14,0.81,3.56,2.25,1.75,10.7,7.47,-45.0,-979.45,70.07
15.11,132.9,0.56,0.77,2.3,2.08,1.5,10.3,0.94,-46.0,-693.07,64.16
19.78,97.9,0.5,0.71,3.92,2.0,1.5,10.63,9.1,-29.0,-1123.71,124.58
21.18,118.2,3.72,0.56,0.56,2.4,1.67,12.41,9.4,-25.0,-1897.22,75.04
17.95,118.5,3.92,0.46,0.82,2.22,1.72,10.96,6.32,-44.0,-1284.87,73.91
23.5,134.2,3.2,0.92,0.5,2.16,1.61,11.56,2.81,-43.0,-1620.45,79.6
15.89,136.6,1.06,0.83,2.71,2.27,1.72,10.07,5.63,-40.0,-1004.01,69.94
22.66,90.2,0.51,0.43,3.3,2.16,1.57,13.85,0.29,-43.0,-1378.1,21.05
19.92,118.3,2.21,0.19,0.95,2.49,1.88,11.18,11.48,-25.0,-1841.07,73.44
18.14,106.4,1.82,0.61,2.7,2.01,1.51,10.28,10.38,-38.0,-1368.47,50.48
19.28,125.3,0.74,0.2,3.65,2.5,1.85,13.72,7.1,-46.0,-1338.13,29.28
24.82,109.4,0.67,0.86,2.67,2.89,1.91,12.09,6.09,-34.0,-1750.56,43.41
24.4,108.3,2.93,0.84,0.5,2.45,1.72,13.99,4.57,-32.0,-1866.19,64.94
20.0,118.2,3.5,0.25,0.69,2.5,1.93,12.76,1.63,-45.0,-1376.58,76.1
17.33,125.1,1.88,0.15,3.11,2.22,1.53,10.46,2.06,-47.0,-1302.7,30.11
24.87,82.2,0.51,0.93,2.61,2.29,1.76,10.58,4.48,-42.0,-1407.02,32.82
24.97,93.9,0.5,0.55,3.03,2.36,1.63,10.33,6.05,-43.0,-1441.82,20.23
24.82,110.9,0.67,0.86,2.67,2.52,1.9,12.18,6.0,-38.0,-1690.95,33.8
19.13,114.5,1.4,0.51,1.71,2.0,1.5,13.87,6.77,-37.0,-1542.78,62.09
15.22,135.8,3.39,0.02,1.12,2.16,1.57,13.96,5.52,-48.0,-1254.98,57.22
19.28,124.6,1.74,0.21,2.66,2.53,1.87,13.72,3.42,-48.0,-1475.28,61.74
22.63,89.4,0.5,0.14,3.33,2.15,1.56,10.42,0.59,-44.0,-1362.53,54.41
22.47,138.5,2.4,0.82,1.4,2.45,1.74,10.07,5.65,-42.0,-1673.57,74.39
18.82,120.0,0.7,0.54,3.86,2.36,1.5,11.84,7.2,-44.0,-1086.35,74.46
21.42,120.1,1.72,0.27,2.31,2.7,1.98,13.32,8.26,-33.0,-1906.96,61.22
19.33,130.4,2.64,0.77,1.75,2.67,1.92,14.39,8.79,-26.0,-1928.45,80.69
15.45,132.8,1.16,0.29,0.96,2.13,1.63,11.08,12.17,-25.0,-1477.48,95.51
22.26,136.0,2.07,0.96,1.93,2.31,1.8,12.85,0.05,-44.0,-1610.66,67.59
19.9,107.9,0.55,0.59,0.79,2.24,1.63,14.46,8.63,-25.0,-1847.55,73.07
23.54,120.3,2.46,0.3,1.01,2.14,1.59,11.73,6.35,-38.0,-1884.12,68.42
20.48,127.2,0.84,0.3,0.5,2.5,1.78,13.99,4.57,-30.0,-1591.05,79.41
16.15,136.0,2.07,0.58,1.9,2.0,1.5,12.01,11.04,-29.0,-1526.14,69.34
22.0,108.1,1.39,0.33,2.47,2.54,1.77,11.78,0.92,-45.0,-1452.85,49.86
23.65,119.9,0.85,0.65,2.96,2.32,1.51,10.17,7.48,-41.0,-1512.39,23.09
23.56,111.5,0.5,0.89,3.26,2.64,1.72,13.37,5.48,-35.0,-1558.15,55.12
24.62,132.1,2.58,0.03,0.83,2.3,1.73,11.88,6.36,-32.0,-2089.21,60.77
19.23,130.7,0.5,0.66,0.5,2.48,1.93,12.71,7.83,-25.0,-1697.03,102.36
22.06,98.1,3.16,0.04,0.5,2.0,1.5,13.72,7.21,-32.0,-1834.84,60.86
17.33,124.6,1.99,0.86,3.01,2.26,1.57,10.3,1.94,-46.0,-1100.9,26.3
19.36,102.9,2.35,0.95,1.92,2.09,1.59,10.54,9.16,-39.0,-1417.79,60.63
