X1,X2,X3,X4,X5,Tavg,SNavg,Trip,SNrip
15.0,90.0,1.0,1.0,1.5,622.7199814765406,55.88585602667388,-0.44068217530143033,7.117490309283607
15.0,105.0,1.25,1.25,1.75,673.2956785665624,56.56411654063713,-0.47726228607525484,6.424857656548336
15.0,120.0,1.5,1.5,2.0,709.1562491940824,57.01483868635837,-0.5146931299849892,5.769032571640169
15.0,135.0,1.75,1.75,2.25,0.0,0.0,0.0,0.0
15.0,150.0,4.0,4.0,2.5,0.0,0.0,0.0,0.0
17.5,90.0,1.25,1.5,2.25,794.376272721273,58.00052527419476,-0.4442125309984665,7.048183887982953
17.5,105.0,1.5,1.75,2.5,839.8118221518707,58.4836396794174,-0.5036735417222724,5.9570172459316915
17.5,120.0,1.75,4.0,1.5,0.0,0.0,0.0,0.0
17.5,135.0,4.0,1.0,1.75,978.5943415122869,59.81205400454431,-0.5037912533120964,5.954987537522972
17.5,150.0,1.0,1.25,2.0,0.0,0.0,0.0,0.0
20.0,90.0,1.5,4.0,1.75,0.0,0.0,0.0,0.0
20.0,105.0,1.75,1.0,2.0,1084.1243184204409,60.701581727225744,-0.6620873659452174,3.581693986298337
20.0,120.0,4.0,1.25,2.25,0.0,0.0,0.0,0.0
20.0,135.0,1.0,1.5,2.5,1170.448710771491,61.36704775207612,-0.7499329841977689,2.49955088932596
20.0,150.0,1.25,1.75,1.5,1317.7629106666768,62.396745597399594,-0.6650650533686943,3.542717441689573
22.5,90.0,1.75,1.25,2.5,1221.9320750178968,61.74094129873944,-0.633904821517342,3.9595188989219734
22.5,105.0,4.0,1.5,1.5,0.0,0.0,0.0,0.0
22.5,120.0,1.0,1.75,1.75,1415.9699334729344,63.02108063394751,-0.6457765912569057,3.7983540353152274
22.5,135.0,1.25,4.0,2.0,0.0,0.0,0.0,0.0
22.5,150.0,1.5,1.0,2.25,0.0,0.0,0.0,0.0
25.0,90.0,4.0,1.75,2.0,0.0,0.0,0.0,0.0
25.0,105.0,1.0,4.0,2.25,0.0,0.0,0.0,0.0
25.0,120.0,1.25,1.0,2.5,1647.4827094226214,64.33641730608879,-0.6730427085976811,3.439147526224893
25.0,135.0,1.5,1.25,1.5,1733.7490554469798,64.7797247495227,-0.6350381744436,3.944003338195609
25.0,150.0,1.75,1.5,1.75,1752.7882469902884,64.87458904956078,-0.6627060193247852,3.5735816943296497
