X1,X2,X3,X4,X5,X6,X7,X8,X9
1.1533,0.0442,0.1118,0.0216,0.0132,0.0026,0.0043,0.032,0.0703
0.174,0.3187,0.1075,0.1219,0.0282,0.0679,0.072,0.4359,0.0111
0.0041,0.0026,0.0096,0.0038,0.0016,0.0032,1.9314,0.1827,0.0022
1.3314,0.3655,0.2289,0.1473,0.043,0.0737,2.0077,0.6506,0.0836
