X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP,COG
24.95,139.9,2.71,0.01,0.87,2.48,1.97,14.65,3.4,-34.0,-2170.38,58.52,20.86
24.44,135.2,0.5,0.02,3.05,2.06,1.53,11.49,6.12,-44.0,-1632.18,11.99,20.77
20.99,134.6,2.06,0.51,2.02,2.0,1.5,14.66,4.02,-46.0,-1674.26,71.64,18.11
20.44,135.8,1.62,0.02,2.02,2.01,1.5,14.46,4.0,-48.0,-1732.92,69.5,18.96
24.95,120.5,1.82,0.02,1.72,2.02,1.5,14.69,3.36,-44.0,-2015.21,59.62,20.33
20.95,139.8,2.11,0.5,2.01,2.02,1.5,14.66,4.02,-45.0,-1712.71,71.91,18.07
19.18,132.4,0.93,0.01,3.45,2.03,1.53,12.3,6.08,-48.0,-1439.51,13.2,19.8
20.95,134.6,1.05,0.01,2.01,2.08,1.56,14.66,4.02,-47.0,-1662.84,52.52,18.39
24.69,137.1,0.63,0.03,0.65,2.02,1.51,10.44,7.85,-28.0,-2105.31,36.57,19.16
19.18,135.2,0.93,0.01,3.45,2.03,1.53,12.3,6.08,-48.0,-1439.74,13.87,19.87
20.75,132.1,1.42,0.0,2.02,2.06,1.53,14.67,3.91,-47.0,-1676.74,65.57,18.78
20.95,136.1,0.75,0.0,2.01,2.02,1.5,14.67,4.02,-45.0,-1636.09,42.56,18.28
24.94,139.9,0.59,0.0,2.65,2.02,1.51,11.49,6.57,-38.0,-1887.26,19.52,19.85
23.54,132.1,1.42,0.0,2.02,2.05,1.53,14.67,3.91,-44.0,-1939.05,65.55,18.81
24.93,134.9,0.64,0.0,2.95,2.06,1.52,14.74,3.33,-42.0,-1785.21,26.02,20.17
24.94,132.2,0.51,0.02,2.95,2.5,1.97,11.42,6.11,-43.0,-1750.96,16.28,21.57
24.11,139.4,0.7,0.01,1.08,2.02,1.5,14.7,4.19,-36.0,-2025.54,49.66,18.69
24.9,139.6,0.51,0.04,2.0,2.02,1.5,12.75,3.74,-45.0,-1873.08,40.31,19.12
19.16,132.4,0.93,0.01,3.45,2.03,1.53,12.3,5.94,-48.0,-1439.71,13.98,19.56
24.93,135.2,0.65,0.06,2.94,2.12,1.58,11.92,6.15,-41.0,-1722.71,11.23,20.63
24.95,140.0,1.29,0.03,0.98,2.46,1.94,11.63,6.42,-30.0,-2197.2,52.2,20.89
19.92,139.8,0.94,0.02,3.21,2.03,1.5,12.37,3.9,-48.0,-1497.78,19.78,19.26
18.49,132.2,0.93,0.02,3.51,2.04,1.51,12.4,6.11,-48.0,-1385.46,13.04,19.46
24.95,140.0,0.5,0.0,3.07,2.48,1.95,14.67,3.38,-40.0,-1849.25,22.57,20.71
24.44,136.5,0.7,0.01,1.08,2.02,1.5,14.7,3.86,-37.0,-2003.19,50.99,18.67
24.92,140.0,1.17,0.01,2.41,2.53,1.99,11.93,6.16,-38.0,-2022.89,46.15,21.26
20.95,134.7,1.84,0.03,2.01,2.01,1.5,14.53,4.02,-47.0,-1782.33,73.35,18.56
20.99,139.9,0.54,0.0,2.97,2.0,1.5,14.67,4.02,-47.0,-1620.36,25.48,18.13
24.94,139.9,1.2,0.03,2.26,2.52,1.99,11.7,6.26,-37.0,-2082.85,47.77,21.7
24.82,140.0,1.92,0.01,1.03,2.06,1.51,10.46,6.12,-41.0,-1983.68,61.13,19.1
24.94,132.2,0.51,0.02,2.95,2.5,1.97,11.7,6.11,-42.0,-1774.79,16.96,21.62
24.94,140.0,2.5,0.01,1.06,2.16,1.5,12.71,5.35,-33.0,-2199.7,57.66,19.57
24.95,136.0,0.51,0.01,1.31,2.04,1.5,14.37,3.68,-38.0,-1992.73,45.36,19.38
24.92,134.9,0.5,0.02,3.09,2.09,1.51,12.42,3.89,-44.0,-1606.49,15.35,19.47
24.38,137.0,1.42,0.05,2.0,2.02,1.52,14.76,3.1,-45.0,-1988.71,60.42,20.28
24.94,139.9,0.59,0.0,2.65,2.04,1.52,11.49,6.57,-37.0,-1900.18,19.95,19.94
24.96,118.4,0.68,0.03,2.89,2.06,1.53,14.71,3.34,-46.0,-1790.18,29.01,20.41
24.66,140.0,0.5,0.01,1.46,2.02,1.5,11.4,6.94,-26.0,-2030.65,31.16,19.08
18.5,136.0,2.34,0.05,2.03,2.02,1.51,14.61,4.0,-48.0,-1653.29,72.88,18.48
24.38,135.3,1.42,0.0,2.0,2.05,1.52,14.67,3.95,-40.0,-2072.47,61.73,18.59
24.77,132.5,0.68,0.01,2.6,2.02,1.5,14.48,3.75,-46.0,-1896.03,30.27,19.29
21.21,136.5,0.7,0.01,2.47,2.02,1.5,14.7,4.37,-47.0,-1667.47,35.14,19.41
24.86,140.0,1.88,0.01,1.46,2.03,1.52,11.38,6.76,-34.0,-2163.06,51.22,19.3
