X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
20.0,114.3,3.31,0.38,0.73,2.42,1.92,11.07,7.23,-28.0,-212.97,137.19
22.5,113.5,2.14,0.21,1.64,2.42,1.74,11.83,8.67,-24.0,-244.84,111.65
22.69,85.1,2.5,0.28,1.02,2.12,1.62,11.85,7.35,-26.0,-230.18,113.77
22.19,93.0,3.43,0.18,0.5,2.23,1.71,13.17,7.63,-25.0,-260.46,102.79
18.09,107.4,1.32,0.97,3.22,2.02,1.52,14.21,2.1,-37.0,-206.01,85.77
23.0,135.1,0.64,0.88,1.47,2.64,1.9,13.59,2.35,-37.0,-220.17,86.82
17.3,112.7,0.96,0.22,2.51,2.02,1.52,14.28,0.54,-34.0,-203.99,79.94
20.33,123.8,3.95,0.27,0.5,2.67,1.95,10.99,7.06,-29.0,-211.08,136.77
22.19,127.6,1.09,0.67,2.77,2.36,1.58,10.18,4.5,-41.0,-174.24,111.37
24.27,96.7,3.17,0.87,0.5,2.45,1.51,11.36,4.44,-37.0,-195.63,97.44
16.21,132.9,0.61,0.67,0.75,2.25,1.71,10.91,8.34,-27.0,-208.57,152.9
21.5,107.6,3.13,0.06,0.8,2.46,1.8,11.44,10.06,-24.0,-241.47,119.87
22.12,112.5,1.01,0.97,2.83,2.51,1.8,10.2,10.68,-23.0,-220.53,127.42
23.19,110.9,3.39,0.19,0.5,2.42,1.8,10.46,9.35,-24.0,-223.46,116.53
23.27,106.5,0.91,0.51,2.7,2.55,1.92,12.11,7.62,-25.0,-244.39,105.37
20.39,131.3,2.31,0.61,1.9,2.84,1.93,14.36,8.25,-25.0,-288.33,91.63
21.57,119.3,0.88,0.84,3.07,2.35,1.77,11.42,10.01,-23.0,-242.15,122.25
16.61,118.7,0.99,0.7,3.88,2.04,1.54,10.74,8.63,-28.0,-198.7,155.98
18.61,139.2,1.52,0.5,3.0,2.57,1.86,11.37,13.02,-23.0,-245.57,131.37
16.12,131.1,3.5,0.23,1.72,2.2,1.7,14.75,12.13,-24.0,-303.75,90.77
24.44,133.8,3.18,0.05,0.5,2.3,1.66,12.29,6.27,-26.0,-242.36,89.82
21.05,88.2,1.81,0.91,2.03,2.0,1.5,11.86,3.47,-40.0,-184.32,102.5
24.9,71.9,2.23,0.63,0.75,2.06,1.56,12.39,5.71,-28.0,-228.54,90.28
15.16,129.5,0.95,0.38,2.21,2.04,1.52,11.59,5.71,-32.0,-192.78,132.85
24.56,133.4,0.5,0.93,3.16,2.25,1.56,13.04,5.17,-27.0,-236.85,90.01
15.1,138.5,3.89,0.54,1.29,2.19,1.69,12.34,9.33,-26.0,-237.59,136.62
22.03,112.3,3.61,0.07,0.5,2.64,1.95,10.39,10.58,-24.0,-228.12,121.86
22.3,136.7,1.03,0.05,0.74,2.62,1.9,11.12,7.63,-26.0,-228.23,117.91
20.15,127.0,1.07,0.02,2.27,2.33,1.65,13.86,8.98,-25.0,-281.47,99.18
24.52,110.6,0.74,0.67,1.39,2.44,1.52,11.62,6.86,-26.0,-230.81,92.4
24.16,125.7,0.5,0.24,3.25,2.29,1.51,13.15,5.69,-26.0,-243.39,92.71
22.85,119.7,0.5,0.7,3.48,2.31,1.67,10.3,9.85,-23.0,-215.76,126.39
17.4,118.6,0.78,0.53,2.8,2.15,1.65,12.75,9.44,-25.0,-251.17,126.52
22.18,123.7,0.5,0.81,3.61,2.58,1.91,12.6,4.15,-35.0,-209.95,109.1
16.73,121.2,2.54,0.07,2.56,2.1,1.6,12.86,10.4,-27.0,-252.1,123.35
19.92,130.0,1.61,0.22,1.53,2.76,1.94,12.36,10.73,-23.0,-264.81,117.99
19.58,128.2,2.5,0.88,1.94,2.45,1.6,10.42,13.0,-24.0,-231.49,130.09
23.18,96.7,3.3,0.2,0.5,2.32,1.7,14.36,5.46,-26.0,-266.29,81.35
23.94,108.0,1.53,0.26,0.51,2.7,1.92,11.12,7.67,-25.0,-227.74,103.4
24.84,91.5,1.02,0.83,2.23,2.35,1.53,12.58,5.58,-28.0,-235.51,87.68
24.51,97.2,1.66,0.78,1.4,2.2,1.63,13.36,1.61,-40.0,-201.87,86.64
24.42,96.7,3.17,0.87,0.5,2.45,1.51,13.15,4.47,-30.0,-233.56,86.6
22.45,135.1,0.78,0.82,1.47,2.66,1.9,13.59,2.35,-38.0,-215.29,87.49
24.51,88.1,1.66,0.78,1.4,2.2,1.63,11.75,3.49,-40.0,-189.82,94.12
17.3,114.2,0.96,0.22,2.51,2.05,1.51,12.39,0.6,-42.0,-165.94,91.0
22.19,93.5,1.09,0.67,2.77,2.24,1.58,10.18,4.5,-42.0,-169.11,108.99
15.1,138.5,3.89,0.54,1.51,2.19,1.69,12.34,8.64,-27.0,-236.3,133.1
21.95,112.5,1.01,0.97,2.83,2.51,1.8,10.2,10.68,-23.0,-220.36,129.82
24.44,133.8,0.5,0.05,3.18,2.16,1.66,12.29,1.76,-43.0,-183.39,96.35
22.5,113.5,2.1,0.28,1.64,2.32,1.62,11.83,8.67,-24.0,-243.87,111.37
18.42,132.9,1.51,0.5,3.0,2.41,1.7,10.92,8.38,-27.0,-216.03,146.43
21.59,107.8,3.13,0.05,0.8,2.48,1.9,12.62,8.79,-24.0,-259.42,111.45
20.26,121.4,0.79,1.0,3.25,2.01,1.51,12.52,5.94,-29.0,-226.24,121.6
21.57,91.3,0.62,0.84,3.06,2.12,1.62,11.69,9.03,-24.0,-233.48,124.11
23.94,108.2,3.27,0.26,0.5,2.73,1.95,10.19,7.67,-27.0,-209.4,111.55
19.82,106.4,0.91,0.51,2.69,2.23,1.73,12.06,7.62,-27.0,-234.37,126.35
17.28,118.7,0.5,0.7,3.88,2.13,1.54,10.74,7.97,-28.0,-198.16,154.86
16.05,131.4,3.5,0.4,0.51,2.2,1.7,14.75,3.31,-32.0,-234.47,84.89
24.12,134.4,1.79,0.68,1.48,2.2,1.63,13.36,1.61,-40.0,-207.4,86.55
15.16,129.5,0.95,0.38,2.21,2.03,1.52,11.59,5.22,-34.0,-187.11,130.05
23.96,138.5,3.27,0.54,0.5,2.47,1.69,12.34,6.7,-25.0,-247.54,93.15
22.19,92.3,3.41,0.18,0.54,2.02,1.5,13.21,7.6,-25.0,-256.14,102.44
22.5,113.5,2.39,0.21,1.61,2.24,1.74,11.91,8.39,-25.0,-245.28,109.53
20.21,123.8,3.95,0.29,0.5,2.66,1.95,10.99,7.06,-28.0,-213.0,138.05
22.22,135.1,0.64,0.8,2.42,2.64,1.9,13.59,4.12,-31.0,-241.12,98.61
18.61,139.2,1.42,0.53,3.0,2.57,1.86,11.37,13.02,-23.0,-249.12,129.93
20.29,128.5,2.22,0.91,1.95,2.13,1.61,10.42,12.29,-24.0,-228.82,128.38
21.66,127.8,3.17,0.85,0.57,2.46,1.52,11.36,9.79,-24.0,-238.78,118.34
17.3,112.7,0.96,0.22,2.51,2.02,1.52,14.31,10.67,-25.0,-283.86,98.77
22.03,120.7,3.6,0.07,0.51,2.64,1.95,10.39,8.96,-26.0,-220.13,127.18
21.51,135.2,0.96,0.05,0.74,2.52,1.8,11.12,10.1,-23.0,-241.4,121.58
20.78,129.7,2.38,0.61,1.9,2.84,1.93,10.17,8.25,-27.0,-207.09,144.53
22.19,127.6,1.09,0.67,1.27,2.38,1.6,10.18,4.5,-40.0,-178.21,111.13
24.74,133.4,0.5,0.93,3.13,2.25,1.56,13.04,5.17,-27.0,-235.69,88.2
17.95,118.6,0.64,0.55,2.8,2.14,1.64,12.75,10.11,-25.0,-255.23,125.46
21.05,89.6,1.81,0.91,2.03,2.0,1.5,13.47,2.05,-40.0,-195.76,87.63
19.92,130.0,1.61,0.22,1.53,2.44,1.94,14.25,8.83,-25.0,-293.94,92.57
23.18,130.8,3.3,0.2,0.5,2.32,1.7,14.36,5.46,-26.0,-269.78,79.78
16.62,118.7,0.99,0.7,3.65,2.04,1.54,10.74,9.32,-26.0,-205.66,158.98
22.69,85.1,2.5,0.11,1.02,2.12,1.62,11.85,7.35,-26.0,-230.6,113.35
16.21,139.2,0.62,0.67,0.75,2.37,1.87,11.36,12.98,-24.0,-243.91,145.55
24.52,118.6,2.06,0.67,1.39,2.44,1.52,14.11,4.37,-28.0,-255.33,73.81
21.39,123.5,0.5,0.82,3.61,2.46,1.8,11.44,4.15,-40.0,-184.1,111.4
16.12,131.1,3.5,0.24,1.71,2.2,1.7,14.75,12.13,-24.0,-301.72,91.62
20.57,114.2,1.0,0.72,2.48,2.08,1.5,11.42,10.74,-24.0,-238.03,124.46
16.49,131.3,2.3,0.61,1.42,2.26,1.76,14.24,8.06,-26.0,-269.31,102.32
22.03,112.1,1.51,0.07,0.5,2.61,1.92,11.48,9.49,-24.0,-244.65,115.33
23.22,78.0,2.36,0.94,1.27,2.02,1.5,12.11,7.67,-25.0,-235.52,109.45
24.25,133.4,1.05,0.93,2.41,2.07,1.56,13.04,5.17,-28.0,-243.73,87.79
21.3,96.4,2.13,0.23,1.75,2.2,1.7,14.36,7.34,-26.0,-275.48,88.13
23.19,110.9,3.39,0.19,0.5,2.39,1.8,10.46,9.35,-24.0,-223.4,116.51
22.77,111.0,2.61,0.28,1.13,2.0,1.5,13.59,6.64,-25.0,-261.5,93.89
15.41,125.7,0.5,0.24,3.25,2.0,1.5,13.15,5.69,-30.0,-222.88,113.18
22.96,123.7,0.5,0.88,3.46,2.58,1.91,12.6,2.38,-42.0,-189.47,97.29
17.4,118.6,0.78,0.5,2.8,2.15,1.65,12.75,9.44,-25.0,-250.03,127.14
17.96,107.4,1.32,0.51,3.22,2.01,1.51,13.33,2.35,-40.0,-193.43,87.38
24.18,97.3,0.5,0.84,3.14,2.34,1.76,11.42,4.66,-36.0,-197.3,100.24
16.73,121.2,2.54,0.07,2.56,2.1,1.6,12.83,0.37,-41.0,-191.84,71.05
22.85,100.3,0.5,0.7,3.42,2.18,1.5,10.3,9.79,-24.0,-213.04,125.26
20.15,112.2,1.16,0.02,2.4,2.33,1.65,13.86,8.99,-25.0,-278.98,99.17
24.36,71.9,0.76,0.63,0.75,2.0,1.5,12.39,5.71,-28.0,-225.87,95.8
22.29,109.0,3.2,0.06,0.8,2.6,1.9,11.44,7.59,-26.0,-230.53,118.25
22.12,112.5,0.94,0.97,2.83,2.51,1.8,14.42,6.46,-25.0,-275.66,88.1
21.05,88.1,1.81,0.91,2.03,2.0,1.5,11.86,3.17,-41.0,-181.34,100.69
21.57,119.3,0.87,0.84,0.63,2.29,1.71,11.42,10.01,-23.0,-243.78,119.8
22.18,134.0,2.95,0.81,0.66,2.58,1.91,12.6,4.15,-35.0,-215.69,103.23
22.19,93.0,0.68,0.18,2.99,2.23,1.73,13.17,7.63,-25.0,-255.79,103.53
24.44,123.5,0.5,0.05,3.18,2.37,1.73,12.29,6.27,-27.0,-235.23,92.5
21.95,107.4,1.04,0.97,2.82,2.23,1.52,10.2,10.68,-23.0,-218.37,128.48
21.57,107.8,2.97,0.16,0.76,2.48,1.9,12.62,8.79,-24.0,-260.35,110.82
23.27,105.2,0.94,0.51,2.7,2.55,1.92,12.11,7.62,-25.0,-242.26,106.05
22.28,91.3,0.65,0.84,3.16,2.12,1.62,11.69,8.79,-24.0,-234.43,117.86
22.54,113.5,1.03,0.24,2.74,2.32,1.62,11.83,8.63,-24.0,-242.35,110.97
15.02,138.5,3.68,0.56,1.03,2.17,1.67,12.34,10.52,-25.0,-244.95,140.7
16.46,127.6,1.17,0.67,1.27,2.19,1.69,14.29,4.5,-29.0,-241.72,96.04
24.44,72.5,0.8,0.05,0.5,2.02,1.52,12.31,5.74,-28.0,-226.45,96.01
17.4,118.6,0.78,0.53,2.8,2.15,1.65,12.75,5.18,-31.0,-219.25,115.3
19.92,95.7,3.3,0.22,0.82,2.02,1.52,14.35,8.73,-25.0,-279.09,93.53
23.59,138.5,3.27,0.53,0.5,2.35,1.69,11.33,6.66,-27.0,-225.13,105.9
20.53,128.5,0.99,0.91,2.1,2.13,1.61,14.41,8.06,-25.0,-285.11,87.61
16.12,134.0,0.51,0.28,1.71,2.16,1.66,14.75,12.13,-24.0,-302.76,89.47
