X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
17.95,118.5,3.92,0.46,0.82,2.22,1.72,10.96,6.32,19.88
23.5,134.2,3.2,0.92,0.5,2.16,1.61,11.56,2.81,19.31
15.89,136.6,1.06,0.83,2.71,2.27,1.72,10.07,5.63,20.18
22.66,90.2,0.51,0.43,3.3,2.16,1.57,13.85,0.29,20.45
19.92,118.3,2.21,0.19,0.95,2.49,1.88,11.18,11.48,20.06
18.14,106.4,1.82,0.61,2.7,2.01,1.51,10.28,10.38,19.57
19.28,125.3,0.74,0.2,3.65,2.5,1.85,13.72,7.1,19.7
24.82,109.4,0.67,0.86,2.67,2.89,1.91,12.09,6.09,21.13
24.4,108.3,2.93,0.84,0.5,2.45,1.72,13.99,4.57,20.48
20.0,118.2,3.5,0.25,0.69,2.5,1.93,12.76,1.63,20.35
17.33,125.1,1.88,0.15,3.11,2.22,1.53,10.46,2.06,19.09
24.87,82.2,0.51,0.93,2.61,2.29,1.76,10.58,4.48,19.97
24.97,93.9,0.5,0.55,3.03,2.36,1.63,10.33,6.05,19.82
24.82,110.9,0.67,0.86,2.67,2.52,1.9,12.18,6.0,20.99
19.13,114.5,1.4,0.51,1.71,2.0,1.5,13.87,6.77,19.29
15.22,135.8,3.39,0.02,1.12,2.16,1.57,13.96,5.52,19.92
19.28,124.6,1.74,0.21,2.66,2.53,1.87,13.72,3.42,20.67
22.63,89.4,0.5,0.14,3.33,2.15,1.56,10.42,0.59,20.12
22.47,138.5,2.4,0.82,1.4,2.45,1.74,10.07,5.65,19.84
18.82,120.0,0.7,0.54,3.86,2.36,1.5,11.84,7.2,19.55
21.42,120.1,1.72,0.27,2.31,2.7,1.98,13.32,8.26,21.14
19.33,130.4,2.64,0.77,1.75,2.67,1.92,14.39,8.79,20.97
15.45,132.8,1.16,0.29,0.96,2.13,1.63,11.08,12.17,20.26
22.26,136.0,2.07,0.96,1.93,2.31,1.8,12.85,0.05,19.82
19.9,107.9,0.55,0.59,0.79,2.24,1.63,14.46,8.63,20.53
23.54,120.3,2.46,0.3,1.01,2.14,1.59,11.73,6.35,20.88
20.48,127.2,0.84,0.3,0.5,2.5,1.78,13.99,4.57,20.2
16.15,136.0,2.07,0.58,1.9,2.0,1.5,12.01,11.04,19.71
22.0,108.1,1.39,0.33,2.47,2.54,1.77,11.78,0.92,19.48
23.65,119.9,0.85,0.65,2.96,2.32,1.51,10.17,7.48,19.6
23.56,111.5,0.5,0.89,3.26,2.64,1.72,13.37,5.48,20.45
24.62,132.1,2.58,0.03,0.83,2.3,1.73,11.88,6.36,20.66
19.23,130.7,0.5,0.66,0.5,2.48,1.93,12.71,7.83,19.85
22.06,98.1,3.16,0.04,0.5,2.0,1.5,13.72,7.21,19.12
17.33,124.6,1.99,0.86,3.01,2.26,1.57,10.3,1.94,19.64
19.36,102.9,2.35,0.95,1.92,2.09,1.59,10.54,9.16,20.44
20.71,136.4,1.63,0.77,2.47,2.52,1.7,10.36,6.05,20.0
19.19,114.7,1.86,0.51,1.15,2.32,1.65,10.52,2.31,19.71
24.32,120.8,2.53,0.92,0.73,2.52,1.53,11.01,6.75,20.11
16.39,124.6,1.89,0.38,2.95,2.11,1.61,13.63,12.98,18.86
21.2,127.5,2.16,0.05,0.75,2.54,1.8,12.84,5.1,20.87
20.16,98.2,1.04,0.62,2.4,2.1,1.57,10.55,3.55,20.05
20.0,118.4,0.95,0.48,3.51,2.36,1.81,11.59,1.63,21.26
24.99,121.6,0.5,0.55,1.9,2.46,1.63,13.93,4.08,20.38
16.11,123.8,2.55,0.06,1.97,2.07,1.57,13.6,13.29,19.41
21.95,138.9,0.51,0.15,2.66,2.35,1.5,13.78,3.75,20.13
20.53,128.9,0.93,0.28,2.55,2.4,1.77,10.31,5.66,19.79
24.58,106.4,0.53,0.54,2.67,2.72,1.88,10.3,5.92,20.22
19.78,114.6,0.5,0.51,1.34,2.06,1.55,10.52,9.9,18.78
19.54,124.6,1.74,0.22,2.85,2.3,1.62,13.75,2.58,19.92
20.0,118.3,3.5,0.87,0.69,2.48,1.93,12.76,3.02,21.22
24.77,109.5,0.62,0.86,2.7,2.01,1.51,10.28,6.07,19.18
22.07,124.8,0.5,0.86,3.62,2.5,1.85,13.72,7.21,20.0
21.4,120.1,1.72,0.27,2.31,2.58,1.87,13.32,8.26,20.98
19.78,114.6,0.5,0.51,2.08,2.06,1.55,10.52,9.9,18.95
21.06,118.3,0.74,0.56,0.61,2.4,1.67,12.41,9.4,20.42
17.15,125.1,1.88,0.15,3.11,2.24,1.57,13.62,1.85,20.42
22.98,130.4,3.46,0.61,0.5,2.55,1.93,12.64,7.38,20.93
21.95,125.0,1.06,0.15,2.85,2.34,1.5,13.78,2.6,19.42
22.13,98.1,2.17,0.01,0.5,2.0,1.5,13.7,7.17,18.95
21.39,136.6,1.18,0.85,1.38,2.62,1.77,12.56,3.83,19.52
24.97,133.0,0.5,0.55,3.03,2.36,1.63,10.33,6.05,19.83
19.78,129.4,2.79,0.42,1.71,2.67,1.94,14.39,8.5,20.55
24.45,110.0,0.93,0.82,2.5,2.75,1.76,10.03,8.46,20.27
24.87,106.3,0.51,0.43,3.09,2.46,1.63,10.33,5.58,19.93
16.84,124.6,2.66,0.05,1.55,2.15,1.65,10.0,15.63,19.79
24.76,132.1,1.05,0.02,0.88,2.26,1.73,11.88,6.18,20.76
22.82,89.7,0.54,0.65,3.28,2.23,1.73,13.79,0.32,21.12
18.83,132.1,2.58,0.03,0.72,2.26,1.72,11.86,5.71,20.71
22.4,130.5,0.5,0.94,3.57,2.31,1.62,10.96,7.39,20.64
24.14,120.3,1.97,0.9,1.63,2.64,1.73,12.59,6.27,19.69
24.82,110.9,0.67,0.86,2.67,2.54,1.9,12.16,6.02,20.83
24.66,134.9,3.14,0.82,0.5,2.12,1.61,12.97,2.41,19.77
21.85,126.9,0.62,0.6,1.88,2.52,1.64,13.95,7.2,19.68
16.17,120.0,0.7,0.49,3.86,2.01,1.51,11.84,7.2,19.4
24.32,120.6,2.53,0.92,0.75,2.52,1.53,11.98,6.7,19.64
17.29,113.1,2.33,0.16,1.15,2.03,1.53,13.78,10.24,20.29
19.23,130.7,0.5,0.66,0.5,2.08,1.53,12.71,7.83,19.08
18.28,124.6,1.86,0.86,2.97,2.26,1.57,10.3,1.94,19.62
21.2,126.3,1.05,0.02,0.75,2.54,1.8,12.28,5.08,20.93
24.87,135.9,2.75,0.15,0.6,2.56,1.73,12.0,5.98,20.61
24.99,121.6,0.5,0.55,1.9,2.44,1.63,13.93,4.08,20.36
23.47,122.7,0.6,0.34,1.63,2.56,1.73,14.41,5.13,20.92
19.78,97.9,0.5,0.51,1.28,2.05,1.55,10.63,9.9,18.67
21.91,120.2,1.71,0.87,2.21,2.42,1.57,10.55,7.68,19.98
24.38,110.1,0.9,0.84,2.83,2.73,1.76,10.09,8.46,20.45
16.11,125.3,2.55,0.06,0.83,2.09,1.59,13.6,13.29,19.57
22.66,119.9,0.51,0.65,2.96,2.32,1.51,10.17,7.48,19.7
20.47,128.3,0.85,0.65,2.96,2.7,1.9,10.18,9.06,20.88
20.01,118.4,1.73,0.21,2.72,2.44,1.81,13.69,3.56,20.95
22.98,130.2,3.46,0.66,0.5,2.55,1.93,12.64,7.38,20.89
24.82,109.4,0.67,0.86,2.67,2.9,1.91,12.85,5.33,21.35
15.42,136.7,0.93,0.28,2.55,2.2,1.7,10.09,5.34,19.95
19.19,113.1,1.89,0.51,1.77,2.28,1.64,10.52,1.66,19.61
