X1,X2,X3,X4,X5,X6,AVG,RIP
15.03,90.8,1.0,1.0,2.73,0.9,-957.325,11.295
25.0,146.5,1.0,1.0,1.35,0.5,-1944.901,52.781
23.91,90.1,1.0,1.0,2.31,0.68,-1451.196,27.198
15.35,124.3,1.0,1.0,2.83,0.56,-1267.388,26.579
15.05,118.2,1.0,1.0,2.79,0.68,-1167.738,21.361
23.98,90.6,1.0,1.0,2.28,0.62,-1502.631,28.294
23.96,103.8,1.0,1.0,2.12,0.5,-1670.438,33.778
24.83,117.3,1.0,1.0,1.95,0.5,-1786.662,38.775
23.97,98.8,1.0,1.0,2.08,0.5,-1656.365,33.037
15.15,118.0,1.0,1.0,2.79,0.72,-1154.893,20.65
15.23,107.8,1.0,1.0,2.75,0.78,-1082.96,17.804
15.15,114.9,1.0,1.0,2.7,0.74,-1127.25,20.003
24.84,117.9,1.0,1.0,2.02,0.5,-1768.483,38.446
24.84,125.8,1.0,1.0,1.82,0.5,-1853.287,42.513
15.15,118.0,1.0,1.0,2.75,0.66,-1190.665,22.14
24.91,129.1,1.0,1.0,1.82,0.5,-1869.564,43.887
24.84,119.3,1.0,1.0,1.92,0.5,-1801.384,39.262
24.81,125.9,1.0,1.0,1.87,0.5,-1842.423,42.018
15.03,90.8,1.0,1.0,2.73,0.89,-965.139,11.814
24.84,124.6,1.0,1.0,1.91,0.5,-1816.15,41.376
23.91,90.0,1.01,1.0,2.29,0.67,-1476.733,27.693
15.12,100.0,1.0,1.0,2.82,0.77,-1074.542,17.022
15.15,119.0,1.0,1.0,2.79,0.73,-1148.784,20.092
23.98,105.4,1.0,1.0,2.11,0.5,-1685.691,34.124
24.91,133.8,1.0,1.0,1.63,0.5,-1907.867,47.58
15.15,118.0,1.0,1.0,2.75,0.78,-1112.613,18.429
24.84,125.9,1.01,1.0,1.87,0.5,-1833.923,41.477
23.98,115.4,1.0,1.0,2.13,0.5,-1725.417,35.781
24.91,133.8,1.0,1.0,1.67,0.5,-1902.807,46.894
24.91,129.3,1.0,1.0,1.76,0.5,-1879.92,44.602
23.98,116.5,1.01,1.0,2.03,0.5,-1752.0,37.513
24.81,107.7,1.0,1.0,1.87,0.5,-1755.479,38.075
23.99,98.9,1.0,1.0,2.11,0.5,-1652.512,32.442
23.98,93.4,1.0,1.0,2.08,0.5,-1629.285,31.625
15.11,92.7,1.0,1.0,2.87,0.82,-1032.402,15.215
15.07,100.0,1.0,1.0,2.75,0.77,-1068.957,16.584
15.27,123.4,1.0,1.0,2.83,0.59,-1241.418,25.663
25.0,143.2,1.0,1.0,1.53,0.5,-1923.085,49.804
23.99,114.5,1.0,1.0,2.04,0.5,-1742.625,36.98
23.99,115.4,1.0,1.0,2.13,0.5,-1714.695,35.27
25.0,146.5,1.0,1.0,1.62,0.5,-1922.977,48.963
15.07,100.0,1.0,1.0,2.81,0.82,-1041.018,15.549
23.98,90.9,1.0,1.0,2.16,0.56,-1568.555,29.301
25.0,149.0,1.01,1.0,1.57,0.5,-1930.735,50.191
15.11,92.7,1.01,1.0,2.77,0.82,-1029.535,14.42
23.98,90.4,1.0,1.0,2.15,0.52,-1581.89,29.612
25.0,149.1,1.0,1.0,1.44,0.5,-1942.735,51.775
15.15,118.0,1.0,1.0,2.79,0.64,-1202.615,23.293
15.14,118.2,1.0,1.0,2.79,0.64,-1201.566,22.491
15.35,124.3,1.0,1.0,2.74,0.56,-1252.72,26.01
15.15,90.8,1.0,1.0,2.73,0.9,-974.358,12.426
15.14,117.0,1.0,1.0,2.79,0.62,-1210.378,23.579
23.91,91.0,1.0,1.0,2.18,0.62,-1521.544,28.332
23.91,90.1,1.0,1.0,2.28,0.68,-1464.462,27.543
15.29,123.5,1.0,1.0,2.76,0.6,-1233.029,24.836
15.29,124.2,1.0,1.0,2.76,0.61,-1226.207,24.167
15.81,94.3,1.0,1.0,2.69,0.83,-1050.214,16.444
23.98,90.1,1.0,1.0,2.16,0.56,-1561.241,28.965
23.98,93.3,1.0,1.0,2.12,0.5,-1616.647,31.227
15.11,90.7,1.0,1.0,2.74,0.86,-991.476,13.094
24.84,123.7,1.0,1.0,1.92,0.5,-1813.402,40.508
24.91,133.8,1.0,1.0,1.73,0.5,-1899.413,46.203
23.98,90.1,1.0,1.0,2.18,0.63,-1534.381,28.393
24.91,133.8,1.0,1.0,1.6,0.5,-1912.105,48.284
24.89,128.3,1.0,1.0,1.86,0.5,-1860.306,43.224
25.0,149.5,1.0,1.0,1.53,0.5,-1937.709,50.837
23.98,109.9,1.01,1.0,2.11,0.5,-1706.703,35.015
15.81,94.9,1.0,1.0,2.69,0.84,-1049.41,16.025
15.15,109.0,1.0,1.0,2.78,0.73,-1124.952,19.068
23.98,90.4,1.0,1.0,2.13,0.52,-1589.114,29.902
15.15,118.0,1.0,1.0,2.79,0.61,-1223.826,23.841
24.91,133.1,1.0,1.0,1.75,0.5,-1889.808,45.418
15.03,90.7,1.0,1.0,2.79,0.82,-1011.535,14.0
24.91,133.8,1.0,1.0,1.73,0.5,-1896.244,45.823
15.35,124.3,1.0,1.0,2.79,0.56,-1264.991,26.116
15.27,123.5,1.0,1.0,2.83,0.6,-1237.248,25.087
15.03,90.7,1.0,1.0,2.79,0.81,-1017.234,14.379
15.32,90.4,1.0,1.0,2.75,0.86,-997.564,13.546
15.15,108.6,1.0,1.0,2.79,0.73,-1122.919,18.921
24.91,146.5,1.0,1.0,1.62,0.5,-1913.907,48.647
23.99,90.9,1.0,1.0,2.13,0.5,-1597.912,30.197
23.98,95.4,1.0,1.0,2.08,0.5,-1640.634,32.079
25.0,149.5,1.0,1.0,1.43,0.5,-1944.184,52.024
24.83,123.2,1.0,1.0,1.95,0.5,-1802.348,39.993
23.98,105.7,1.0,1.0,2.08,0.5,-1691.515,34.693
24.89,128.3,1.0,1.0,1.84,0.5,-1863.408,43.401
23.99,90.8,1.0,1.0,2.11,0.5,-1602.332,30.463
23.98,115.4,1.0,1.0,2.08,0.5,-1738.128,36.542
15.01,91.4,1.0,1.0,2.78,0.84,-1002.644,13.792
15.27,107.4,1.0,1.0,2.75,0.77,-1092.271,18.316
23.98,90.0,1.0,1.0,2.16,0.62,-1542.344,28.802
15.02,108.8,1.0,1.0,2.75,0.76,-1093.171,18.394
23.98,105.9,1.0,1.0,2.08,0.5,-1694.179,34.844
23.98,90.4,1.0,1.0,2.16,0.62,-1544.664,28.933
15.11,90.7,1.0,1.0,2.68,0.88,-980.539,12.901
25.0,148.8,1.0,1.0,1.53,0.5,-1934.318,50.818
23.98,95.2,1.0,1.0,2.08,0.5,-1635.462,32.055
23.99,90.2,1.0,1.0,2.08,0.5,-1609.65,30.75
23.98,115.9,1.01,1.0,2.11,0.5,-1731.152,36.318
15.15,118.0,1.0,1.0,2.75,0.65,-1194.686,22.17
