X1,X2,X3,X4,X5,X6,AVG,RIP
24.92,138.0,0.59,0.01,1.77,0.5,-2149.129,48.807
15.45,62.4,0.52,0.72,3.09,0.76,-1046.482,7.239
15.78,139.8,0.5,0.01,3.32,0.61,-1702.664,27.358
15.78,139.7,0.5,0.01,3.32,0.59,-1715.807,29.195
24.88,73.2,0.51,0.01,2.34,0.5,-1776.686,31.644
15.01,93.2,0.5,0.95,3.14,0.62,-1137.498,8.608
24.41,120.8,0.51,0.01,2.36,0.5,-2027.57,37.63
15.14,139.1,0.5,0.01,3.46,0.6,-1680.703,27.118
24.88,64.2,0.52,0.01,2.26,0.5,-1737.175,31.553
24.77,120.9,0.51,0.01,2.36,0.5,-2006.126,37.179
15.14,139.0,0.5,0.01,3.46,0.62,-1671.783,26.156
24.92,137.2,0.52,0.01,1.91,0.5,-2138.546,46.169
24.92,137.6,0.6,0.01,1.84,0.51,-2141.879,47.6
15.01,74.1,0.5,0.74,3.23,0.73,-1087.757,7.589
24.4,139.9,0.52,0.01,1.99,0.5,-2120.656,44.928
24.82,119.0,0.52,0.01,2.41,0.5,-1986.203,36.1
15.15,82.5,0.5,0.01,3.35,0.68,-1505.282,21.212
15.05,131.4,0.5,0.01,3.47,0.66,-1622.781,23.715
15.14,139.3,0.5,0.01,3.46,0.62,-1662.376,25.583
15.11,74.1,0.5,0.73,3.23,0.72,-1099.498,8.306
24.85,62.7,0.53,0.01,2.23,0.5,-1724.277,31.349
15.08,93.6,0.5,0.01,3.55,0.65,-1562.938,22.852
15.04,93.2,0.5,0.92,3.14,0.62,-1149.917,8.987
15.14,112.2,0.5,0.51,3.32,0.66,-1352.582,18.351
15.78,139.7,0.52,0.01,3.32,0.59,-1722.09,30.265
24.4,107.4,0.52,0.01,2.53,0.5,-1927.381,34.376
24.39,118.9,0.52,0.01,2.45,0.5,-1991.363,36.764
24.84,82.9,0.51,0.01,2.35,0.5,-1863.087,33.534
15.14,139.1,0.5,0.01,3.47,0.65,-1638.803,24.721
24.39,100.4,0.53,0.01,2.57,0.5,-1879.608,33.799
24.4,118.7,0.52,0.01,2.32,0.5,-2028.812,38.866
15.14,76.6,0.5,0.01,3.39,0.66,-1515.53,21.672
15.08,92.6,0.5,0.01,3.41,0.68,-1532.628,21.943
15.14,132.4,0.5,0.01,3.46,0.63,-1651.923,25.006
24.76,82.9,0.51,0.01,2.35,0.5,-1845.089,33.28
24.85,81.5,0.51,0.01,2.35,0.5,-1836.53,32.792
24.85,78.6,0.51,0.01,2.35,0.5,-1826.288,32.269
24.4,138.3,0.55,0.01,2.26,0.5,-2071.897,40.795
24.77,76.4,0.51,0.01,2.36,0.5,-1798.927,31.872
24.4,139.7,0.55,0.01,2.29,0.5,-2065.836,40.073
15.13,66.0,0.5,0.03,3.16,0.7,-1417.451,19.457
24.39,107.7,0.56,0.01,2.44,0.5,-1961.25,35.892
15.01,99.8,0.5,0.89,3.15,0.58,-1204.12,10.744
24.4,114.2,0.51,0.01,2.54,0.5,-1945.027,34.849
15.04,113.7,0.5,0.62,3.34,0.62,-1324.904,16.483
15.04,105.4,0.5,0.67,3.29,0.62,-1281.971,14.415
15.13,132.8,0.5,0.01,3.42,0.66,-1627.27,24.12
15.08,78.7,0.5,0.01,3.25,0.71,-1464.537,20.349
15.08,109.6,0.5,0.01,3.56,0.65,-1597.761,23.288
15.01,96.4,0.5,0.89,3.14,0.62,-1165.331,9.408
15.08,108.4,0.5,0.01,3.53,0.66,-1590.714,22.888
24.51,131.5,0.5,0.02,2.26,0.5,-2048.69,39.993
15.07,101.3,0.5,0.88,3.13,0.58,-1215.908,11.218
15.05,103.2,0.5,0.85,3.13,0.58,-1227.628,12.146
24.41,139.4,0.52,0.01,2.05,0.5,-2117.663,43.733
24.92,137.3,0.6,0.01,1.81,0.5,-2143.917,48.128
24.4,139.4,0.54,0.01,2.13,0.5,-2105.896,42.929
15.14,110.9,0.5,0.51,3.32,0.66,-1350.51,17.771
15.04,99.8,0.5,0.89,3.14,0.6,-1192.618,10.445
15.13,105.4,0.5,0.57,3.26,0.62,-1333.52,17.186
24.66,76.8,0.52,0.01,2.36,0.5,-1807.3,32.175
15.04,106.5,0.5,0.65,3.29,0.62,-1302.172,15.602
15.01,99.7,0.5,0.9,3.15,0.6,-1187.906,9.903
24.4,139.0,0.52,0.01,2.24,0.5,-2083.468,41.119
24.92,133.3,0.52,0.01,2.27,0.5,-2039.315,39.535
15.14,62.1,0.5,0.02,3.07,0.71,-1400.591,19.049
15.01,101.2,0.5,0.89,3.18,0.57,-1222.558,11.572
24.41,106.4,0.54,0.01,2.51,0.5,-1913.777,34.191
15.13,101.2,0.5,0.71,3.15,0.64,-1251.499,13.594
15.01,60.2,0.5,0.01,3.06,0.72,-1377.079,18.615
15.02,101.1,0.5,0.85,3.18,0.57,-1240.301,12.39
15.78,139.7,0.5,0.01,3.27,0.59,-1719.801,29.675
15.04,101.1,0.5,0.01,3.43,0.68,-1544.851,22.319
24.98,137.3,0.6,0.01,1.88,0.5,-2121.206,45.65
24.4,139.4,0.54,0.01,2.05,0.5,-2114.822,43.666
24.4,139.4,0.52,0.01,2.19,0.5,-2094.351,41.924
15.04,113.7,0.5,0.59,3.34,0.62,-1335.709,17.526
24.4,139.7,0.56,0.01,2.21,0.5,-2088.978,41.543
15.11,100.4,0.5,0.01,3.42,0.68,-1550.261,22.561
15.07,81.5,0.5,0.01,3.33,0.7,-1489.202,20.674
15.07,80.9,0.5,0.01,3.32,0.7,-1482.16,20.51
15.03,105.4,0.5,0.71,3.29,0.62,-1259.015,14.113
