X1,X2,X3,X4,X5,X6:,X7:,X8:,X9:,AVG,RIP,COG,THD
22,140,1,3,0.5,11,17,12,0,-1483.96,11.27,20.63,39.3
22,140,1,3,0.5,10,10,13,13,-1444.01,19.14,20.1,40.19
22,140,1,3,0.5,15,17,10,8,-1725.06,40.08,16.68,119.5
22,140,1,3,0.5,15,18,2,2,-1680.99,36.26,13.91,118.76
22,140,1,3,0.5,10,14,6,14,-1568.85,70.0,20.46,34.4
22,140,1,3,0.5,15,18,11,5,-1767.77,30.24,17.76,113.01
22,140,1,3,0.5,11,11,5,5,-1504.74,25.45,20.57,34.07
22,140,1,3,0.5,10,13,13,13,-1527.33,43.04,21.33,38.28
22,140,1,3,0.5,15,16,3,1,-1656.51,31.29,18.73,111.36
22,140,1,3,0.5,13,17,15,8,-1685.75,32.57,20.39,79.96
22,140,1,3,0.5,14,18,0,5,-1644.81,55.49,19.37,110.52
22,140,1,3,0.5,14,15,2,0,-1604.68,31.37,20.33,94.17
22,140,1,3,0.5,12,17,10,2,-1550.57,24.09,20.73,61.62
22,140,1,3,0.5,11,14,8,13,-1588.52,64.77,20.81,41.67
22,140,1,3,0.5,15,18,1,4,-1701.03,44.22,15.33,116.74
22,140,1,3,0.5,15,18,8,2,-1676.88,25.79,17.53,113.98
22,140,1,3,0.5,13,14,13,14,-1738.31,48.38,20.79,72.44
22,140,1,3,0.5,15,17,5,1,-1658.88,26.73,17.98,113.27
22,140,1,3,0.5,15,18,2,4,-1690.99,42.6,14.44,119.02
22,140,1,3,0.5,14,17,0,5,-1571.74,58.93,19.8,102.87
22,140,1,3,0.5,12,14,9,13,-1633.36,56.84,20.59,52.16
22,140,1,3,0.5,10,10,10,10,-1452.38,19.93,20.08,40.79
22,140,1,3,0.5,14,17,10,8,-1707.57,39.92,19.58,112.87
22,140,1,3,0.5,15,18,0,1,-1664.27,36.2,14.11,118.94
22,140,1,3,0.5,15,15,9,9,-1636.6,41.39,19.92,98.82
22,140,1,3,0.5,14,14,14,14,-1763.79,41.93,20.1,76.37
22,140,1,3,0.5,10,14,11,14,-1618.35,61.64,20.99,37.67
22,140,1,3,0.5,15,18,7,2,-1684.53,26.66,16.56,117.41
22,140,1,3,0.5,15,18,1,5,-1721.54,46.39,15.82,116.27
22,140,1,3,0.5,14,17,5,1,-1625.01,26.69,19.83,106.83
22,140,1,3,0.5,15,18,5,4,-1708.47,35.75,14.83,118.38
22,140,1,3,0.5,15,18,5,1,-1683.65,27.75,15.88,116.02
22,140,1,3,0.5,12,17,10,0,-1528.43,15.59,20.45,53.3
22,140,1,3,0.5,12,17,13,8,-1636.24,33.72,20.85,68.97
22,140,1,3,0.5,11,13,14,13,-1569.94,37.81,21.06,45.32
22,140,1,3,0.5,15,18,2,5,-1718.25,44.92,15.0,118.75
22,140,1,3,0.5,13,13,14,14,-1683.49,37.29,20.27,54.73
22,140,1,3,0.5,11,14,13,14,-1679.02,54.29,21.23,48.65
22,140,1,3,0.5,11,14,14,13,-1641.99,47.42,21.15,48.81
22,140,1,3,0.5,14,17,13,8,-1725.1,36.42,20.24,103.02
22,140,1,3,0.5,13,17,8,0,-1561.4,18.72,20.29,74.19
22,140,1,3,0.5,11,17,11,0,-1501.52,13.0,20.32,41.25
22,140,1,3,0.5,13,14,12,14,-1714.52,49.25,20.46,69.48
22,140,1,3,0.5,11,14,9,13,-1600.55,60.56,20.89,44.45
22,140,1,3,0.5,13,18,14,4,-1645.81,22.83,20.46,74.37
22,140,1,3,0.5,10,14,13,13,-1594.03,50.26,21.14,37.93
22,140,1,3,0.5,11,13,12,14,-1583.19,46.68,21.27,43.91
22,140,1,3,0.5,10,10,6,6,-1472.13,25.68,20.22,40.57
22,140,1,3,0.5,14,14,0,0,-1577.22,32.44,20.22,76.95
22,140,1,3,0.5,12,14,6,2,-1521.08,28.85,20.47,52.3
