Torque,MaxAngle
1240.090181636328,0
1157.8765710195828,1
1072.3389202633268,2
989.0275004390392,3
911.6563557214969,4
845.7423149088979,5
790.081136999734,6
742.0919706615048,7
702.291770981862,8
662.3585743840792,9
614.966202883656,10
562.1110513519773,11
506.8812259575336,12
457.34702519948524,13
420.054305131014,14
395.7658980934297,15
387.8405388070149,16
391.2262063138535,17
400.14942131372277,18
416.138848731468,19
435.1015757187268,20
458.7844456001348,21
492.196259351378,22
531.6574361354216,23
576.3190216566973,24
624.9991946095283,25
672.9868498982132,26
720.6714786082076,27
766.8903237239356,28
810.0666058583812,29
851.2519125038976,30
889.0437542089757,31
922.0870255513768,32
952.1645059824492,33
976.9060055347344,34
996.016528278408,35
1011.1195967377633,36
1018.8210670083664,37
1020.0004603478317,38
1015.2027721595709,39
1001.6045729973259,40
984.5131317982616,41
965.5644245632517,42
946.2940386567435,43
931.2156313718264,44
921.8354771951732,45
920.344620668904,46
930.3617054080012,47
954.2007448512072,48
992.2923683612112,49
1043.176587817358,50
1102.7346108119084,51
1171.1274738863938,52
1240.0670592786225,53
1301.6579183819904,54
1346.649290417611,55
1369.2228690483862,56
1365.3783282546437,57
1334.7904506640316,58
1282.0438176078264,59
1212.5708155494092,60
1131.9013614923124,61
1046.724170599292,62
963.8940312280871,63
886.3659732803624,64
819.211270569484,65
763.1849040722516,66
716.4723390463777,67
676.9229574116296,68
638.1539478245104,69
593.6729897281405,70
542.1158513470751,71
488.8501925178452,72
439.9175271755804,73
403.8079018364108,74
380.7803480647863,75
373.9010420536031,76
379.56869883229524,77
391.3791145310818,78
409.47126723867,79
430.722288262914,80
457.2342629691608,81
492.014910384846,82
532.8647705903439,83
578.615754898932,84
627.1462718650664,85
675.7598420885796,86
723.6118776640456,87
769.8372578175228,88
813.6323709554568,89
853.9644631024267,90
890.9331996636845,91
923.8607896148619,92
952.7982661567772,93
977.3775558427487,94
997.138981411978,95
1011.6701901647936,96
1019.8483260007345,97
1021.3229935408483,98
1016.1001947513108,99
1004.3120574864492,100
988.2366008259116,101
971.4026916564172,102
956.6239104619216,103
944.518501270848,104
938.6770625087661,105
940.5598202102864,106
951.5887780193096,107
977.0816352376772,108
1016.3599658946612,109
1066.8932027463406,110
1126.1282180468263,111
1195.6029615274967,112
1263.7360021391612,113
1325.3391616701351,114
1371.878607724984,115
1395.5557749137733,116
1392.7134312752905,117
1362.2615562082322,118
1309.5895449018692,119
1239.7473334886151,120
