Torque,MaxAngle
-0.6801535540480876,0
2.4343435772702233,1
5.185234392202552,2
7.375481141670224,3
8.888708310356233,4
9.53536437602482,5
9.478111437814864,6
8.987544579113813,7
8.095415897777812,8
7.155951543807616,9
6.252407621564572,10
5.335202646452403,11
4.576291279946204,12
3.8682100607930945,13
3.1968663335626797,14
2.6718027708626617,15
2.165014835192601,16
1.73772082733834,17
1.4419091172282614,18
1.110534616390638,19
0.8443558728514484,20
0.6423073784093877,21
0.3769410535127924,22
0.2001837138681515,23
0.06910207920554652,24
-0.09594517271221685,25
-0.17621091679022824,26
-0.28420572217669127,27
-0.4314007771456212,28
-0.512377112647396,29
-0.6448641745694624,30
-0.7506854201938904,31
-0.7884991511632808,32
-0.9173392471467701,33
-1.02896911281019,34
-1.1307625088148123,35
-1.3359775290888705,36
-1.4900603980928016,37
-1.644943138458557,38
-1.8680343143201565,39
-2.055030615000801,40
-2.3267149418247026,41
-2.6765172067655403,42
-3.017676758045302,43
-3.4843877241479095,44
-3.9895573426165285,45
-4.497975619166584,46
-5.156716960997795,47
-5.850307030835964,48
-6.610218238589052,49
-7.522998258482407,50
-8.417516735413496,51
-9.312071205840564,52
-10.15234952267054,53
-10.660184789405232,54
-10.706732172620608,55
-10.115959623742551,56
-8.657271077197027,57
-6.535602365926512,58
-3.7965521284436186,59
-0.7168907827818491,60
2.284840254822593,61
5.071175472013892,62
7.297460495313424,63
8.710359568527045,64
9.385352990584284,65
9.380932870879532,66
8.80733989244086,67
8.0375219874205,68
7.107189510995688,69
6.1654121697845,70
5.3362134825441805,71
4.48904685059568,72
3.7702022290994277,73
3.1899499301187917,74
2.5997337394303157,75
2.1369132810646256,76
1.742897925810324,77
1.327378081425542,78
1.0367364604494929,79
0.7759151957973665,80
0.529463279791614,81
0.39313412434859923,82
0.20882555605262595,83
0.03245193064596762,84
-0.07487419187242676,85
-0.25262342856283343,86
-0.36606761546682015,87
-0.4147031364057852,88
-0.5441517131809844,89
-0.6191871977077016,90
-0.7042865204201288,91
-0.8666507153910904,92
-0.9577304619875916,93
-1.0720509629230865,94
-1.2077198975184005,95
-1.2821056327445597,96
-1.452579910034848,97
-1.6449270949091563,98
-1.8132257496672377,99
-2.1005857813986837,100
-2.368223469011801,101
-2.6284153609580554,102
-3.0111284252015613,103
-3.387669953296051,104
-3.8443559818434507,105
-4.434640328596056,106
-5.0278998893322955,107
-5.743360578222256,108
-6.554958163276233,109
-7.391503160079956,110
-8.376145883324883,111
-9.36372948314533,112
-10.178667642257208,113
-10.75967819102152,114
-10.776507886473727,115
-10.021602017007783,116
-8.573646116566971,117
-6.3140209747136,118
-3.524413213628082,119
-0.48848565503155156,120
