X1,X2,X3,X4,X5,X6,X7,ANG,AVG,RIP,COG
15,130,2,1,0.5,10,11,-45.0,-754.8,26.84,19.72
22,140,1,3,0.5,15,16,-40.0,-1643.97,34.81,18.21
16,140,2,3,0.5,10,11,-47.0,-1295.3,41.36,19.96
17,150,3,2,0.5,11,12,-46.0,-1433.61,49.03,20.98
23,130,1,2,0.5,15,17,-40.0,-1701.92,39.25,15.66
22,140,1,3,0.5,15,17,-40.0,-1636.02,30.18,15.82
18,100,2,2,0.5,15,18,-40.0,-1472.29,49.85,13.51
18,150,1,2,0.5,15,18,-40.0,-1416.77,34.11,13.57
20,150,1,2,0.5,15,18,-40.0,-1560.09,29.88,13.77
18,130,2,1,0.5,15,18,-40.0,-1342.58,38.17,13.46
