X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
21.2,126.3,1.09,0.02,0.72,2.34,1.8,11.74,12.34,-44.0,-1257.37,71.31
19.78,97.9,3.31,0.17,0.85,2.05,1.55,13.58,14.83,-42.0,-1424.77,67.28
15.22,135.8,3.39,0.01,1.12,2.16,1.57,10.52,12.76,-47.0,-1212.98,55.98
24.43,101.8,0.5,0.42,3.17,2.62,1.77,10.88,14.99,-40.0,-1341.1,50.14
24.25,84.0,0.73,0.74,1.65,2.2,1.7,10.07,11.87,-44.0,-1302.41,74.63
17.34,117.6,0.5,0.3,1.01,2.12,1.59,12.56,13.17,-45.0,-801.51,40.63
24.89,138.4,0.62,0.15,2.74,2.54,1.73,12.14,14.79,-42.0,-1621.36,45.59
21.48,117.9,1.64,0.44,1.88,2.22,1.72,10.64,12.56,-45.0,-1507.46,64.28
20.79,126.5,0.5,0.02,3.86,2.42,1.83,10.76,14.08,-44.0,-1309.2,46.04
24.15,119.2,0.52,0.48,1.15,2.74,1.82,13.37,14.46,-41.0,-1468.54,64.49
19.92,124.8,2.14,0.48,0.98,2.57,1.88,10.52,10.96,-44.0,-1249.34,67.02
22.86,87.2,2.23,0.49,1.28,2.18,1.68,11.32,11.83,-45.0,-1502.11,77.52
21.32,116.6,2.65,0.66,1.0,2.28,1.77,10.96,11.47,-44.0,-1454.87,75.37
19.78,97.9,0.97,0.4,0.85,2.03,1.53,13.91,16.02,-40.0,-1068.81,48.45
24.99,103.2,3.02,0.92,0.5,2.12,1.57,10.7,11.24,-44.0,-1533.28,89.09
19.19,114.7,1.89,0.31,1.15,2.01,1.51,10.57,11.04,-45.0,-1216.04,56.25
16.84,122.9,2.49,0.68,1.97,2.15,1.65,12.37,17.81,-40.0,-1296.13,64.03
23.26,131.8,0.97,0.65,0.91,2.52,1.72,10.34,16.23,-40.0,-1303.54,77.65
22.06,98.2,0.51,0.98,1.06,2.32,1.72,10.03,11.25,-46.0,-1122.16,90.84
19.9,109.3,0.52,0.82,2.02,2.3,1.78,14.46,14.62,-40.0,-1185.31,38.25
18.79,137.9,1.98,0.56,2.42,2.46,1.64,13.2,16.12,-40.0,-1374.34,50.53
24.26,81.1,0.74,0.74,2.49,2.2,1.64,10.07,11.93,-44.0,-1340.85,58.31
24.87,80.8,0.5,0.93,2.87,2.26,1.76,13.54,16.24,-40.0,-1327.71,34.92
19.28,124.6,1.74,0.21,2.66,2.54,1.92,10.92,11.77,-46.0,-1449.22,44.95
24.86,115.1,1.39,0.12,1.26,2.52,1.81,10.12,10.76,-44.0,-1657.27,75.36
21.87,126.8,0.5,0.75,3.58,2.49,1.63,10.65,10.71,-43.0,-1137.96,46.25
21.91,139.8,1.1,0.09,2.8,2.38,1.53,13.78,16.06,-40.0,-1612.49,38.8
22.95,132.1,3.16,0.84,0.5,2.57,1.93,11.75,12.13,-44.0,-1486.1,81.45
17.29,113.1,2.24,0.53,1.11,2.03,1.53,14.08,14.75,-42.0,-1247.93,52.05
22.89,120.4,2.94,0.86,0.62,2.56,1.73,11.91,13.29,-43.0,-1413.05,75.0
21.17,135.9,0.5,0.82,1.5,2.22,1.7,14.28,14.83,-40.0,-1377.4,50.87
21.24,120.3,0.5,0.65,1.09,2.46,1.75,10.95,14.97,-41.0,-1124.87,80.97
24.76,138.7,2.54,0.03,0.83,2.48,1.73,11.88,17.89,-40.0,-1491.23,82.72
16.39,124.6,1.17,0.4,3.75,2.05,1.55,10.68,17.19,-40.0,-1222.31,85.42
19.19,114.7,1.89,0.55,1.16,2.32,1.65,10.95,11.15,-44.0,-1131.17,56.99
17.95,118.1,1.38,0.86,1.42,2.21,1.71,10.8,13.16,-43.0,-964.74,43.35
20.5,127.4,2.11,0.28,1.73,2.31,1.78,11.08,16.26,-40.0,-1530.72,83.12
19.9,105.1,0.55,0.59,2.02,2.2,1.66,14.46,14.62,-41.0,-1196.72,35.5
21.25,133.9,1.09,0.4,0.75,2.3,1.53,11.66,12.19,-44.0,-1295.45,73.76
20.74,135.8,3.28,0.03,1.1,2.4,1.67,10.95,12.76,-45.0,-1515.47,76.78
17.29,113.1,2.24,0.47,2.73,2.03,1.53,14.08,14.75,-44.0,-1478.13,58.62
17.33,118.2,1.87,0.84,3.11,2.08,1.57,10.3,17.82,-40.0,-1136.65,77.95
16.29,137.8,1.17,0.82,2.71,2.3,1.64,10.07,12.82,-45.0,-951.93,66.2
21.91,139.8,3.65,0.14,0.5,2.42,1.55,10.5,14.96,-42.0,-1339.54,80.77
22.98,130.5,2.27,0.03,1.45,2.56,1.94,10.2,16.42,-40.0,-1559.27,81.72
24.76,115.3,2.46,0.03,0.89,2.44,1.91,11.88,17.73,-40.0,-1513.32,74.84
19.17,117.6,0.94,0.3,1.01,2.14,1.59,11.03,13.11,-43.0,-1006.87,65.93
15.8,138.2,1.18,0.58,3.56,2.17,1.66,10.8,13.74,-46.0,-1116.46,88.92
21.15,135.9,0.5,0.83,3.8,2.52,1.7,12.16,14.83,-40.0,-1057.99,40.69
21.86,126.8,0.5,0.75,3.66,2.2,1.7,10.65,10.77,-42.0,-1170.51,71.59
21.24,121.5,0.5,0.27,3.78,2.7,1.98,13.31,15.19,-40.0,-1334.47,28.28
20.0,118.3,0.97,0.25,3.27,2.31,1.81,10.25,10.82,-46.0,-1378.35,37.4
19.58,132.7,2.19,0.55,2.4,2.52,1.87,10.34,14.59,-42.0,-1399.03,73.22
21.98,135.9,0.62,0.68,2.78,2.48,1.69,12.14,14.79,-40.0,-1401.32,47.12
24.17,106.6,1.53,0.82,0.52,2.57,1.84,11.05,12.29,-44.0,-1384.68,88.98
24.48,124.2,1.41,0.21,2.04,2.16,1.65,10.82,15.57,-42.0,-1711.13,72.95
20.81,118.3,1.08,0.25,3.27,2.5,1.81,10.25,12.78,-45.0,-1357.79,42.95
21.91,138.8,1.12,0.66,2.95,2.24,1.53,13.78,16.06,-40.0,-1481.55,34.4
21.06,136.0,0.5,0.02,3.82,2.71,1.98,10.84,12.75,-43.0,-1280.42,46.41
19.33,110.9,1.8,0.77,2.27,2.25,1.75,10.22,14.57,-43.0,-1265.49,62.89
22.86,87.2,2.23,0.49,1.28,2.18,1.68,11.32,11.81,-45.0,-1503.66,77.4
19.28,124.6,0.59,0.72,3.57,2.54,1.92,10.92,11.77,-43.0,-1127.5,47.15
20.19,122.8,3.29,0.31,0.94,2.37,1.51,14.33,14.83,-41.0,-1392.87,63.0
24.76,138.8,0.52,0.48,1.15,2.56,1.82,11.84,14.53,-42.0,-1566.52,66.51
24.96,137.9,1.98,0.93,0.59,2.46,1.64,10.64,16.12,-41.0,-1415.88,78.17
24.88,115.1,1.33,0.84,1.26,2.52,1.81,10.12,10.76,-44.0,-1568.6,83.19
20.5,134.1,0.5,0.39,1.59,2.14,1.56,10.68,14.05,-42.0,-1216.18,63.85
24.17,106.6,1.09,0.8,1.12,2.56,1.84,11.11,12.78,-43.0,-1396.73,80.56
21.48,117.9,1.64,0.44,1.72,2.5,2.0,13.55,16.06,-40.0,-1605.39,67.62
24.76,136.2,0.9,0.83,2.47,2.18,1.64,14.12,15.57,-40.0,-1676.91,42.14
18.3,126.2,1.44,0.75,1.46,2.2,1.7,10.27,10.39,-45.0,-1022.78,48.55
24.26,81.1,0.74,0.66,2.55,2.15,1.64,10.07,11.93,-44.0,-1371.17,54.43
20.3,104.8,2.59,0.38,1.37,2.25,1.75,10.35,14.62,-43.0,-1421.09,83.51
19.48,138.2,1.18,0.29,0.96,2.16,1.65,11.06,12.12,-44.0,-1173.13,62.5
19.89,98.2,0.97,0.26,3.39,2.07,1.57,10.26,10.29,-47.0,-1302.76,48.39
19.9,136.6,0.5,0.59,3.77,2.47,1.65,14.48,14.82,-40.0,-1190.47,44.57
22.47,83.1,0.5,0.49,3.29,2.05,1.55,11.7,11.83,-43.0,-1284.94,37.24
21.12,133.9,1.09,0.4,0.75,2.3,1.53,10.71,12.12,-44.0,-1247.17,76.91
24.23,114.9,1.44,0.31,1.15,2.01,1.51,10.57,15.49,-41.0,-1585.3,74.37
24.48,77.7,1.27,0.09,2.14,2.14,1.64,14.11,15.02,-43.0,-1705.93,56.04
21.87,126.8,3.66,0.78,0.5,2.22,1.64,10.05,10.83,-44.0,-1396.36,84.58
24.65,118.0,2.52,0.03,0.83,2.48,1.73,11.88,17.86,-40.0,-1435.56,79.13
22.86,87.2,2.23,0.49,1.28,2.15,1.65,11.0,12.63,-44.0,-1505.26,78.04
24.22,81.1,0.73,0.74,2.46,2.19,1.69,12.17,12.86,-44.0,-1391.46,47.15
24.44,98.2,1.53,0.72,0.52,2.57,1.84,11.05,12.29,-44.0,-1356.7,89.26
22.98,130.5,2.27,0.03,1.45,2.34,1.71,10.2,16.42,-40.0,-1571.8,80.07
20.02,117.1,1.89,0.31,2.34,2.28,1.78,10.54,11.04,-46.0,-1506.97,53.13
17.33,124.6,1.86,0.86,3.11,2.26,1.57,10.3,11.16,-45.0,-1095.3,39.39
15.22,135.8,3.39,0.02,1.12,2.16,1.57,10.95,12.76,-47.0,-1211.3,54.99
21.17,135.9,0.6,0.56,1.79,2.28,1.75,11.04,14.83,-41.0,-1346.86,57.64
24.26,81.1,0.74,0.74,2.49,2.2,1.64,10.02,11.93,-44.0,-1339.31,58.62
21.81,127.4,1.03,0.51,1.12,2.2,1.7,10.65,10.77,-44.0,-1343.83,72.14
19.47,135.9,0.5,0.83,3.73,2.53,1.92,12.16,14.83,-40.0,-1138.23,42.37
17.44,117.6,0.5,0.35,1.01,2.1,1.59,10.36,11.56,-46.0,-784.06,54.91
24.48,124.2,0.54,0.93,2.87,2.16,1.66,10.82,15.57,-40.0,-1381.09,46.5
20.19,122.8,0.63,0.29,3.69,2.63,1.78,14.33,17.22,-40.0,-1296.29,27.28
19.3,138.1,1.13,0.77,3.51,2.16,1.64,10.81,14.59,-43.0,-1206.37,52.4
20.33,107.7,3.39,0.59,0.75,2.16,1.57,10.65,12.76,-44.0,-1282.19,77.6
21.91,129.8,1.1,0.09,2.8,2.08,1.53,13.78,16.06,-41.0,-1743.11,46.34
24.76,132.1,0.73,0.02,0.83,2.24,1.73,10.61,17.82,-40.0,-1446.43,76.84
19.09,132.7,1.53,0.23,0.96,2.35,1.84,11.06,12.12,-44.0,-1146.92,59.48
19.86,120.6,3.37,0.28,0.9,2.48,1.98,13.32,14.98,-42.0,-1470.08,70.29
16.42,137.9,1.98,0.83,2.51,2.12,1.62,12.93,16.14,-40.0,-1309.87,65.87
20.16,98.3,1.39,0.63,2.4,2.1,1.57,11.5,11.78,-46.0,-1292.85,39.45
15.01,135.8,3.39,0.02,1.12,2.12,1.57,10.01,10.15,-47.0,-1188.27,41.38
24.43,105.3,2.19,0.09,1.45,2.62,1.77,11.69,16.58,-40.0,-1498.89,71.73
20.74,121.3,0.55,0.28,1.1,2.38,1.66,10.9,15.27,-40.0,-1086.01,79.51
24.82,132.7,2.38,0.86,1.23,2.52,1.9,12.16,12.88,-43.0,-1681.86,78.8
22.98,128.4,2.27,0.03,1.45,2.56,1.94,10.2,16.44,-40.0,-1563.53,82.05
21.87,126.8,1.67,0.24,2.51,2.49,1.63,10.63,10.71,-44.0,-1520.86,55.94
19.78,97.9,0.61,0.19,0.64,2.05,1.55,13.58,17.6,-40.0,-954.61,78.85
24.15,119.0,2.54,0.03,0.93,2.65,1.73,13.41,17.75,-40.0,-1492.65,66.3
18.61,103.1,2.05,0.56,2.37,2.01,1.51,10.26,11.24,-46.0,-1329.9,49.53
20.19,122.8,0.52,0.29,3.69,2.63,1.78,14.33,17.69,-40.0,-1275.88,33.73
21.34,135.9,0.58,0.14,1.38,2.22,1.7,14.28,14.65,-42.0,-1446.72,49.77
20.5,127.4,0.5,0.29,3.91,2.31,1.78,11.08,16.26,-40.0,-1246.82,35.98
15.22,135.8,3.39,0.05,0.52,2.16,1.57,10.96,12.27,-46.0,-990.9,45.01
21.24,120.1,0.5,0.27,3.78,2.42,1.71,10.41,12.53,-43.0,-1230.65,50.45
21.86,116.4,0.5,0.81,3.64,2.22,1.72,10.65,17.51,-40.0,-1099.91,39.99
20.0,118.3,1.18,0.25,3.22,2.39,1.83,10.24,10.75,-46.0,-1404.48,35.5
21.32,109.1,0.6,0.79,1.99,2.48,1.98,10.25,11.47,-44.0,-1163.32,65.4
15.8,132.7,1.53,0.69,3.56,2.19,1.69,10.8,13.74,-46.0,-1121.53,83.65
22.17,118.3,0.53,0.98,0.94,2.32,1.72,10.02,11.25,-46.0,-1227.06,88.52
21.17,107.2,0.6,0.56,2.05,2.29,1.68,12.41,14.63,-42.0,-1261.94,48.88
24.43,101.8,0.52,0.42,2.35,2.62,1.77,10.93,14.99,-41.0,-1366.06,59.59
17.42,113.1,2.21,0.47,2.73,2.03,1.53,11.57,14.86,-44.0,-1422.33,68.67
19.43,124.0,1.86,0.21,2.04,2.16,1.65,10.82,11.12,-46.0,-1496.96,50.71
21.2,126.3,1.09,0.02,0.72,2.34,1.8,11.86,13.35,-43.0,-1262.15,68.81
22.66,87.4,0.55,0.4,0.5,2.16,1.57,10.13,10.15,-45.0,-1150.35,92.67
19.78,98.0,0.97,0.4,0.85,2.03,1.53,13.91,16.02,-40.0,-1070.17,48.9
19.25,138.3,0.56,0.3,1.01,2.14,1.59,11.73,13.16,-44.0,-1073.74,64.24
19.19,114.7,1.89,0.55,1.16,2.32,1.68,10.95,11.22,-44.0,-1152.86,55.99
24.85,110.9,1.81,0.86,1.54,2.53,1.9,10.08,11.87,-44.0,-1561.38,86.91
21.79,106.6,0.53,0.98,1.06,2.3,1.72,10.03,11.25,-46.0,-1136.95,88.29
18.3,115.8,1.62,0.81,1.53,2.22,1.72,14.28,17.11,-40.0,-1261.62,46.22
19.17,118.3,0.96,0.25,1.18,2.04,1.52,10.28,11.1,-46.0,-1007.54,65.33
20.19,122.8,0.58,0.33,3.56,2.58,1.73,14.33,17.6,-40.0,-1291.19,31.36
20.5,127.4,0.5,0.19,3.93,2.52,1.7,12.47,16.26,-40.0,-1198.14,38.42
17.34,112.5,2.24,0.75,2.46,2.02,1.52,14.08,14.75,-43.0,-1369.05,57.17
20.96,124.6,1.74,0.21,2.61,2.53,1.7,10.92,11.77,-45.0,-1461.68,55.21
21.22,116.4,2.65,0.3,1.05,2.55,1.98,12.56,13.08,-44.0,-1548.04,71.95
24.87,80.8,0.54,0.21,2.04,2.26,1.75,13.54,16.24,-40.0,-1521.23,41.89
18.81,120.0,0.58,0.54,3.86,2.37,1.52,13.55,13.72,-42.0,-1091.64,52.84
15.83,132.8,2.28,0.58,2.36,2.19,1.69,11.09,13.74,-45.0,-1261.25,64.57
15.03,135.9,0.55,0.01,1.11,2.13,1.63,14.33,14.48,-41.0,-743.86,79.82
20.79,126.5,0.5,0.02,3.86,2.73,1.83,10.76,14.08,-42.0,-1212.88,36.37
21.87,126.8,2.38,0.77,1.55,2.52,1.63,10.63,10.71,-43.0,-1441.01,74.71
17.95,118.1,1.54,0.92,1.42,2.21,1.71,10.8,13.16,-43.0,-997.75,44.77
21.16,97.4,0.51,0.16,0.82,2.2,1.55,13.58,15.11,-40.0,-1118.29,66.35
18.74,124.6,1.0,0.07,3.75,2.46,1.64,13.63,17.07,-40.0,-1309.28,51.97
24.86,115.0,1.03,0.11,1.26,2.34,1.81,10.12,10.76,-44.0,-1643.36,72.38
24.48,77.7,1.41,0.08,0.5,2.14,1.64,10.16,11.39,-44.0,-1291.85,87.71
24.89,138.1,0.62,0.15,2.73,2.3,1.73,12.16,14.14,-43.0,-1730.19,42.37
24.32,134.9,1.25,0.92,2.2,2.18,1.61,10.66,16.47,-40.0,-1455.56,61.52
19.86,115.9,3.37,0.28,0.9,2.43,1.93,13.27,14.98,-42.0,-1457.96,70.76
20.56,122.8,0.63,0.29,3.69,2.28,1.78,14.33,17.22,-40.0,-1457.7,34.24
24.87,85.7,0.54,0.21,2.34,2.25,1.74,13.47,16.01,-41.0,-1563.32,36.81
22.77,88.0,1.63,0.4,1.15,2.01,1.51,10.13,15.59,-41.0,-1362.98,83.94
19.39,123.9,1.85,0.66,1.44,2.54,1.93,10.45,10.64,-44.0,-1215.54,56.09
21.86,115.8,0.51,0.81,1.53,2.22,1.72,14.15,16.07,-40.0,-1347.24,47.56
21.88,126.8,0.5,0.75,3.68,2.5,1.64,10.65,10.83,-42.0,-1107.64,53.62
24.82,112.8,2.38,0.85,1.22,2.52,1.9,12.16,12.88,-43.0,-1631.02,80.78
17.34,122.5,2.17,0.75,0.98,2.02,1.52,14.54,14.83,-41.0,-1198.31,45.59
