X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP,COG
24.93,139.2,0.82,0.01,2.17,2.04,1.51,15.0,-40.0,-1887.31,39.86,13.79
23.37,131.4,0.5,0.01,3.14,2.01,1.51,15.0,-41.0,-1739.87,17.65,16.65
24.56,138.1,1.46,0.01,2.03,2.01,1.51,14.53,-43.0,-2011.99,60.1,19.11
18.66,108.9,0.5,0.01,3.16,2.03,1.51,15.0,-42.0,-1478.75,48.39,16.71
18.83,108.1,0.53,0.01,3.13,2.04,1.51,15.0,-42.0,-1481.39,47.0,16.87
23.5,108.9,0.5,0.0,3.3,2.02,1.52,12.49,-46.0,-1543.03,17.5,21.0
23.49,131.5,0.58,0.0,3.12,2.04,1.52,14.24,-43.0,-1678.59,22.73,18.6
24.73,139.8,1.55,0.01,2.02,2.04,1.53,15.0,-40.0,-1948.81,47.94,14.51
23.46,138.9,0.5,0.01,3.27,2.04,1.51,15.0,-40.0,-1651.11,6.91,13.89
24.5,138.5,0.72,0.01,2.94,2.02,1.51,14.54,-43.0,-1752.06,35.3,18.64
24.83,139.7,1.31,0.01,2.04,2.02,1.51,10.02,-45.0,-1920.77,52.15,19.94
19.34,137.7,0.51,0.0,3.2,2.02,1.52,15.0,-42.0,-1578.12,43.59,17.43
23.46,139.8,0.5,0.01,3.34,2.12,1.52,15.0,-40.0,-1566.94,3.74,14.03
24.56,131.0,1.46,0.02,2.03,2.01,1.51,14.98,-43.0,-1992.55,60.27,18.79
23.45,137.4,0.5,0.01,3.35,2.04,1.51,15.0,-40.0,-1601.01,7.91,13.78
24.62,139.6,1.51,0.01,2.07,2.01,1.51,14.44,-44.0,-1989.4,62.15,18.59
18.86,138.1,1.43,0.02,2.82,2.02,1.51,14.53,-45.0,-1690.06,46.43,18.07
22.89,139.8,0.5,0.03,2.84,2.12,1.52,15.0,-40.0,-1735.81,20.94,13.84
19.17,136.0,1.47,0.01,2.81,2.02,1.51,15.0,-40.0,-1794.17,50.22,13.48
23.49,139.9,0.5,0.03,3.28,2.13,1.52,15.0,-40.0,-1583.56,4.36,14.02
23.49,139.2,0.5,0.01,3.09,2.02,1.52,15.0,-40.0,-1757.54,12.19,13.91
23.94,138.0,0.52,0.01,2.2,2.02,1.51,15.0,-40.0,-1826.57,28.03,13.62
24.53,139.8,1.45,0.01,2.2,2.03,1.52,14.98,-40.0,-1959.07,51.2,15.68
24.62,139.4,1.78,0.01,1.61,2.03,1.51,14.9,-40.0,-1950.3,49.32,16.51
23.48,106.5,0.56,0.03,3.18,2.03,1.52,13.26,-44.0,-1644.12,19.11,20.25
23.3,139.9,0.5,0.03,3.25,2.13,1.52,15.0,-40.0,-1633.87,5.83,14.04
23.45,137.3,1.4,0.01,2.1,2.02,1.51,10.01,-46.0,-1834.08,49.61,19.3
24.63,138.0,0.83,0.01,2.15,2.02,1.52,14.95,-40.0,-1934.61,38.41,15.89
24.88,139.8,1.41,0.01,1.93,2.01,1.51,10.32,-46.0,-1935.77,57.2,18.86
24.92,139.8,0.74,0.01,2.72,2.02,1.52,10.1,-44.0,-1758.44,33.08,18.87
23.29,130.2,1.52,0.01,2.07,2.02,1.52,14.97,-41.0,-1939.98,56.62,17.32
24.39,111.3,0.52,0.01,3.07,2.03,1.52,13.04,-44.0,-1703.3,24.15,20.71
23.29,137.4,1.04,0.01,2.49,2.02,1.51,14.96,-41.0,-1912.65,43.27,17.11
24.53,139.8,0.82,0.01,2.2,2.03,1.52,14.98,-40.0,-1929.01,37.77,15.72
23.75,139.9,0.5,0.03,3.26,2.12,1.51,15.0,-40.0,-1597.8,6.05,13.94
24.81,127.1,0.54,0.01,2.94,2.02,1.51,14.78,-42.0,-1785.09,25.04,18.77
24.53,139.8,0.58,0.01,2.2,2.03,1.52,14.97,-40.0,-1883.36,27.39,15.15
23.55,131.4,0.78,0.01,2.82,2.02,1.51,10.17,-45.0,-1707.92,34.81,19.4
18.79,138.2,0.51,0.01,3.2,2.02,1.51,15.0,-42.0,-1560.24,48.02,17.35
