X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
24.9,121.8,2.23,0.63,0.77,2.06,1.55,12.24,16.74,-0.0,-203.05,103.85
15.16,129.5,0.95,0.38,2.21,2.04,1.52,11.73,12.85,-41.0,-144.91,104.41
17.4,118.6,0.78,0.54,2.8,2.15,1.65,13.85,15.45,-20.0,-216.28,88.83
21.03,124.7,3.17,0.27,1.09,2.72,2.0,10.61,13.54,-41.0,-156.72,105.56
21.98,93.0,3.47,0.18,0.5,2.21,1.71,13.17,14.18,-33.0,-193.51,87.91
20.02,111.0,2.76,0.28,0.73,2.35,1.85,11.13,16.86,-4.0,-191.75,126.99
24.03,107.9,1.51,0.26,0.51,2.32,1.53,11.12,13.83,-40.0,-163.21,107.78
23.73,118.7,0.5,0.7,3.31,2.31,1.67,10.3,16.94,8.0,-165.51,144.28
23.15,110.9,3.42,0.19,0.5,2.62,1.8,10.46,17.16,11.0,-172.27,136.16
24.84,91.5,0.85,0.83,2.0,2.35,1.53,12.58,16.08,-7.0,-208.65,99.34
20.39,133.7,3.12,0.61,1.19,2.84,1.93,10.52,15.75,-32.0,-168.26,133.29
19.58,128.2,0.62,0.88,1.94,2.45,1.6,10.45,17.45,15.0,-169.13,131.12
24.09,125.7,1.17,0.06,2.19,2.02,1.51,11.15,13.01,-41.0,-165.77,97.52
24.64,96.4,0.5,0.93,3.05,2.25,1.56,11.3,12.58,-44.0,-153.85,99.66
16.39,129.5,0.95,0.38,2.18,2.04,1.52,11.59,12.8,-41.0,-148.78,99.83
21.5,106.8,0.78,0.01,3.11,2.26,1.59,10.41,15.38,-34.0,-160.93,127.83
22.0,96.7,0.7,0.2,2.88,2.29,1.7,10.96,13.45,-41.0,-157.82,101.67
19.58,129.0,2.68,0.88,1.92,2.66,1.81,11.45,17.46,12.0,-190.24,112.51
16.12,131.1,3.5,0.23,1.73,2.2,1.7,14.34,17.93,-2.0,-244.01,63.55
24.84,90.9,1.02,0.83,2.26,2.34,1.52,12.59,16.08,-7.0,-207.8,98.64
22.92,120.0,1.1,0.53,2.6,2.18,1.67,11.59,17.14,3.0,-194.38,113.08
17.32,131.8,0.86,0.61,0.82,2.4,1.9,14.35,15.74,-11.0,-231.58,85.44
16.6,128.9,1.09,0.67,2.71,2.23,1.54,10.13,16.81,-6.0,-167.58,164.27
24.84,91.4,0.53,0.83,2.0,2.51,1.67,12.51,16.08,-6.0,-208.7,100.95
24.55,95.1,0.57,0.91,0.72,2.23,1.54,11.3,12.58,-43.0,-159.44,97.64
24.28,119.8,0.5,0.67,3.2,2.35,1.77,11.42,15.42,-30.0,-181.74,118.18
15.1,138.5,3.43,0.54,1.29,2.19,1.69,12.34,14.69,-32.0,-181.98,105.47
20.0,117.9,3.31,0.41,0.73,2.42,1.92,11.07,13.62,-40.0,-160.25,101.53
24.94,127.0,1.07,0.02,0.74,2.37,1.69,12.29,15.45,-24.0,-202.59,104.63
16.57,130.0,1.77,0.22,0.6,2.25,1.75,12.36,15.56,-21.0,-192.09,122.03
24.9,121.8,2.09,0.63,0.77,2.06,1.55,12.24,17.15,6.0,-200.72,99.57
24.09,129.8,1.17,0.22,2.58,2.17,1.64,10.26,12.69,-43.0,-155.28,104.04
18.61,139.2,2.69,0.5,1.23,2.66,1.95,11.4,17.41,11.0,-192.2,119.97
22.18,136.7,0.9,0.05,0.77,2.62,1.9,10.99,13.51,-42.0,-161.19,106.36
23.16,121.2,0.55,0.07,2.56,2.1,1.6,12.82,15.2,-25.0,-205.87,93.0
22.37,118.6,0.73,0.67,2.93,2.17,1.52,11.6,14.72,-35.0,-173.22,110.78
23.88,138.1,3.02,0.26,0.51,2.35,1.56,11.12,14.76,-37.0,-173.02,115.74
22.5,124.7,2.96,0.21,1.09,2.72,2.0,10.76,13.54,-41.0,-160.48,104.96
17.49,127.8,1.08,0.48,2.82,2.15,1.65,13.86,15.47,-20.0,-216.51,88.12
22.07,85.1,2.5,0.06,1.13,2.05,1.55,11.85,13.67,-37.0,-176.9,91.5
24.54,125.7,0.5,0.06,3.16,2.02,1.51,11.15,13.01,-42.0,-164.21,99.63
21.5,119.3,0.5,0.8,3.5,2.25,1.67,11.41,15.93,-21.0,-184.24,124.67
19.92,122.7,2.45,0.22,0.6,2.59,1.94,12.32,15.57,-22.0,-201.94,109.97
20.0,129.1,3.31,0.88,0.73,2.43,1.92,11.07,13.41,-42.0,-154.92,101.52
24.57,120.6,0.92,0.04,2.24,2.41,1.6,12.86,16.12,-13.0,-216.79,93.59
16.64,131.1,3.42,0.76,1.72,2.03,1.53,14.9,17.93,3.0,-248.1,58.42
21.54,130.2,2.25,0.23,1.72,2.2,1.7,12.67,17.93,7.0,-211.45,85.34
22.14,127.7,0.5,0.93,2.77,2.24,1.55,10.18,12.8,-44.0,-145.64,107.79
24.84,91.5,1.02,0.83,1.4,2.35,1.52,12.64,17.19,10.0,-203.63,89.68
19.58,131.3,2.31,0.61,2.04,2.66,1.81,14.3,17.46,2.0,-244.71,66.93
24.5,93.0,3.05,0.18,0.5,2.23,1.71,13.17,14.18,-33.0,-196.69,88.31
22.5,112.5,2.23,0.65,1.64,2.24,1.55,11.83,16.1,-17.0,-197.46,113.41
24.59,119.6,0.6,0.7,3.09,2.57,1.67,10.3,15.34,-35.0,-164.2,130.59
15.1,137.2,3.44,0.54,0.59,2.16,1.66,12.34,14.69,-31.0,-176.21,111.83
17.09,118.6,0.78,0.22,0.59,2.1,1.6,12.75,13.87,-37.0,-169.56,100.35
22.19,122.3,1.07,0.67,2.79,2.36,1.58,12.35,16.85,-0.0,-206.43,99.07
24.38,121.8,2.23,0.63,0.8,2.06,1.55,12.24,16.74,-4.0,-208.08,102.1
16.21,132.5,0.61,0.84,0.75,2.24,1.71,10.91,14.17,-40.0,-147.55,121.54
21.56,130.2,2.21,0.23,1.72,2.2,1.7,14.83,17.4,-0.0,-247.15,47.52
19.58,128.2,2.5,0.88,1.71,2.45,1.6,10.42,17.45,8.0,-172.94,141.01
22.85,129.2,0.5,0.69,1.89,2.16,1.52,10.3,16.94,-1.0,-172.88,143.35
21.03,118.1,3.3,0.54,0.78,2.55,1.65,13.86,15.45,-19.0,-219.78,84.94
22.16,118.4,0.52,0.7,1.5,2.08,1.58,10.79,14.32,-39.0,-159.91,115.08
24.59,119.7,0.67,0.7,3.0,2.36,1.53,10.37,16.94,-1.0,-173.41,143.13
