X1,X2,X3,X4,X5,X6,X7,X8,AVG,RIP,COG
16.83,129.6,2.25,0.03,2.62,2.26,1.75,15.0,-258.35,45.61,13.92
21.39,138.5,1.66,0.06,1.76,2.09,1.59,15.0,-255.47,44.8,13.74
20.66,137.9,1.66,0.06,1.69,2.12,1.62,15.0,-257.24,46.36,13.85
16.83,138.0,2.23,0.03,2.61,2.22,1.72,15.0,-257.66,46.62,13.88
15.68,128.3,2.7,0.06,0.72,2.03,1.52,15.0,-252.2,52.34,13.36
21.61,95.7,1.84,0.02,0.72,2.02,1.52,15.0,-249.33,41.0,13.52
20.77,97.8,2.19,0.01,2.05,2.16,1.66,15.0,-253.3,40.12,13.95
21.4,139.9,1.95,0.02,1.58,2.06,1.56,15.0,-253.78,42.72,13.66
21.72,139.5,1.7,0.02,0.71,2.03,1.53,15.0,-252.02,42.93,13.57
21.05,129.6,2.23,0.03,1.83,2.26,1.76,15.0,-257.59,41.21,14.1
21.47,93.7,1.69,0.06,0.55,2.16,1.66,15.0,-251.63,39.73,13.85
20.75,138.0,2.27,0.02,1.68,2.48,1.97,15.0,-261.66,40.74,14.43
21.04,129.6,2.1,0.03,1.84,2.23,1.73,15.0,-253.87,40.59,13.98
21.69,95.7,1.7,0.02,0.71,2.03,1.53,15.0,-248.66,40.45,13.46
21.05,129.6,2.23,0.02,1.86,2.28,1.78,15.0,-257.79,41.0,14.17
20.7,97.8,2.19,0.02,2.07,2.15,1.65,15.0,-252.86,39.67,14.0
21.12,98.5,2.19,0.02,2.0,2.03,1.53,15.0,-249.9,40.72,13.54
21.39,138.5,1.64,0.06,1.51,2.09,1.59,15.0,-254.83,43.32,13.73
15.68,127.6,2.79,0.02,2.06,2.02,1.51,15.0,-250.0,47.66,13.37
21.42,97.8,1.86,0.1,0.72,2.02,1.52,15.0,-249.78,42.25,13.49
20.87,95.8,2.6,0.08,0.78,2.01,1.51,15.0,-249.71,43.64,13.44
21.61,129.7,1.88,0.06,2.07,2.01,1.51,15.0,-250.45,42.31,13.53
16.83,136.4,0.82,0.07,1.49,2.42,1.91,15.0,-262.18,54.19,14.26
20.64,140.0,2.24,0.02,1.73,2.43,1.93,15.0,-261.46,40.99,14.34
21.4,138.5,1.56,0.08,2.48,2.15,1.65,15.0,-255.05,42.42,13.9
16.83,129.6,2.24,0.03,2.62,2.24,1.74,15.0,-258.75,45.92,13.9
20.7,129.6,2.15,0.03,1.95,2.26,1.76,15.0,-256.87,41.18,14.05
23.94,128.3,1.69,0.06,1.72,2.02,1.51,15.0,-252.55,45.1,13.57
21.69,135.6,1.89,0.05,2.02,2.1,1.58,15.0,-251.45,41.87,13.75
20.87,140.0,2.6,0.08,0.78,2.01,1.51,15.0,-252.64,45.71,13.43
