X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP,COG
23.49,133.9,0.86,0.01,2.99,2.01,1.51,15.0,-41.0,-1807.27,37.03,16.76
23.63,132.9,0.51,0.01,3.23,2.11,1.51,14.99,-40.0,-1668.8,8.39,13.85
16.02,139.1,1.05,0.03,3.29,2.02,1.51,13.64,-45.0,-1455.03,76.62,18.51
24.13,124.1,0.51,0.06,2.87,2.02,1.51,14.99,-41.0,-1801.07,22.23,17.33
23.2,139.7,0.7,0.01,2.91,2.05,1.55,12.94,-44.0,-1755.22,28.32,20.38
23.28,139.7,0.84,0.03,2.5,2.01,1.51,14.97,-41.0,-1875.18,33.46,16.88
23.41,139.0,0.5,0.02,2.92,2.01,1.51,15.0,-40.0,-1810.71,19.88,15.56
18.73,108.0,1.22,0.01,3.31,2.01,1.51,10.82,-47.0,-1468.43,42.45,20.84
16.5,133.1,0.99,0.02,1.83,2.01,1.51,15.0,-40.0,-1370.5,48.12,13.49
23.59,133.5,0.51,0.01,3.33,2.12,1.51,15.0,-40.0,-1611.14,4.83,13.82
17.81,138.6,0.9,0.01,1.7,2.01,1.51,11.49,-46.0,-1132.93,27.57,19.52
24.99,138.8,1.03,0.01,2.29,2.01,1.51,15.0,-41.0,-1968.0,48.93,17.69
17.81,136.5,0.89,0.01,1.71,2.01,1.51,11.5,-46.0,-1118.2,27.4,19.51
23.86,134.7,0.52,0.01,2.57,2.01,1.51,14.89,-40.0,-1836.23,22.72,14.64
17.99,138.0,1.07,0.05,3.82,2.02,1.51,15.0,-41.0,-1533.24,63.01,15.59
18.73,132.6,0.55,0.01,3.12,2.01,1.51,14.96,-41.0,-1597.82,45.76,16.02
23.49,139.9,0.86,0.01,3.0,2.01,1.51,15.0,-41.0,-1779.11,37.64,16.74
16.5,136.0,1.04,0.0,3.16,2.01,1.51,15.0,-40.0,-1562.79,58.95,13.44
17.81,136.5,0.99,0.01,1.71,2.04,1.51,11.77,-46.0,-1155.38,28.38,18.86
22.84,139.6,1.33,0.01,2.39,2.01,1.51,14.99,-41.0,-1943.34,52.66,17.48
23.77,132.6,0.52,0.01,2.95,2.06,1.55,14.95,-41.0,-1798.92,19.57,17.12
