X1,X2,X3,X4,X5,X6,X7,X8,COG
24,150,2,0.5,1,2.0,1.5,11,19.83
21,140,3,0.5,1,2.0,1.5,12,20.03
23,140,1,0.5,3,2.5,1.5,12,20.29
15,100,1,0.5,1,2.5,1.5,12,20.08
23,100,2,0.5,1,2.0,1.5,13,19.73
15,100,2,0.5,1,2.0,1.5,15,18.8
15,110,1,0.5,4,2.0,1.5,10,19.88
20,130,1,0.5,1,2.5,1.5,15,18.87
25,150,2,0.5,1,2.0,1.5,10,20.05
16,110,1,0.5,1,2.5,1.5,11,19.93
23,140,1,0.5,1,2.5,1.5,15,18.9
24,110,2,0.5,1,2.5,1.5,13,19.93
22,120,2,0.5,2,2.0,1.5,14,20.05
20,150,3,0.5,1,2.5,1.5,14,19.93
23,130,3,0.5,1,2.5,1.5,12,20.15
22,140,1,0.5,3,2.0,1.5,13,20.03
20,150,2,0.5,1,2.0,1.5,15,18.78
15,140,2,0.5,2,2.5,1.5,14,20.05
22,100,3,0.5,1,2.0,1.5,15,18.83
22,120,3,0.5,1,2.0,1.5,11,19.88
24,110,2,0.5,1,2.5,1.5,12,20.29
16,140,3,0.5,1,2.0,1.5,12,20.1
17,130,1,0.5,1,2.0,1.5,14,20.01
22,100,1,0.5,3,2.5,1.5,10,20.2
19,150,3,0.5,1,2.0,1.5,15,18.82
20,120,3,0.5,1,2.0,1.5,15,18.78
22,140,2,0.5,1,2.0,1.5,14,20.04
19,130,2,0.5,1,2.5,1.5,12,20.16
23,130,2,0.5,1,2.5,1.5,11,19.94
24,110,2,0.5,1,2.5,1.5,11,19.93
18,120,1,0.5,3,2.5,1.5,11,20.06
17,100,1,0.5,4,2.5,1.5,11,20.06
15,100,2,0.5,1,2.5,1.5,10,19.94
21,130,3,0.5,1,2.0,1.5,13,19.96
22,110,2,0.5,2,2.5,1.5,11,19.84
18,110,3,0.5,1,2.5,1.5,10,20.03
19,140,1,0.5,1,2.5,1.5,15,18.96
24,130,1,0.5,2,2.0,1.5,12,20.08
18,150,1,0.5,1,2.0,1.5,15,18.82
25,150,1,0.5,1,2.0,1.5,11,20.01
15,100,1,0.5,1,2.5,1.5,14,19.91
15,150,3,0.5,1,2.0,1.5,12,20.25
15,100,1,0.5,1,2.5,1.5,15,18.83
18,150,2,0.5,1,2.0,1.5,12,20.13
23,100,1,0.5,2,2.0,1.5,15,19.08
16,120,2,0.5,1,2.5,1.5,11,19.88
24,120,2,0.5,1,2.5,1.5,15,18.86
21,130,1,0.5,3,2.0,1.5,12,20.16
22,150,1,0.5,3,2.0,1.5,14,20.14
19,150,3,0.5,1,2.0,1.5,10,19.84
20,140,3,0.5,1,2.0,1.5,12,20.23
22,140,1,0.5,1,2.5,1.5,14,20.12
25,150,2,0.5,1,2.0,1.5,11,19.95
22,100,3,0.5,1,2.5,1.5,12,20.2
21,150,3,0.5,1,2.5,1.5,15,18.87
17,140,1,0.5,4,2.5,1.5,11,19.9
23,100,2,0.5,2,2.5,1.5,10,19.92
21,130,3,0.5,1,2.5,1.5,12,20.09
21,100,3,0.5,1,2.0,1.5,15,18.88
16,140,1,0.5,3,2.5,1.5,10,20.2
23,150,1,0.5,3,2.5,1.5,13,20.05
24,150,2,0.5,1,2.0,1.5,14,20.13
17,110,4,0.5,1,2.0,1.5,10,19.88
24,100,2,0.5,1,2.5,1.5,15,18.88
23,100,2,0.5,2,2.5,1.5,13,19.97
15,110,1,0.5,4,2.5,1.5,12,20.37
24,100,1,0.5,2,2.5,1.5,11,20.01
15,120,1,0.5,1,2.5,1.5,10,20.03
24,120,2,0.5,1,2.5,1.5,10,20.14
16,150,3,0.5,2,2.0,1.5,12,20.13
25,120,1,0.5,1,2.0,1.5,10,20.08
22,100,1,0.5,3,2.5,1.5,12,20.32
21,120,3,0.5,1,2.0,1.5,10,19.9
19,150,3,0.5,1,2.5,1.5,14,20.05
22,130,3,0.5,1,2.0,1.5,13,19.86
18,100,3,0.5,1,2.5,1.5,15,18.8
18,130,1,0.5,1,2.0,1.5,14,20.19
16,140,1,0.5,4,2.0,1.5,11,19.81
20,100,2,0.5,1,2.0,1.5,15,18.88
18,150,1,0.5,2,2.0,1.5,10,19.99
15,100,1,0.5,1,2.5,1.5,10,19.9
23,130,2,0.5,1,2.0,1.5,12,20.14
21,150,1,0.5,2,2.5,1.5,14,20.0
19,120,1,0.5,2,2.0,1.5,12,20.21
22,110,1,0.5,1,2.5,1.5,12,20.19
25,110,2,0.5,1,2.0,1.5,15,18.95
15,130,1,0.5,1,2.0,1.5,15,18.82
24,150,2,0.5,1,2.5,1.5,11,19.92
25,130,1,0.5,1,2.0,1.5,11,20.0
16,140,1,0.5,1,2.0,1.5,13,19.77
18,100,1,0.5,3,2.5,1.5,10,20.05
25,120,1,0.5,1,2.5,1.5,10,20.15
23,140,1,0.5,2,2.0,1.5,14,20.03
23,150,2,0.5,1,2.0,1.5,15,18.86
24,140,1,0.5,1,2.0,1.5,13,19.89
15,110,1,0.5,4,2.0,1.5,12,20.26
21,150,2,0.5,1,2.0,1.5,12,20.13
23,130,1,0.5,2,2.0,1.5,12,20.1
18,120,3,0.5,1,2.5,1.5,15,18.74
19,120,3,0.5,1,2.0,1.5,15,18.86
17,100,1,0.5,1,2.0,1.5,14,20.16
20,130,1,0.5,1,2.0,1.5,12,20.27
23,150,1,0.5,2,2.0,1.5,13,19.95
25,130,2,0.5,1,2.0,1.5,15,18.89
17,110,1,0.5,3,2.5,1.5,10,20.22
22,140,1,0.5,3,2.5,1.5,14,20.33
18,150,1,0.5,1,2.5,1.5,10,20.07
17,110,2,0.5,1,2.5,1.5,15,18.98
17,150,3,0.5,1,2.0,1.5,15,18.8
15,100,2,0.5,3,2.5,1.5,12,20.3
15,100,3,0.5,1,2.0,1.5,13,19.83
25,150,2,0.5,1,2.0,1.5,13,19.67
16,100,1,0.5,3,2.0,1.5,11,20.03
15,100,2,0.5,1,2.5,1.5,13,19.91
22,150,2,0.5,1,2.0,1.5,13,19.87
19,120,1,0.5,1,2.0,1.5,10,19.99
16,150,3,0.5,1,2.0,1.5,12,20.14
15,140,4,0.5,1,2.0,1.5,12,20.21
15,100,1,0.5,1,2.5,1.5,12,20.08
15,120,1,0.5,2,2.0,1.5,13,19.91
22,120,2,0.5,2,2.5,1.5,15,18.87
25,140,1,0.5,1,2.5,1.5,10,19.95
19,150,2,0.5,2,2.0,1.5,10,20.06
15,150,2,0.5,1,2.0,1.5,12,20.31
22,100,1,0.5,3,2.0,1.5,10,20.31
18,100,1,0.5,3,2.0,1.5,12,20.3
22,120,3,0.5,1,2.5,1.5,11,19.91
21,100,1,0.5,2,2.0,1.5,15,19.12
20,120,3,0.5,1,2.5,1.5,14,20.07
15,150,3,0.5,1,2.5,1.5,15,18.85
15,140,1,0.5,3,2.5,1.5,13,19.95
22,150,2,0.5,1,2.5,1.5,14,20.08
15,150,3,0.5,1,2.0,1.5,15,18.83
24,100,1,0.5,2,2.5,1.5,10,20.31
23,100,1,0.5,1,2.5,1.5,15,18.98
18,150,1,0.5,1,2.5,1.5,15,18.86
22,150,1,0.5,2,2.0,1.5,11,19.9
17,150,2,0.5,2,2.5,1.5,10,20.05
18,130,1,0.5,1,2.0,1.5,15,18.83
23,150,1,0.5,2,2.0,1.5,14,19.97
16,150,2,0.5,1,2.0,1.5,11,19.94
25,130,1,0.5,2,2.0,1.5,11,20.06
20,150,1,0.5,1,2.5,1.5,12,20.27
15,140,2,0.5,1,2.0,1.5,14,20.18
25,100,2,0.5,1,2.0,1.5,13,19.91
18,100,3,0.5,1,2.0,1.5,15,18.76
18,120,1,0.5,2,2.0,1.5,11,19.88
15,110,1,0.5,4,2.5,1.5,12,20.37
25,150,1,0.5,1,2.5,1.5,14,20.14
17,100,1,0.5,1,2.0,1.5,11,19.92
15,100,3,0.5,1,2.0,1.5,14,20.15
25,120,2,0.5,1,2.5,1.5,14,20.15
17,140,1,0.5,3,2.5,1.5,10,20.0
22,150,1,0.5,3,2.5,1.5,13,19.81
24,110,2,0.5,1,2.5,1.5,10,20.15
17,100,1,0.5,4,2.5,1.5,12,20.24
15,150,1,0.5,2,2.0,1.5,13,19.81
15,120,1,0.5,1,2.0,1.5,10,19.99
17,100,3,0.5,1,2.5,1.5,10,20.08
15,150,2,0.5,1,2.0,1.5,10,20.0
23,140,3,0.5,1,2.5,1.5,14,20.06
20,140,2,0.5,1,2.0,1.5,15,18.78
21,130,1,0.5,3,2.0,1.5,15,19.14
15,130,1,0.5,1,2.0,1.5,14,20.03
16,140,3,0.5,2,2.0,1.5,13,19.83
21,150,1,0.5,1,2.5,1.5,15,18.88
16,110,2,0.5,1,2.5,1.5,10,20.1
15,150,3,0.5,2,2.0,1.5,12,20.46
25,100,2,0.5,1,2.0,1.5,15,18.94
16,140,1,0.5,1,2.0,1.5,15,18.76
24,120,2,0.5,1,2.0,1.5,14,20.18
18,150,1,0.5,1,2.0,1.5,12,20.13
15,100,1,0.5,4,2.0,1.5,10,19.9
22,100,3,0.5,1,2.0,1.5,15,18.83
17,120,1,0.5,1,2.5,1.5,11,19.94
19,150,1,0.5,1,2.0,1.5,12,20.17
21,150,2,0.5,1,2.0,1.5,12,20.13
18,150,2,0.5,1,2.5,1.5,15,18.75
23,100,1,0.5,2,2.0,1.5,10,20.02
15,100,2,0.5,1,2.0,1.5,10,20.01
18,100,2,0.5,1,2.0,1.5,13,19.85
23,140,1,0.5,2,2.5,1.5,10,19.95
16,100,2,0.5,2,2.5,1.5,10,20.11
22,140,1,0.5,3,2.5,1.5,15,19.06
16,140,1,0.5,2,2.0,1.5,11,20.09
19,120,3,0.5,1,2.5,1.5,15,18.95
16,150,2,0.5,2,2.5,1.5,15,19.05
25,140,1,0.5,1,2.0,1.5,14,20.07
15,110,1,0.5,1,2.0,1.5,10,20.05
18,150,2,0.5,1,2.0,1.5,11,19.89
17,150,2,0.5,1,2.0,1.5,15,18.82
18,110,3,0.5,1,2.5,1.5,15,18.8
15,140,2,0.5,2,2.0,1.5,13,19.82
22,100,1,0.5,1,2.0,1.5,12,20.18
23,150,1,0.5,2,2.5,1.5,15,19.13
16,120,1,0.5,2,2.0,1.5,10,20.08
16,140,1,0.5,4,2.0,1.5,12,20.06
16,110,2,0.5,2,2.0,1.5,12,20.09
16,150,2,0.5,1,2.0,1.5,10,19.98
21,120,3,0.5,1,2.5,1.5,15,18.88
23,100,3,0.5,1,2.5,1.5,15,18.89
22,150,3,0.5,1,2.0,1.5,15,18.84
17,100,2,0.5,1,2.0,1.5,11,19.93
