X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
20,140,1,0.5,3,2.0,1.5,12,17,11,6,19.43
18,100,3,0.5,1,2.0,1.5,12,16,8,4,20.67
16,140,4,0.5,1,2.0,1.5,14,17,3,0,18.78
19,110,3,0.5,1,2.5,1.5,12,13,12,11,20.48
22,100,3,0.5,1,2.0,1.5,14,16,7,5,19.27
24,100,1,0.5,1,2.0,1.5,12,16,7,3,19.62
22,140,3,0.5,1,2.5,1.5,12,16,8,4,20.46
19,130,1,0.5,1,2.5,1.5,12,13,12,11,20.54
15,110,1,0.5,1,2.0,1.5,10,17,6,4,20.85
22,110,2,0.5,2,2.0,1.5,11,18,4,3,19.1
24,130,2,0.5,1,2.5,1.5,12,16,4,3,20.82
16,150,1,0.5,2,2.0,1.5,13,15,10,8,19.77
22,120,3,0.5,1,2.5,1.5,10,16,6,0,20.49
20,100,2,0.5,1,2.5,1.5,11,13,0,2,19.64
17,110,2,0.5,1,2.0,1.5,11,12,15,14,20.75
17,120,2,0.5,1,2.0,1.5,10,12,4,6,20.48
15,130,3,0.5,1,2.0,1.5,12,15,16,13,20.56
24,140,2,0.5,1,2.5,1.5,10,13,9,6,19.75
16,110,2,0.5,3,2.0,1.5,10,17,11,4,19.55
17,100,3,0.5,1,2.0,1.5,12,18,0,4,20.53
15,100,1,0.5,4,2.5,1.5,12,18,4,10,20.68
22,120,1,0.5,3,2.5,1.5,14,17,7,4,19.09
18,140,1,0.5,1,2.5,1.5,12,13,13,12,20.32
21,100,1,0.5,1,2.5,1.5,10,17,0,5,20.89
23,130,3,0.5,1,2.5,1.5,12,15,8,5,20.52
19,140,3,0.5,1,2.0,1.5,12,14,6,4,20.56
24,140,2,0.5,1,2.0,1.5,10,17,9,2,19.57
17,100,2,0.5,1,2.0,1.5,11,14,15,12,20.66
23,110,1,0.5,1,2.0,1.5,13,15,7,5,20.47
17,100,2,0.5,1,2.5,1.5,11,13,14,12,19.92
19,150,3,0.5,1,2.0,1.5,13,15,10,8,19.62
24,120,2,0.5,1,2.0,1.5,15,18,3,0,16.93
24,100,1,0.5,2,2.5,1.5,10,16,0,3,21.11
21,100,3,0.5,1,2.5,1.5,13,18,4,4,18.99
16,140,1,0.5,3,2.0,1.5,14,17,3,0,19.11
23,100,2,0.5,1,2.5,1.5,10,16,0,4,20.93
21,100,2,0.5,2,2.5,1.5,14,18,8,4,20.02
17,100,1,0.5,4,2.0,1.5,11,12,15,14,20.71
22,150,3,0.5,1,2.0,1.5,14,15,1,0,19.81
15,130,3,0.5,1,2.0,1.5,12,14,16,14,20.61
22,130,2,0.5,2,2.0,1.5,11,18,10,3,19.78
19,110,3,0.5,1,2.0,1.5,13,15,8,9,20.24
24,120,2,0.5,1,2.0,1.5,10,12,9,7,19.7
