X1,X2,X3,X4,X5,X6:,X7:,AVG,RIP,COG
17,150,1,2,0.5,15,16,-1352.18,32.87,20.16
21,120,1,2,0.5,14,0,-1498.27,35.58,20.61
16,100,1,2,1.0,10,2,-653.4,32.56,19.9
16,140,3,1,1.0,15,0,-1114.88,42.48,18.81
18,140,1,2,0.5,12,4,-1176.88,30.25,20.27
25,150,2,1,0.5,13,10,-1926.24,81.97,20.26
16,150,2,1,0.5,13,0,-1043.68,34.82,19.96
25,140,2,1,0.5,10,16,-1924.28,73.31,19.99
25,150,2,1,0.5,10,16,-1967.98,69.97,20.36
16,140,2,1,1.0,13,0,-885.64,30.52,19.94
16,150,3,1,0.5,15,0,-1313.82,46.74,18.84
22,140,1,2,0.5,15,0,-1677.73,38.2,19.35
22,150,1,2,0.5,15,0,-1718.09,38.29,19.39
18,140,1,2,0.5,12,0,-1161.12,27.07,20.64
16,100,2,1,0.5,11,4,-824.87,30.48,19.94
19,150,1,1,0.5,15,0,-1293.79,44.84,19.09
18,100,3,1,1.0,15,0,-1176.95,44.6,18.93
25,150,1,1,0.5,15,0,-1844.5,51.68,18.96
19,140,1,2,0.5,12,0,-1295.0,32.17,20.83
18,140,1,2,0.5,11,0,-1122.43,29.87,20.39
20,100,3,1,0.5,15,0,-1464.87,62.2,18.9
16,140,2,1,0.5,13,0,-1007.75,35.35,19.94
24,140,1,2,0.5,15,0,-1790.52,42.76,19.23
16,140,2,1,0.5,11,0,-914.6,26.36,20.0
25,120,1,2,0.5,15,0,-1782.33,49.39,19.2
25,150,2,1,0.5,15,0,-1901.88,56.16,19.07
25,150,2,1,0.5,11,14,-1961.61,74.13,20.34
16,150,2,1,0.5,15,0,-1201.74,45.51,18.81
24,140,2,1,0.5,15,0,-1810.32,57.69,18.94
19,150,1,2,0.5,12,0,-1312.77,32.52,20.81
16,140,2,2,1.0,11,0,-977.04,29.03,20.03
21,150,1,2,0.5,15,0,-1642.64,36.51,19.27
17,150,3,1,1.0,15,0,-1199.38,37.1,19.12
18,150,1,1,0.5,15,0,-1165.9,35.43,18.9
25,150,1,2,0.5,15,0,-1853.97,48.04,19.21
22,140,1,1,1.0,15,0,-1481.52,56.63,18.93
16,100,1,2,1.0,11,0,-673.37,32.42,19.91
25,150,2,1,0.5,15,6,-1914.77,67.29,20.0
25,140,1,1,0.5,15,0,-1799.09,52.02,18.95
19,140,1,2,0.5,14,0,-1377.67,32.62,20.67
24,140,1,1,0.5,15,0,-1743.85,48.65,18.96
17,140,2,1,0.5,15,0,-1272.95,43.58,19.05
16,150,2,1,0.5,10,0,-917.01,27.77,20.37
21,140,1,2,0.5,15,0,-1602.64,36.09,19.26
16,140,2,2,1.0,11,4,-994.05,33.11,20.07
18,130,1,2,0.5,12,0,-1125.66,27.26,20.5
