X1,X2,X3,X4,X5,X6,X7,X8,X9
0.128,0.082,0.105,0.082,0.043,0.063,0.03,0.067,0.068
0.042,0.048,0.036,0.067,0.061,0.061,0.083,0.07,0.037
0.024,0.064,0.054,0.045,0.089,0.07,0.081,0.057,0.089
0.104,0.034,0.069,0.037,0.046,0.009,0.053,0.013,0.052
