X1,X2,X3,X4,X5,X6,X7,X8,X9
0.093,0.078,0.075,0.115,0.066,0.081,0.063,0.084,0.074
0.006,0.035,0.076,0.037,0.061,0.047,0.052,0.054,0.058
0.088,0.074,0.036,0.035,0.06,0.059,0.073,0.049,0.055
0.087,0.043,0.04,0.08,0.006,0.034,0.021,0.035,0.019
