X1,X2,X3,X4,X5,X6,AVG,RIP
15.95,91.1,3.3,1.0,1.74,1.5,-779.762,22.222
25.0,149.5,1.0,1.0,1.01,1.5,-1823.825,65.617
18.81,101.7,1.47,1.0,2.7,1.5,-997.346,37.98
24.63,90.9,1.0,1.0,2.45,1.5,-1328.235,38.544
24.98,149.6,1.01,1.0,1.39,1.5,-1798.32,62.144
24.98,135.3,1.01,1.0,2.01,1.52,-1676.827,51.608
15.99,93.4,3.39,1.0,1.73,1.5,-791.113,23.197
24.92,148.1,1.01,1.0,1.6,1.5,-1793.54,59.702
24.82,133.4,1.01,1.0,2.02,1.5,-1660.026,51.02
17.64,90.9,1.52,1.0,2.67,1.5,-872.087,29.058
24.69,135.7,1.01,1.0,2.08,1.5,-1634.464,50.458
24.72,90.2,1.0,1.0,2.32,1.5,-1371.08,38.809
24.76,135.3,1.01,1.0,1.86,1.5,-1678.413,53.285
24.88,147.2,1.02,1.0,1.83,1.5,-1736.17,55.352
24.89,148.0,1.01,1.0,1.13,1.5,-1802.25,63.316
24.64,90.9,1.0,1.0,2.42,1.5,-1342.113,38.704
24.82,146.5,1.0,1.0,1.87,1.5,-1721.151,54.488
16.4,90.2,3.4,1.0,1.65,1.5,-810.365,23.995
24.64,122.0,1.01,1.0,2.03,1.5,-1594.689,48.763
18.29,91.4,1.5,1.0,2.71,1.5,-922.54,32.151
16.4,91.5,3.36,1.0,1.65,1.5,-815.751,24.804
24.88,147.2,1.0,1.0,1.73,1.5,-1752.93,56.615
18.43,90.2,1.53,1.0,2.72,1.5,-915.948,31.475
24.9,98.6,1.01,1.0,2.03,1.52,-1515.766,45.678
24.64,122.2,1.01,1.0,2.08,1.5,-1588.633,47.859
24.91,123.2,1.0,1.0,1.98,1.5,-1624.456,50.094
24.76,108.6,1.01,1.0,2.17,1.5,-1514.551,44.862
24.75,108.2,1.0,1.0,2.1,1.5,-1531.682,45.859
25.0,149.5,1.02,1.0,1.67,1.5,-1765.78,58.348
18.43,90.3,1.53,1.0,2.79,1.5,-903.864,31.161
18.54,91.0,1.47,1.0,2.74,1.5,-927.349,32.909
24.64,91.6,1.0,1.0,2.3,1.5,-1383.304,39.343
24.7,91.1,1.0,1.0,2.23,1.5,-1401.231,40.269
24.75,122.4,1.01,1.0,2.02,1.5,-1608.34,48.969
18.79,94.7,1.47,1.0,2.69,1.5,-969.097,35.994
25.0,149.5,1.02,1.0,1.64,1.5,-1779.907,58.925
15.96,91.1,3.3,1.0,1.73,1.5,-780.701,22.235
24.82,113.2,1.0,1.0,2.07,1.5,-1561.85,47.096
24.98,109.5,1.01,1.0,2.1,1.5,-1547.955,45.947
16.17,100.2,3.42,1.0,1.66,1.5,-824.859,26.237
24.88,147.2,1.02,1.0,1.7,1.5,-1758.323,57.273
24.91,93.3,1.0,1.0,2.21,1.5,-1439.366,41.052
24.91,148.1,1.01,1.0,1.7,1.52,-1762.257,57.625
