X1,X2,X3,X4,X5,X6,ANG,AVG,RIP
19.17,117.6,0.5,0.3,1.01,0.68,-45.0,-1293.594,64.875
16.86,87.6,1.89,0.54,1.97,1.54,-46.0,-880.368,40.167
17.04,130.2,0.6,0.67,1.96,1.62,-46.0,-929.166,53.267
16.4,75.8,3.3,0.97,1.6,1.3,-43.0,-803.803,16.48
23.76,131.6,0.8,0.04,1.09,2.26,-44.0,-1597.485,70.394
15.98,93.7,2.0,0.53,2.92,1.13,-42.0,-1025.023,49.405
21.87,126.8,0.5,0.75,3.85,2.0,-42.0,-511.614,205.376
17.8,123.1,0.86,0.45,3.68,1.08,-42.0,-1039.392,50.56
17.88,70.4,0.57,0.68,1.24,1.03,-45.0,-869.92,40.212
19.92,64.3,2.51,0.15,1.54,1.42,-44.0,-1077.093,42.827
16.02,93.1,2.93,0.41,0.67,1.54,-45.0,-772.837,30.934
21.64,101.2,3.64,0.59,0.5,0.78,-43.0,-1368.184,50.886
16.39,124.6,1.21,0.17,3.75,1.2,-42.0,-1027.364,39.236
22.51,118.1,0.72,0.62,3.13,1.2,-42.0,-1166.613,63.718
17.7,131.7,2.0,0.96,2.82,1.74,-42.0,-939.517,50.534
16.15,136.0,2.07,0.58,1.93,0.98,-44.0,-1175.948,53.212
24.03,105.9,0.51,0.62,1.64,1.56,-45.0,-1515.705,62.949
23.86,88.6,3.68,0.62,0.56,2.33,-44.0,-1367.444,60.108
21.91,139.8,1.1,0.14,2.88,1.9,-42.0,-1270.886,60.451
15.66,120.4,2.06,0.92,2.99,0.75,-42.0,-1107.766,52.315
15.2,62.1,0.6,0.25,3.51,1.0,-47.0,-1019.88,41.711
20.53,127.4,0.93,0.28,2.55,2.44,-44.0,-1210.917,69.594
20.61,61.5,3.47,0.23,0.5,1.27,-44.0,-1007.993,40.246
23.64,119.8,2.45,0.14,0.71,0.74,-44.0,-1721.207,55.59
15.45,68.6,1.29,0.71,2.46,0.52,-47.0,-1281.431,64.802
15.72,137.4,2.49,0.2,1.38,1.99,-45.0,-849.459,45.204
16.95,106.5,3.8,0.85,1.34,1.49,-42.0,-904.266,34.187
21.2,126.3,1.05,0.02,0.75,1.48,-44.0,-1368.698,71.79
21.06,105.5,1.61,0.99,2.53,1.26,-42.0,-1194.721,48.352
20.51,119.6,2.84,0.27,0.73,1.24,-43.0,-1329.855,61.581
21.3,76.8,2.99,0.07,1.41,1.8,-43.0,-1138.089,49.467
16.93,111.2,2.34,0.92,1.42,0.63,-44.0,-1210.809,53.441
22.35,121.8,3.56,0.93,0.55,0.97,-43.0,-1473.332,61.545
21.17,135.9,3.88,0.56,0.5,1.78,-43.0,-1341.303,72.861
18.9,98.9,2.62,0.55,2.0,1.96,-44.0,-995.404,55.21
18.95,137.1,1.11,0.13,0.97,1.51,-44.0,-1198.59,70.354
15.22,135.8,3.39,0.02,1.12,1.16,-45.0,-1059.782,33.144
16.31,124.8,1.71,0.94,2.54,2.11,-45.0,-802.717,45.818
23.45,132.4,0.5,0.55,3.4,1.07,-42.0,-844.458,106.438
19.9,107.9,0.55,0.59,2.02,2.12,-45.0,-1100.304,66.604
18.15,131.4,2.52,0.18,2.16,1.72,-43.0,-1115.674,56.68
15.54,93.6,2.88,0.92,0.5,1.49,-45.0,-697.831,34.607
18.77,137.9,2.62,0.83,1.94,1.76,-43.0,-1113.945,62.718
17.86,106.9,1.66,0.86,3.14,1.9,-43.0,-846.32,40.574
23.64,85.8,1.76,0.45,1.84,1.32,-43.0,-1414.022,47.487
19.01,85.4,2.68,0.43,1.79,1.72,-43.0,-1004.089,48.519
16.99,94.1,1.56,0.8,3.58,1.66,-42.0,-666.286,37.615
21.63,81.6,1.38,0.86,2.35,1.92,-45.0,-1112.178,49.642
20.72,118.7,1.72,0.77,2.49,1.43,-42.0,-1244.473,54.643
18.43,65.5,0.5,0.08,3.82,0.86,-43.0,-926.283,103.41
23.12,130.0,2.91,0.57,1.06,1.44,-43.0,-1554.396,62.533
18.45,78.0,0.74,0.31,3.71,1.54,-44.0,-771.045,103.75
17.57,68.9,1.18,0.5,3.05,0.92,-45.0,-1080.07,37.701
17.48,128.1,1.96,0.62,1.32,0.7,-44.0,-1280.04,65.424
20.16,98.2,1.03,0.62,2.4,1.81,-46.0,-1100.832,55.505
16.45,120.1,1.28,0.52,3.25,0.55,-44.0,-1458.117,59.163
18.24,129.8,1.25,0.54,3.53,2.4,-42.0,-885.284,57.704
23.26,128.3,0.85,0.65,2.96,1.72,-42.0,-1213.199,63.323
23.0,62.8,3.09,0.73,0.5,1.01,-44.0,-1174.8,41.094
21.32,87.6,0.94,0.45,3.24,2.02,-42.0,-1004.732,58.316
18.0,71.4,3.65,0.54,0.72,1.38,-44.0,-851.747,31.408
24.94,103.7,2.34,0.14,0.94,0.55,-44.0,-1830.564,45.502
16.6,119.7,0.61,0.37,3.52,1.88,-47.0,-814.052,79.166
21.91,75.1,0.5,0.58,3.37,0.91,-42.0,-892.138,100.534
17.48,81.0,3.13,0.46,0.7,1.49,-44.0,-854.951,34.776
17.12,123.9,1.54,0.03,2.58,2.19,-46.0,-920.841,44.536
18.81,120.0,0.81,0.54,3.86,2.11,-42.0,-750.375,101.137
15.32,116.8,2.13,0.95,1.28,1.03,-45.0,-889.298,36.689
15.81,94.3,0.88,0.63,3.31,1.53,-47.0,-796.059,59.434
22.66,87.4,0.5,0.43,3.61,1.76,-42.0,-768.22,114.607
16.43,66.3,0.56,0.07,2.11,0.72,-47.0,-1288.171,44.842
15.28,120.4,1.88,0.75,2.08,1.4,-46.0,-863.528,35.226
19.78,97.9,3.31,0.4,0.86,0.57,-44.0,-1372.33,42.185
22.74,70.1,2.66,0.01,0.62,0.5,-45.0,-1436.853,34.459
24.51,132.4,3.18,0.92,0.5,0.82,-43.0,-1714.132,59.669
16.88,109.8,3.67,0.99,1.3,1.92,-44.0,-836.879,43.496
24.09,92.1,1.37,0.17,0.92,2.12,-44.0,-1418.632,61.111
16.47,81.1,0.75,0.31,3.94,1.03,-44.0,-895.832,70.374
20.34,85.2,2.18,0.37,2.02,1.52,-43.0,-1150.198,52.949
24.39,62.5,3.01,0.89,0.6,1.54,-44.0,-1236.055,51.278
