X1,X2,X3,X4,X5,X6:,X7:,X8:,X9:,AVG,RIP,COG,THD
17,150,2,2,0.5,15,18,16,16,-1767.99,34.26,13.89,123.8
22,110,1,2,0.5,10,17,14,0,-1395.17,9.1,19.57,31.24
22,150,1,1,0.5,10,12,16,16,-1942.02,55.21,21.21,33.63
16,110,1,1,0.5,10,15,10,0,-666.77,121.11,19.49,32.65
16,110,1,1,1.0,11,11,4,16,-993.1,166.5,18.91,57.74
25,150,2,1,0.5,13,13,10,10,-2185.19,52.51,20.38,51.0
16,140,1,1,1.0,15,18,0,0,-1010.7,95.06,13.45,96.34
17,110,1,1,0.5,10,15,12,2,-759.36,98.7,20.36,29.87
16,110,1,1,1.0,11,11,8,16,-1039.73,150.94,19.28,37.6
18,120,1,2,1.0,11,13,0,16,-1219.29,132.07,18.81,64.06
18,120,1,1,1.0,11,12,0,16,-1181.3,145.63,18.43,74.37
22,150,1,1,1.0,13,13,16,16,-2103.3,50.27,19.96,55.25
18,120,2,1,0.5,11,11,0,16,-1261.36,111.52,18.11,85.09
16,150,1,1,0.5,15,15,0,0,-952.21,58.61,18.67,82.2
24,150,1,2,0.5,15,17,4,2,-1870.45,36.89,16.05,107.23
18,150,1,2,0.5,15,18,14,8,-1429.9,19.75,16.98,110.4
18,150,1,2,0.5,15,18,16,14,-1684.99,30.97,14.31,123.13
22,140,1,1,1.0,10,10,6,16,-1634.77,83.77,18.63,66.58
19,150,1,2,0.5,15,18,16,10,-1645.44,25.57,17.15,115.33
18,150,1,1,1.0,15,18,0,6,-1404.48,79.86,16.73,96.0
16,150,1,2,0.5,15,15,0,0,-1164.42,62.11,19.02,84.51
17,140,1,1,0.5,15,18,0,4,-1266.57,66.17,14.8,96.62
18,150,1,1,1.0,15,18,0,14,-1723.64,73.0,19.12,66.59
24,150,1,2,0.5,15,17,8,4,-1984.48,30.45,17.41,102.58
17,150,1,1,0.5,13,13,0,16,-1383.85,116.88,19.1,42.77
24,150,1,2,0.5,15,15,6,6,-1914.32,43.88,20.13,92.05
24,150,1,2,0.5,15,17,6,4,-1956.53,33.63,15.72,107.41
24,150,1,2,0.5,10,14,16,8,-1796.03,32.61,20.69,31.6
17,150,1,1,0.5,10,14,14,16,-1498.55,100.86,19.74,34.21
19,150,2,1,0.5,11,18,0,0,-1307.84,79.2,19.03,46.42
22,150,1,2,0.5,15,17,4,0,-1730.73,30.41,17.47,101.7
23,150,1,1,0.5,15,18,8,4,-1895.7,40.14,15.11,105.82
18,120,2,1,0.5,11,11,0,14,-1234.69,110.68,18.54,74.64
16,130,1,1,0.5,11,18,0,2,-897.55,126.18,18.96,46.35
16,150,1,1,0.5,10,13,6,0,-747.26,46.85,19.53,40.19
18,150,1,2,0.5,15,18,0,12,-1474.55,57.25,19.31,77.08
18,110,1,1,0.5,10,15,10,0,-836.29,73.9,19.52,32.96
18,150,1,1,1.0,15,17,14,16,-1902.07,58.03,15.46,118.06
18,120,1,2,0.5,11,11,0,16,-1290.81,103.98,18.29,84.98
18,110,1,1,0.5,11,15,0,0,-884.27,68.46,19.34,45.03
18,150,1,2,0.5,15,18,10,4,-1451.77,18.0,17.06,104.05
16,140,1,2,1.0,15,18,16,16,-1570.25,64.75,13.68,120.64
19,150,1,2,1.0,15,16,0,0,-1333.51,37.5,17.78,95.44
24,150,1,2,0.5,10,14,12,4,-1684.02,32.76,20.93,31.36
17,150,2,2,0.5,15,18,0,16,-1580.16,71.3,19.61,56.52
18,120,1,1,0.5,11,11,8,16,-1348.25,105.93,19.33,37.67
16,110,1,1,0.5,10,15,14,4,-727.12,125.3,19.52,30.91
18,150,1,2,0.5,15,18,16,12,-1555.04,24.87,15.16,121.6
24,110,1,2,0.5,10,17,14,0,-1470.17,12.68,19.63,30.81
24,110,1,1,0.5,10,10,16,16,-1833.64,49.45,20.25,36.39
