X1,X2,X3,X4,X5,X6:,X7:,X8:,X9:,AVG,RIP,COG,THD
25,110,1,2,0.5,10,14,16,8,-1665.79,36.31,20.91,34.38
17,150,3,2,0.5,15,18,16,16,-1838.74,30.41,13.86,120.12
16,110,2,1,0.5,15,18,0,0,-1257.34,46.49,13.51,115.75
16,110,2,1,1.0,10,17,2,16,-1200.85,133.16,20.25,33.86
25,110,1,2,1.0,10,16,16,4,-1482.87,16.65,20.89,34.39
15,130,2,1,1.0,10,10,0,0,-665.95,33.96,19.97,39.99
25,150,2,1,0.5,11,11,14,14,-2183.46,43.06,20.37,35.02
16,130,2,1,1.0,11,11,0,0,-793.66,30.99,20.02,33.52
16,120,1,1,1.0,14,17,6,0,-887.44,107.3,19.78,95.87
25,150,2,1,0.5,15,17,4,2,-1916.51,43.43,16.28,116.25
17,140,3,2,0.5,13,13,0,0,-1460.62,48.65,20.09,55.05
18,130,1,2,0.5,13,18,10,0,-1338.5,25.01,20.37,73.74
18,130,1,2,0.5,13,18,8,0,-1352.49,27.91,20.5,84.8
16,120,1,1,1.0,15,16,2,0,-918.62,89.1,18.72,111.89
18,110,1,1,0.5,15,17,16,16,-1750.07,59.65,15.44,117.85
17,110,2,1,1.0,15,18,10,16,-1589.52,75.7,17.29,112.43
17,150,2,1,0.5,15,18,8,6,-1398.1,34.71,14.25,117.39
25,150,2,1,0.5,10,10,16,16,-2165.7,35.8,20.17,41.05
15,140,2,1,1.0,10,10,16,16,-1118.8,112.92,19.86,40.19
17,130,1,1,1.0,14,17,6,0,-1005.52,87.85,19.75,97.06
17,140,3,2,0.5,12,18,12,0,-1362.37,34.01,20.51,53.21
15,120,4,1,1.0,14,17,2,0,-1065.43,64.53,19.01,110.34
17,140,3,2,0.5,14,14,0,0,-1504.7,49.39,20.08,78.21
17,110,1,2,0.5,15,18,16,12,-1219.21,32.76,15.6,115.42
15,110,2,1,1.0,10,10,16,16,-1039.35,120.34,19.94,40.09
24,130,2,1,0.5,15,17,0,4,-1869.2,54.58,17.98,114.8
16,110,2,1,0.5,10,17,2,16,-1225.59,130.82,20.27,33.76
17,130,2,2,0.5,10,18,16,0,-1303.16,22.19,20.76,34.84
25,150,2,1,0.5,11,14,14,8,-2054.24,40.98,20.6,38.84
17,140,2,2,0.5,15,17,12,16,-1625.03,60.22,17.87,112.7
25,110,2,1,1.0,14,16,2,4,-1677.82,56.63,20.0,105.71
17,130,2,2,0.5,14,18,8,0,-1485.12,36.97,20.05,98.3
17,150,2,1,0.5,10,14,8,16,-1414.9,119.34,20.4,33.89
16,130,2,1,0.5,14,18,12,16,-1551.41,69.92,18.8,111.32
25,130,2,1,0.5,15,16,6,4,-1967.19,44.01,19.18,112.8
17,110,2,2,0.5,15,18,10,16,-1469.76,59.09,17.46,113.59
17,140,2,1,0.5,14,18,16,16,-1719.18,55.22,18.31,112.9
17,120,3,2,0.5,14,17,12,16,-1546.28,63.9,19.55,106.4
25,130,2,1,0.5,11,11,4,4,-1809.51,80.03,19.97,34.21
25,140,2,1,0.5,10,10,16,16,-2095.23,37.9,20.2,40.9
16,110,2,1,1.0,11,11,0,0,-719.15,30.66,20.01,34.11
17,130,2,1,0.5,10,10,0,0,-947.27,38.22,19.84,39.65
18,150,1,1,0.5,15,18,14,12,-1686.98,47.98,14.18,116.61
17,130,2,2,0.5,14,18,16,16,-1585.42,46.86,18.52,113.99
17,110,2,1,1.0,11,11,0,0,-803.58,40.24,20.25,34.23
17,150,3,2,1.0,15,18,16,16,-1814.74,47.49,13.88,118.75
17,110,2,1,1.0,15,18,16,16,-1604.79,63.65,13.73,117.1
25,110,2,1,1.0,14,17,4,0,-1531.76,56.06,19.53,105.94
18,130,2,2,0.5,13,18,10,0,-1490.47,34.18,20.37,73.9
15,110,2,2,0.5,14,18,16,16,-1269.08,52.27,18.34,113.26
