X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.095,0.062,0.066,0.071,0.066,0.038,0.052,0.101,0.101,0.071,0.081
0.035,0.07,0.085,0.101,0.044,0.068,0.045,0.049,0.026,0.07,0.073
0.069,0.066,0.047,0.027,0.088,0.092,0.101,0.049,0.072,0.058,0.045
0.06,0.008,0.038,0.074,0.044,0.054,0.056,0.052,0.075,0.013,0.036
