X1,X2,X3,X4,X5,X6:,X7:,X8:,X9:,AVG,RIP,COG,THD
24,150,1,2,1.0,10,14,16,8,-1784.34,33.06,20.9,34.57
24,110,1,2,1.0,10,16,16,4,-1391.64,18.95,20.86,34.39
21,120,1,2,0.5,15,17,6,8,-1566.97,50.44,16.43,118.1
15,120,1,1,1.0,15,17,6,2,-926.23,99.91,17.96,113.21
25,150,2,1,0.5,10,10,16,16,-2165.7,35.8,20.17,41.05
24,110,2,1,1.0,10,16,12,0,-1317.37,34.74,20.43,34.29
23,120,2,1,0.5,14,14,4,4,-1669.38,71.45,19.94,76.18
21,110,2,2,0.5,10,10,12,12,-1517.21,62.94,19.99,41.15
21,130,1,2,0.5,15,17,8,4,-1608.67,34.47,18.2,113.52
20,120,3,1,1.0,14,17,6,0,-1310.77,45.01,19.75,96.97
15,120,4,1,1.0,14,17,6,0,-1047.22,60.71,19.8,96.54
24,150,2,1,1.0,10,10,8,8,-1762.72,77.36,20.03,40.34
17,110,2,2,1.0,10,10,4,4,-976.3,29.97,20.18,40.41
19,130,2,1,0.5,14,16,16,16,-1844.25,60.06,19.8,108.39
24,150,2,1,0.5,14,17,6,0,-1723.18,60.36,19.96,97.04
20,130,1,2,1.0,10,10,2,2,-1190.76,57.38,19.86,40.75
23,100,1,3,1.0,10,12,10,6,-1324.81,33.61,20.83,35.45
23,150,2,1,0.5,12,12,16,16,-2131.89,43.42,20.34,40.13
23,120,2,1,0.5,12,12,8,8,-1659.31,75.5,20.09,39.33
25,140,1,2,0.5,10,12,16,12,-1915.38,36.38,20.7,35.17
19,150,3,1,0.5,12,12,0,0,-1436.44,61.4,20.18,39.98
21,110,3,1,0.5,10,10,16,16,-1541.73,65.12,20.07,40.85
19,150,2,1,0.5,10,10,16,16,-1549.71,68.48,19.93,40.17
21,150,1,1,0.5,15,17,12,8,-1836.28,38.1,18.01,113.98
25,130,2,1,0.5,10,10,16,16,-2042.78,43.07,20.14,40.88
22,150,2,1,0.5,12,12,16,16,-2004.97,54.93,20.51,39.98
23,120,1,2,0.5,15,17,8,4,-1730.71,39.19,18.08,113.71
22,150,1,1,0.5,10,14,12,4,-1479.88,43.65,20.46,34.46
20,130,1,3,1.0,10,10,8,8,-1237.87,46.86,20.06,39.89
18,100,1,3,0.5,11,11,16,16,-1252.41,44.87,20.21,34.85
19,150,3,1,0.5,10,10,16,16,-1528.62,69.85,19.88,40.44
24,120,2,1,1.0,10,16,12,0,-1348.4,40.08,20.47,34.44
22,140,3,1,0.5,11,11,16,16,-1892.71,62.34,20.37,35.38
23,150,2,1,0.5,10,14,12,4,-1636.05,52.14,20.43,34.37
25,140,1,2,0.5,10,10,16,16,-1965.41,37.97,20.13,40.75
23,150,2,1,0.5,12,12,12,12,-1958.99,72.19,20.38,39.51
15,150,3,1,0.5,10,10,0,0,-1034.4,34.53,19.86,39.73
20,130,1,2,1.0,10,10,4,4,-1209.16,59.02,19.93,40.33
22,110,2,1,0.5,11,11,16,16,-1702.83,60.98,20.33,34.86
23,140,2,1,0.5,10,14,16,8,-1755.57,53.32,20.67,34.72
24,150,2,1,1.0,10,14,12,4,-1597.8,47.84,20.53,34.57
17,130,2,2,1.0,10,10,8,8,-1045.45,42.97,20.02,40.37
22,150,2,1,0.5,10,10,16,16,-1851.29,60.52,20.1,40.6
25,100,1,1,1.0,11,11,14,14,-1811.98,57.26,20.48,34.86
22,110,2,2,0.5,11,11,14,14,-1636.74,62.21,20.29,34.79
22,140,3,1,1.0,11,11,14,14,-1817.11,73.54,20.21,34.69
21,120,1,1,1.0,11,11,14,14,-1572.32,76.99,20.25,34.65
24,130,2,1,1.0,10,16,12,0,-1378.13,44.39,20.44,34.38
19,150,1,1,0.5,10,10,16,16,-1596.25,74.82,20.0,40.15
23,150,2,1,0.5,12,12,14,14,-2019.66,62.75,20.38,39.71
