X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.144,0.086,0.077,0.084,0.075,0.069,0.059,0.028,0.024,0.021,0.043
0.027,0.046,0.048,0.044,0.041,0.046,0.034,0.03,0.032,0.033,0.069
0.022,0.062,0.068,0.066,0.077,0.078,0.1,0.136,0.138,0.14,0.082
0.122,0.04,0.029,0.04,0.036,0.032,0.066,0.108,0.114,0.119,0.039
