X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,AVG,RIP,COG
25,150,2,0.5,1,2.5,1.5,10,10,4,4,1801.1,82.58,20.08
22,140,2,0.5,2,2.0,1.5,10,10,2,2,1687.34,64.92,19.74
22,150,1,0.5,3,2.0,1.5,11,11,2,2,1463.21,31.23,20.27
24,100,1,0.5,2,2.5,1.5,12,12,4,4,1460.25,59.38,20.42
22,150,1,0.5,3,2.5,1.5,11,11,14,14,1548.38,39.72,20.38
18,100,1,0.5,1,2.5,1.5,10,17,0,10,1088.3,130.58,20.94
25,150,2,0.5,1,2.0,1.5,14,14,4,4,1893.8,61.08,20.04
15,130,2,0.5,1,2.0,1.5,13,14,10,8,1047.97,52.8,20.5
23,110,3,0.5,1,2.5,1.5,10,10,14,14,1628.75,69.07,19.78
22,110,3,0.5,1,2.0,1.5,11,11,2,6,1557.38,84.8,20.55
22,150,2,0.5,1,2.0,1.5,10,10,10,10,1670.28,75.3,19.74
16,100,1,0.5,3,2.0,1.5,14,18,8,0,1244.25,65.7,20.29
16,150,3,0.5,2,2.0,1.5,13,15,8,4,1350.5,46.66,19.73
18,100,3,0.5,1,2.0,1.5,12,16,10,2,1232.02,43.37,19.5
15,140,2,0.5,3,2.5,1.5,12,12,2,8,948.52,45.42,20.2
23,120,3,0.5,1,2.5,1.5,12,15,14,8,1698.4,53.21,19.58
21,150,2,0.5,1,2.5,1.5,12,14,10,12,1808.53,79.87,20.31
19,130,3,0.5,1,2.5,1.5,12,13,8,6,1267.9,70.14,20.37
20,140,2,0.5,2,2.5,1.5,10,10,14,16,1501.58,66.5,20.47
21,120,3,0.5,1,2.0,1.5,10,10,16,16,1577.18,66.61,20.07
17,100,1,0.5,4,2.0,1.5,11,12,14,14,1018.63,40.86,20.02
20,150,1,0.5,1,2.5,1.5,11,11,2,2,1205.17,75.56,20.2
22,130,3,0.5,1,2.5,1.5,10,10,16,16,1728.24,67.43,20.18
17,140,3,0.5,1,2.5,1.5,10,10,16,16,1244.52,81.62,19.98
22,140,1,0.5,2,2.0,1.5,10,10,16,16,1728.88,43.36,20.31
24,100,2,0.5,1,2.0,1.5,10,14,16,8,1580.23,49.65,20.69
24,120,2,0.5,1,2.5,1.5,11,11,0,14,1673.85,87.04,18.65
22,100,3,0.5,1,2.5,1.5,11,16,8,6,1340.95,70.7,19.26
15,140,3,0.5,1,2.0,1.5,12,14,0,16,1048.04,121.6,20.05
16,100,1,0.5,4,2.0,1.5,12,12,16,16,990.09,52.87,20.34
21,140,2,0.5,1,2.0,1.5,10,10,16,16,1685.07,66.62,20.14
16,150,2,0.5,2,2.0,1.5,12,16,16,8,1283.45,31.65,20.64
22,110,2,0.5,2,2.0,1.5,11,13,4,2,1587.76,69.87,20.38
15,100,1,0.5,4,2.5,1.5,11,11,12,16,766.29,113.52,20.14
17,110,4,0.5,1,2.0,1.5,13,13,16,16,1352.7,65.02,19.91
18,150,3,0.5,1,2.0,1.5,13,15,12,8,1392.77,61.69,19.36
22,110,3,0.5,1,2.0,1.5,11,11,4,12,1523.51,90.83,19.32
24,120,2,0.5,1,2.5,1.5,10,10,4,4,1581.88,78.71,20.08
21,100,3,0.5,1,2.5,1.5,10,10,0,14,1242.66,108.03,18.77
18,120,1,0.5,2,2.5,1.5,11,13,8,16,1323.22,118.79,19.63
19,150,1,0.5,1,2.5,1.5,12,13,16,16,1713.65,86.68,19.73
24,120,1,0.5,2,2.5,1.5,12,12,4,12,1664.37,66.37,20.62
24,130,2,0.5,1,2.0,1.5,10,10,16,16,1935.39,52.49,20.14
20,120,3,0.5,1,2.0,1.5,10,16,2,0,1284.29,77.97,19.12
20,100,3,0.5,1,2.5,1.5,13,17,8,8,1341.72,62.87,19.2
20,130,3,0.5,1,2.5,1.5,12,13,14,12,1542.57,72.57,20.16
22,140,2,0.5,2,2.0,1.5,10,10,4,4,1695.53,65.77,19.88
22,150,2,0.5,1,2.0,1.5,10,10,16,16,1851.29,60.52,20.1
15,150,1,0.5,4,2.5,1.5,12,12,16,16,905.6,115.39,20.07
25,150,2,0.5,1,2.0,1.5,10,14,8,8,1975.51,63.48,21.0
22,150,1,0.5,1,2.0,1.5,11,11,4,4,1539.49,66.17,19.83
16,130,2,0.5,3,2.5,1.5,11,11,12,12,1049.99,31.72,20.12
23,110,2,0.5,1,2.5,1.5,10,11,0,16,1530.97,93.37,18.93
22,120,3,0.5,1,2.0,1.5,14,16,0,0,1584.16,61.94,19.3
20,140,2,0.5,1,2.5,1.5,10,10,16,16,1561.33,78.61,20.15
19,120,1,0.5,1,2.5,1.5,13,13,16,16,1596.24,89.34,19.9
16,100,1,0.5,3,2.5,1.5,11,11,0,0,777.26,66.09,20.02
24,120,1,0.5,2,2.0,1.5,10,10,16,16,1786.37,42.13,20.18
18,130,2,0.5,1,2.0,1.5,11,14,16,16,1540.82,91.27,19.93
22,120,2,0.5,1,2.0,1.5,12,12,16,16,1847.46,61.29,20.35
22,110,1,0.5,1,2.0,1.5,11,13,16,16,1806.16,55.85,20.35
17,150,3,0.5,1,2.0,1.5,14,16,0,12,1298.98,88.9,20.13
15,110,2,0.5,1,2.0,1.5,10,10,4,4,797.87,51.07,20.02
23,100,3,0.5,1,2.5,1.5,10,10,16,16,1643.46,61.72,20.24
23,100,2,0.5,1,2.5,1.5,10,17,8,0,1204.98,57.18,20.88
20,140,3,0.5,1,2.5,1.5,11,11,16,16,1659.15,80.86,19.99
15,120,3,0.5,1,2.5,1.5,11,13,16,16,1117.2,99.27,20.38
25,150,1,0.5,2,2.0,1.5,10,10,16,16,1993.44,32.65,20.11
23,100,1,0.5,1,2.5,1.5,10,10,16,16,1648.58,63.07,20.31
23,130,3,0.5,1,2.5,1.5,11,11,16,16,1900.64,57.57,19.87
18,140,2,0.5,1,2.0,1.5,12,12,16,16,1553.72,75.27,20.33
19,140,2,0.5,1,2.0,1.5,10,13,0,12,1290.15,115.84,20.09
23,100,3,0.5,1,2.5,1.5,12,13,6,4,1445.15,71.35,20.27
17,150,1,0.5,3,2.5,1.5,10,11,16,16,1149.71,74.83,20.07
18,140,1,0.5,3,2.0,1.5,13,15,4,0,1387.45,43.41,19.55
17,100,1,0.5,3,2.0,1.5,11,18,14,0,1158.13,55.58,20.77
24,120,2,0.5,1,2.5,1.5,10,10,4,16,1702.73,78.34,19.14
19,150,2,0.5,2,2.5,1.5,12,12,16,16,1631.71,80.84,20.48
22,100,2,0.5,2,2.0,1.5,10,10,4,16,1453.81,80.05,19.25
16,120,2,0.5,3,2.5,1.5,10,16,8,12,920.15,80.69,21.06
16,140,4,0.5,1,2.5,1.5,14,17,4,0,1115.54,66.24,18.65
15,100,3,0.5,1,2.0,1.5,12,16,12,4,1015.01,26.53,20.52
19,100,3,0.5,1,2.5,1.5,10,14,8,8,1112.37,84.46,20.94
19,150,3,0.5,1,2.0,1.5,11,11,4,4,1430.77,71.35,19.88
23,100,2,0.5,1,2.5,1.5,10,11,0,16,1469.44,94.28,18.87
15,130,3,0.5,1,2.0,1.5,12,15,16,16,1205.53,78.95,20.84
18,150,3,0.5,1,2.0,1.5,11,12,0,0,1344.72,58.83,20.78
24,110,1,0.5,1,2.0,1.5,12,12,0,0,1502.81,72.07,20.36
22,150,3,0.5,1,2.0,1.5,10,10,16,16,1855.32,61.87,20.13
18,100,3,0.5,1,2.0,1.5,10,10,16,16,1246.42,61.4,20.25
21,110,3,0.5,1,2.5,1.5,10,11,6,4,1329.12,74.9,20.14
23,110,3,0.5,1,2.5,1.5,10,10,8,8,1523.2,78.55,20.06
17,100,2,0.5,1,2.5,1.5,11,13,16,12,1143.7,87.66,19.83
16,100,2,0.5,3,2.5,1.5,10,16,12,12,899.26,73.58,21.08
16,140,1,0.5,1,2.0,1.5,14,17,10,4,1040.79,72.08,18.72
20,150,1,0.5,3,2.5,1.5,11,11,4,4,1276.02,42.07,20.13
19,120,3,0.5,1,2.5,1.5,12,12,8,16,1405.89,95.48,20.36
22,100,1,0.5,3,2.5,1.5,10,10,0,0,1257.85,45.49,20.2
21,110,3,0.5,1,2.5,1.5,13,13,16,16,1748.19,70.86,20.05
21,150,3,0.5,1,2.0,1.5,10,10,16,16,1773.68,66.88,20.22
17,140,1,0.5,1,2.0,1.5,12,13,16,16,1537.9,87.24,19.74
22,150,1,0.5,3,2.0,1.5,10,10,16,16,1420.93,26.71,20.22
16,130,4,0.5,1,2.5,1.5,12,17,4,12,1128.15,92.85,19.93
24,140,2,0.5,1,2.0,1.5,11,11,14,14,2019.02,59.08,20.27
22,140,2,0.5,2,2.0,1.5,10,10,6,16,1626.87,76.53,18.69
19,100,3,0.5,1,2.0,1.5,10,16,16,12,1312.3,62.81,20.95
21,140,1,0.5,2,2.0,1.5,14,17,10,4,1614.64,32.15,18.96
17,140,3,0.5,1,2.0,1.5,11,11,16,16,1329.28,65.29,19.95
24,140,1,0.5,2,2.5,1.5,10,10,8,8,1653.27,60.13,20.19
22,150,3,0.5,1,2.0,1.5,11,11,4,4,1681.8,78.23,20.05
18,100,1,0.5,3,2.5,1.5,12,14,16,16,1203.34,71.22,21.02
23,120,3,0.5,1,2.5,1.5,10,16,0,0,1309.97,79.72,20.95
17,120,3,0.5,2,2.0,1.5,12,12,16,16,1393.42,67.33,20.27
19,140,1,0.5,1,2.5,1.5,11,13,16,16,1634.06,89.56,20.3
22,150,2,0.5,1,2.0,1.5,12,12,12,12,1850.31,74.66,20.45
15,140,4,0.5,1,2.0,1.5,14,17,4,0,1209.79,44.51,18.66
20,120,3,0.5,1,2.5,1.5,13,13,16,16,1700.73,79.69,19.91
