X1,X2,X3,X4,X5,X6:,AVG,RIP,COG,THD
15,130,1,4,0.5,10,-1001.12,112.86,19.84,40.26
25,150,1,2,0.5,15,-1849.24,48.05,20.13,100.94
25,150,2,1,0.5,15,-1890.39,56.42,19.86,99.62
21,130,1,3,0.5,13,-1498.35,32.26,20.41,55.16
15,120,2,1,0.5,10,-672.78,33.11,19.97,39.56
16,120,2,1,0.5,15,-1085.07,44.31,19.66,97.9
16,130,2,1,1.0,11,-793.66,30.99,20.02,33.52
16,150,2,2,1.0,10,-969.25,20.66,20.01,40.78
15,120,1,4,0.5,14,-1138.82,107.44,19.77,75.85
24,120,1,2,0.5,14,-1712.78,45.64,20.18,77.39
24,120,1,2,0.5,13,-1679.5,49.69,20.11,55.28
25,150,2,1,0.5,13,-1836.17,71.69,20.2,53.99
16,110,1,4,0.5,11,-1047.03,96.11,19.96,34.41
24,150,2,1,1.0,11,-1649.54,80.61,20.31,34.37
25,150,1,2,0.5,10,-1801.98,54.7,20.18,40.89
24,110,2,1,0.5,15,-1701.81,62.31,19.81,99.75
15,150,1,4,0.5,14,-1163.15,110.75,19.75,75.94
21,120,1,3,0.5,11,-1415.02,29.04,20.37,34.46
16,130,4,1,0.5,15,-1261.95,42.73,19.72,98.96
15,130,2,1,0.5,11,-762.43,26.01,20.21,34.62
25,120,2,1,0.5,12,-1747.98,77.54,20.1,39.45
16,130,4,1,1.0,15,-1061.67,38.19,19.68,98.42
22,150,1,3,0.5,15,-1586.64,34.54,19.93,100.69
16,130,1,4,1.0,11,-874.89,100.95,19.97,34.4
25,150,2,1,0.5,14,-1852.94,65.98,20.11,76.69
16,130,2,2,1.0,10,-916.16,22.2,19.98,40.74
15,130,1,4,0.5,14,-1151.43,107.25,19.9,77.0
17,120,2,3,0.5,11,-1276.57,45.29,20.35,34.12
16,140,2,1,1.0,15,-951.44,34.86,19.8,98.75
16,150,4,1,0.5,11,-1210.95,40.27,20.06,34.39
25,130,1,2,0.5,11,-1765.5,56.96,20.25,34.81
16,130,1,4,0.5,11,-1078.86,100.08,19.94,34.49
22,130,1,1,0.5,11,-1373.03,72.01,20.27,34.3
21,150,1,2,0.5,10,-1459.62,44.16,19.99,40.78
20,130,1,1,0.5,15,-1307.31,48.17,19.88,100.61
16,140,1,4,1.0,11,-870.29,107.92,19.9,34.1
18,130,2,2,0.5,11,-1338.79,39.7,20.3,35.15
24,120,1,2,0.5,10,-1629.8,53.87,20.2,40.64
15,150,2,1,0.5,10,-798.11,24.73,20.0,39.86
16,120,2,1,0.5,11,-840.76,26.91,20.05,33.99
23,110,2,1,1.0,10,-1406.63,80.48,20.05,40.29
17,130,2,3,0.5,11,-1330.84,41.57,20.32,34.55
20,150,1,2,0.5,15,-1550.54,34.21,20.08,100.9
15,130,2,2,0.5,11,-1050.2,35.95,20.16,34.84
17,130,2,2,0.5,11,-1247.89,37.25,20.17,34.82
25,120,1,2,0.5,14,-1771.86,50.41,20.02,76.97
15,130,4,1,0.5,10,-1109.61,38.51,19.85,39.7
23,110,2,1,0.5,10,-1537.28,73.7,20.0,40.44
24,130,1,2,0.5,14,-1736.31,46.54,20.07,76.98
21,120,1,3,0.5,14,-1496.46,33.38,20.03,76.48
