X1,X2,X3,AVG,RIP
0.5,5.4,1.5,-1361.4185698722868,0.323763166956815
0.5,5.0,1.5,-1354.5960597996213,0.3082906956357662
0.5,5.9,1.5,-1366.1888496306942,0.3434712213908652
0.5,5.1,1.5,-1359.3788535632452,0.3184058461297593
0.5,14.9,1.5,-1510.9903443388794,0.38953081398819456
0.5,6.6,1.5,-1377.8293994584646,0.363163416372996
0.5,6.3,1.5,-1371.0704385601011,0.35607764012825305
0.5,5.6,1.5,-1364.7247483456422,0.33251431097360507
0.5,6.5,1.5,-1375.10793968818,0.3612138797934486
0.5,6.0,1.5,-1367.177543155352,0.3459004239889979
0.5,6.1,1.5,-1367.6365803849112,0.35047354937571895
0.5,6.7,1.5,-1379.9934370986764,0.3750977664745674
0.5,15.0,1.5,-1508.3943827709181,0.37873881486226485
0.5,5.2,1.5,-1361.2227101163137,0.322391595953943
