V,E
-988.2961575714893,-942.3677791738539
-976.1924350181828,-930.8593959680223
-963.7127438775032,-919.0129754185808
-950.8112012707965,-906.7629235182688
-937.4850441197684,-894.0342088324301
-923.6768492121699,-880.7836051129152
-909.3561705776508,-867.0122906068708
-894.4574231013628,-852.6805615034503
-878.8951183461015,-837.6834805697112
-862.565524068552,-821.9989473633797
-845.3780005354412,-805.4776675125108
-827.2247244484569,-788.0702491244427
-807.9953578254008,-769.6080792008277
-787.5253846364068,-749.95456262807
-765.6445622307497,-728.9466862488775
-742.2906323114115,-706.5861716929768
-717.0848110230204,-682.484973862474
-689.5896732708584,-656.0757346367676
-660.4476131789816,-628.0425996443828
-629.7821436635896,-598.5477070346632
-597.5962369457392,-567.5367758554728
-563.8458568187496,-534.9197755901016
-528.4181865437861,-500.64449893893834
-491.2762163264584,-464.6742199294548
-452.4867764312416,-426.9960477318088
-412.1452568569476,-387.7193469629044
-370.39350168977467,-346.94536679319305
-327.61672782218807,-304.9797202282806
-284.45731690755105,-262.4703532505956
-240.84446801588945,-219.4610727307136
-196.5838291254892,-175.69615959459074
-152.0328844308776,-131.4542736144602
-107.58682498320931,-87.27979041399273
-63.2229293753454,-43.18055584343164
-18.906708892349094,0.929084351736942
25.427753855075043,44.9881900556998
69.8098930517914,89.04937002412716
114.27157904394788,133.18458026709544
158.80813348643676,177.36938411850244
203.0621479302758,221.11365718499528
246.68579186545963,264.1224733853186
289.87963473840813,306.61066718896797
332.666675575398,348.5310309299002
374.4183408076805,389.30155014588314
414.7432288273516,428.6492520415112
453.5162609539424,466.4209212933084
490.65606381372316,502.5348885230444
526.0576548246815,537.0204040196768
559.7471980202699,569.8692729902573
591.8154009559591,601.0523674627168
622.3506906935572,630.6759329179108
651.3970955452963,658.8950281723984
678.8209592341295,685.4173869269052
703.9293268015508,709.6259897453564
727.1974593276708,732.1443220265672
749.0336061778544,753.2753675979072
769.4881678341216,773.0375500740652
788.6814589702608,791.5889746903956
806.7623995577857,809.0446935919624
823.9077333365532,825.580826183872
840.2179868915348,841.2708989397007
855.7935913573141,856.2807897471993
870.6848529080517,870.633098095624
884.9895507398487,884.4125399500252
898.7841313515888,897.6970392485972
912.1517373492296,910.4879870561808
925.1194089056388,922.860045593574
937.6864103142244,934.8395757704112
949.8732835808324,946.4545965331992
961.7273283224772,957.7214424719356
973.2452068182796,968.68275283677
984.4195896257028,979.3899741641856
995.28460128597,989.8336962245472
1005.8915546662155,1000.0073004923112
1016.2747293496781,1009.9943364480716
1026.4548653429804,1019.81859965421
1036.4552524017472,1029.4300380470002
1046.2906229026944,1038.8303543981935
1055.9579081304635,1048.068191996521
1065.4656996592992,1057.2027530080984
1074.8156222851153,1066.1651497234593
1084.0108549430067,1074.9315917418182
1093.0528771756108,1083.5671693327195
1101.9365615937752,1092.0510399421075
1110.6509846097567,1100.4040819194581
1119.1834717851673,1108.612840319476
1127.54148570593,1116.6907468444508
1135.7295300544688,1124.6424897547424
1143.758402093771,1132.4399203471226
1151.64949604802,1140.0930671514525
1159.4188542338254,1147.6096401312452
1167.0798707412653,1155.0080327294481
1174.6156042360387,1162.2881791842847
1182.0204152734893,1169.4241590141223
1189.2875375034373,1176.4024427603713
1196.4268676982617,1183.1957798895262
1203.4511975656264,1189.8028383071573
1210.3519676661751,1196.2212091796007
1217.1237252727267,1202.4592282075773
1223.7667677469387,1208.5220618343005
1230.2649557727132,1214.4473486202405
1236.6027787221155,1220.2524670044108
1242.771868718623,1225.9417597139816
1248.7839553067997,1231.5112004599137
1254.6471006593447,1236.9519399005524
1260.3420384269637,1242.2511285046025
1265.8626143468782,1247.3891545197957
1271.230232509465,1252.355568471396
1276.424670993083,1257.1373997450107
1281.4046759414348,1261.7356744298895
1286.159098368042,1266.1371385165887
1290.6773300440163,1270.3282873945707
1294.9335400343032,1274.2800922629413
1298.89840226985,1277.9839822617876
1302.545263410602,1281.4306925586807
1305.8708887989826,1284.571021684567
1308.7960538647685,1287.3102288193077
1311.3161174590145,1289.639938752679
1313.3881221192516,1291.6075331342406
1314.9888312759683,1293.1730861749895
1316.1082128361063,1294.2865377567396
1316.7661736567688,1294.9295667137976
1316.8592671452025,1295.069954573839
1316.301483059854,1294.6644017941
1315.052611679311,1293.6083078690208
1313.0937921943798,1291.84981118547
1310.324042891114,1289.3057021286347
1306.6357633787716,1285.9565021276692
1302.0592209792544,1281.7260206574997
1296.6184496654125,1276.5366108780127
1290.3610469301825,1270.3249062524392
1283.240033152128,1263.0879362392232
1274.9743894502437,1254.8958041504263
1265.4540390458874,1245.742213225642
1254.6601604137513,1235.5655308857408
1242.5919667924304,1223.9885181603345
1229.1646460156392,1211.020112201055
1214.4030764907523,1196.7808940614784
1198.243341477265,1181.158126398512
1180.2465952151554,1163.874985372976
1160.243208577569,1144.626572960121
1137.6262084333748,1123.074790635862
1112.2941258770024,1099.0650509331233
1084.3569087700794,1072.5365880627935
1054.8051424887838,1043.8947867647257
1024.4657386216268,1013.9624776087304
993.7362420622147,983.16220745852
962.9239542454196,951.9996137029616
932.2796787806836,920.8111198734116
902.015592493848,889.8498777959436
872.596424810668,859.2469880645613
844.0435466352549,829.3158761275072
816.4522500605648,800.0041192934873
789.9013070859876,771.670700791734
764.3520801512565,744.36867593043
739.5757377860068,717.959686258108
715.4973344217605,692.3710183856327
692.2407692183012,667.316211232902
669.8413378494396,643.2094356096636
648.2331117912588,620.0617161077769
627.4043962823104,597.8835510925684
607.2963165110584,576.6121901883836
587.8568034167596,556.1821739886897
569.0917171452911,536.624405516748
551.0088889471328,517.9518292626344
533.5661966520688,500.15124933566835
516.7118696299597,483.131048756192
500.3677825472128,466.8027505638824
484.71218455819644,451.2355721506084
469.9868640491188,436.7167490902936
455.86828019767523,423.0263451932908
442.2222094851804,409.8809754663596
429.0704266480768,397.24306837085527
416.3641066688328,385.0897111798074
404.0324078612328,373.37650902926134
392.03009025951644,362.03127049481986
380.30429293642453,351.0266826813625
368.81741527409656,340.3395422292962
357.5508596259148,329.90755779876383
346.4837224868478,319.6636310627978
335.6095741741123,309.57215405572333
324.8902774533807,299.623914439836
314.30487264741504,289.7926030764462
303.85771220928734,280.07020512439436
293.5306903152146,270.4571720762165
283.3401167252777,260.9329885158038
273.2009678066861,251.52338047782985
263.14270426656844,242.19328647022567
253.15518252502662,232.9596047404298
243.19435230578637,223.81869450133752
233.27584660506545,214.75353002710244
223.39994228149837,205.77776614976247
213.5106677594986,196.86782249186797
