index, torque
0,-0.0011817825406781769
1,-0.0015480215230011002
2,-0.001480517019182988
3,-0.0021697690834006486
4,-0.0022002777697690524
5,-0.0021647931323408266
6,-0.002335565225105743
7,-0.00238859410199021
8,-0.0025176298168567653
9,-0.0024186724235035727
10,-0.002630471975663909
11,-0.002300528527005662
12,-0.0021515921311308236
13,-0.002216912841574988
14,-0.0019394907118068434
15,-0.001883575795227673
16,-0.0015559181451708477
17,-0.0011287678149013297
18,-0.0012773748576151655
19,-0.0010997393264389867
20,-0.0010854862744295118
21,-0.0007438657545730453
22,-0.0005075028197849794
23,-0.000566147522909295
24,-0.00039204991671806105
25,-0.0007194600539109472
26,-0.00032637798711471753
27,2.5321231117259903e-05
28,-0.00026773745169449093
29,-6.442908795506203e-05
30,-9.287872999466521e-05
31,0.00013678856993186157
32,0.0005418227596455423
33,0.0008235987870437544
34,0.0007713666001007238
35,0.0010556261468680093
36,0.0015677523754749985
37,0.0017119952341293862
38,0.0021129796711176706
39,0.002034580634805637
40,0.001938048073638845
41,0.0021681319361431094
42,0.002204082170924993
43,0.0019051487266722833
44,0.0013982065521544785
45,0.001177755596223269
46,0.0007121708078130201
47,0.00042857713594125096
48,0.00044859952970911885
49,-0.0002832620616981087
50,-0.0006961326890105707
51,-0.00032176240287333426
52,-0.00027202625384592006
53,-4.9049292401829106e-05
54,0.0006702934310719414
55,0.0012121268662753626
56,0.0016297009629958536
57,0.002759890671108751
58,0.0037930709405777827
59,0.003598366721455538
60,0.0043159029638839405
61,0.0046701796180947126
62,0.004608571634409847
63,0.004907828963242076
64,0.004763951555095335
65,0.004362439360565227
66,0.0042340423303394974
67,0.0042800104151984875
68,0.003865593566015601
69,0.0033765417337577692
70,0.0027206048694859092
71,0.0022202829243553887
72,0.001900450849616483
73,0.0016696085966148317
74,0.001577506116791902
75,0.0016648933616854435
76,0.0021122702829299432
77,0.00253013683225708
78,0.002978742961496186
79,0.003535088622574692
80,0.0036184237675185834
81,0.003489748348452851
82,0.0035083123176019443
83,0.003175115627290216
84,0.0025211582299423797
85,0.002155190078083947
86,0.0016252111243416825
87,0.0007902213214440458
88,0.0003512206222216394
89,0.000429458979607648
90,-0.00015181365336171065
91,-0.0003688473235467513
92,-0.0003433920777038749
93,-0.0006266979624851335
94,-0.000538265024437786
95,-0.0004683433100038598
96,-0.0005819328655197174
97,-0.0006630337372156203
98,-0.0008176459712152884
99,-0.000710019613535471
100,-0.000924404710085511
101,-0.0011588013066669157
102,-0.0011494594489729192
103,-0.0011681291825880596
104,-0.0013493105529877446
105,-0.0013865036055378266
106,-0.001105958385494175
107,-0.0016544249380022462
108,-0.0012734033080966643
109,-0.0008361435407007946
110,-0.0012106456806263205
111,-0.0010066597725728215
112,-0.0006739358611273516
113,-0.000914223990764024
114,-0.0008413992058435844
115,-0.00028796155061300136
116,-0.00034203606920504425
117,-0.00036662280563787156
118,0.00019527819618538576
119,0.00042116689247703927
120,0.0006315432395652509
121,0.0010259071938944456
122,0.0010575087120257244
123,0.0013465977506372702
124,0.0014954242665247562
125,0.0016489882166017538
126,0.001396039557900137
127,0.0011813282475704875
128,0.0012278542428824988
129,0.0007656175012253753
130,0.0004759929801082378
131,-0.00014526936283947803
