Torque,MaxAngle
17.67882274219299,0
120.84959591261169,1
223.3834717150886,2
324.3302556734385,3
421.6387293290984,4
515.4868334074708,5
604.3190949436153,6
687.1336609411712,7
763.3839352164445,8
832.8384225223848,9
895.935623795006,10
952.272432298828,11
1000.8396011157337,12
1043.5306744632828,13
1081.2592870883752,14
1115.0212798883224,15
1145.5635215876891,16
1173.4484031668128,17
1199.109064892302,18
1222.915619171242,19
1245.0352160237085,20
1265.6623578484448,21
1284.9562620406905,22
1303.178460141252,23
1320.4704348126372,24
1336.8373658116884,25
1352.3481384964148,26
1367.0708447762152,27
1381.0173891112772,28
1394.20568978599,29
1406.667071066576,30
1418.3464675119533,31
1429.2988175047158,32
1439.3615759081133,33
1448.6110500022708,34
1457.0512510417147,35
1464.5157582137524,36
1470.9922723220272,37
1476.5808296863052,38
1481.2616599210144,39
1484.9586644061965,40
1486.9988190814367,41
1487.094685688909,42
1485.1619812893819,43
1481.013509816054,44
1474.182981830063,45
1464.6159977430689,46
1451.9461437797886,47
1436.0853190796727,48
1416.4227397408974,49
1392.1801841767635,50
1362.7407394423312,51
1326.8641484281607,52
1281.9442616693937,53
1226.9587758902246,54
1165.7260280888313,55
1100.866684876506,56
1034.8590263814976,57
969.711999049468,58
906.6834710341456,59
847.52799491253,60
793.4150078081141,61
744.1278859791328,62
698.9101578432703,63
657.3690136635596,64
618.1679315333904,65
581.1946709457128,66
546.8896354011016,67
513.0581967382249,68
481.0927191620756,69
451.8853633625708,70
424.1092935752304,71
397.5249197706664,72
371.9265735666422,73
347.14247023429846,74
323.09576836470086,75
299.7029829999991,76
276.93363691160334,77
254.80135052328922,78
233.21684065664235,79
212.14338734533516,80
191.53335739825735,81
171.2744459493056,82
151.23033713293287,83
131.26463942162653,84
111.35823330899409,85
91.56161143755888,86
71.81612529656404,87
52.12365759612676,88
32.51447251455365,89
12.84076233597153,90
-6.846772687617784,91
-26.53524303409443,92
-46.27219404223608,93
-66.06479282028003,94
-85.91769396260857,95
-105.84125269706517,96
-125.81993550129403,97
-145.88962393970726,98
-166.13117871886485,99
-186.73050641205097,100
-207.7912216165153,101
-229.28801501294484,102
-251.32437268810753,103
-273.9852961160657,104
-297.28611838626887,105
-321.2574720793142,106
-346.0029814220861,107
-371.5771032942121,108
-398.12234969914766,109
-425.82877536146157,110
-454.932422394596,111
-486.53669832915756,112
-520.051154324728,113
-553.916761333346,114
-590.1752721635052,115
-628.5501553867928,116
-669.5459430007871,117
-714.0610885593735,118
-762.3935051859072,119
-815.1575208220823,120
-872.8774099091288,121
-934.5851783257503,122
-998.7702792855923,123
-1064.4816470070575,124
-1129.330727964432,125
-1190.5436670824556,126
-1245.4581965477228,127
-1290.2229208445028,128
-1326.0710977061428,129
-1355.5743479549412,130
-1379.9225643339112,131
-1399.660235629532,132
-1415.2178377164516,133
-1427.269201601533,134
-1436.5882042981802,135
-1443.4026078021855,136
-1447.5252656862237,137
-1449.3133241423063,138
-1449.1505123830289,139
-1447.0909924963794,140
-1443.375840206811,141
-1438.657183471124,142
-1432.9687574117452,143
-1426.2495872202867,144
-1418.436907408946,145
-1409.6970087868178,146
-1400.2438828491133,147
-1390.0431613018484,148
-1379.0527287053585,149
-1367.2830510898757,150
-1354.7489889071076,151
-1341.4357518853337,152
-1327.3470186871943,153
-1312.5245522908976,154
-1296.948141983492,155
-1280.5279353386577,156
-1263.2330852708044,157
-1244.9665459850457,158
-1225.6100356822064,159
-1204.9714744799628,160
-1182.8439312467872,161
-1159.0469980190064,162
-1133.3274043535184,163
-1105.427276446166,164
-1075.0037964674036,165
-1041.3630896555194,166
-1003.7799191263028,167
-961.2354407553304,168
-912.740611857348,169
-856.5720871155376,170
-793.7013247535332,171
-724.5011731575024,172
-648.6832571052512,173
-566.3845311742289,174
-478.1628071690816,175
-384.75051247188213,176
-288.05520035640586,177
-187.65942162558963,178
-85.39121448976684,179
17.67882274303418,180
120.84959591251628,181
223.3834717149142,182
324.3302556737581,183
421.63872932858123,184
515.4868334080252,185
604.3190949425081,186
687.1336609412716,187
763.3839352162515,188
832.8384225224053,189
895.9356237950512,190
952.2724322988388,191
1000.8396011158325,192
1043.530674463256,193
1081.2592870882868,194
1115.0212798884172,195
1145.5635215876468,196
1173.4484031669097,197
1199.109064892252,198
1222.9156191731036,199
1245.0352160242949,200
1265.6623578489737,201
1284.9562620407892,202
1303.1784601902368,203
1320.470434812612,204
1336.8373658118496,205
1352.3481384964912,206
1367.0708447757472,207
1381.0173891143666,208
1394.2056897861357,209
1406.6670710662893,210
1418.3464674963452,211
1429.298817504862,212
1439.361575908345,213
1448.6110500023333,214
1457.0512510416465,215
1464.5157582138,216
1470.9922723220557,217
1476.580829686245,218
1481.2616599210116,219
1484.958664406097,220
1486.9988190814731,221
1487.094685688844,222
1485.1619812893216,223
1481.0135098160554,224
1474.1829818300744,225
1464.6159977430575,226
1451.946143780133,227
1436.0853190774408,228
1416.4227397409663,229
1392.1801841767326,230
1362.740739442246,231
1326.8641484281077,232
1281.9442616693705,233
1226.9587758901966,234
1165.726028088845,235
1100.866684876468,236
1034.859026381869,237
969.7119990497237,238
906.6834710342044,239
847.5279949128524,240
793.4150078060712,241
744.127885979222,242
698.9101578449693,243
657.3690136635796,244
618.1679315333824,245
581.194670945666,246
546.88963540107,247
513.0581967382228,248
481.0927191621032,249
451.8853633625068,250
424.1092935753336,251
397.524919770702,252
371.92657356666064,253
347.1424702343015,254
323.0957683646568,255
299.7029830000481,256
276.93363691158567,257
254.80135052323934,258
233.21684065664053,259
212.143387345202,260
191.5333573982982,261
171.27444594928429,262
151.2303371328353,263
131.2646394216971,264
111.35823330896976,265
91.5616114375228,266
71.81612529660971,267
52.12365759614188,268
32.5144725145638,269
12.84076233601516,270
-6.846772687631504,271
-26.5352430340421,272
-46.272194041367555,273
-66.06479282026048,274
-85.91769396264864,275
-105.84125269707333,276
-125.81993550120896,277
-145.88962393971073,278
-166.13117871885404,279
-186.73050641202568,280
-207.7912216165048,281
-229.28801501293233,282
-251.32437268808,283
-273.98529611611775,284
-297.2861183864462,285
-321.2574720792651,286
-346.0029814221553,287
-371.5771032942062,288
-398.1223496991374,289
-425.8287753610868,290
-454.9324219242728,291
-486.5366983291828,292
-520.0511543247188,293
-553.9167613329053,294
