Torque,MaxAngle
1487.094685688909,0
1514.3657274821057,1
1531.5837402705044,2
1546.0415829390624,3
1550.7375101097311,4
1542.3334240611996,5
1528.7703050547257,6
1499.1839640063995,7
1465.0151225143516,8
1422.6826996235854,9
1387.1110041463055,10
1369.3477417073775,11
1363.7387263303892,12
1375.5313539596257,13
1390.0781641239369,14
1408.68429352178,15
1421.9777580709324,16
1424.2951886754204,17
1418.8920770169998,18
1396.8122579147891,19
1370.7337293847195,20
1337.449916301657,21
1303.170612982602,22
1276.0160344155272,23
1250.5554816210795,24
1240.0918736911813,25
1235.9834247955437,26
1243.8670109130971,27
1260.6181938193452,28
1281.1927999485254,29
1312.0175973781527,30
1340.5885184440301,31
1377.3563643214004,32
1412.5970113807086,33
1448.4815750848522,34
1487.184980703752,35
1515.9751944853333,36
1548.1534221455752,37
1569.6326084603195,38
1591.3724585312157,39
1610.256025384885,40
1622.6735194841733,41
1638.5267495683947,42
1642.472958526551,43
1648.2344040947746,44
1645.4386631091245,45
1635.8359561322573,46
1622.2803927193988,47
1595.257553891524,48
1569.8052410365958,49
1534.2560817303404,50
1500.063092718802,51
1468.7203376036628,52
1438.9943818601787,53
1422.5780593368804,54
1409.2442924818915,55
1412.26065636924,56
1421.6559695915016,57
1440.5248639421304,58
1465.9128558288628,59
1488.257736621302,60
1514.907335174435,61
1531.6431662361815,62
1545.8018059203396,63
1550.9937774146213,64
1542.833666630827,65
1529.744247197584,66
1501.5391239693627,67
1468.004901556743,68
1425.9182298979406,69
1390.5474551848167,70
1372.7160991853752,71
1366.9690554043152,72
1378.4908834280845,73
1392.6965904391693,74
1410.7090657654917,75
1423.2184128532094,76
1424.582834696997,77
1418.196271970681,78
1395.5376013301593,79
1369.230953161932,80
1336.0628164464524,81
1302.0163524781124,82
1274.8779479979933,83
1249.4382802390485,84
1238.7464884494411,85
1234.366887922309,86
1241.9591378935913,87
1258.507740737342,88
1278.8601994020667,89
1309.313632112547,90
1337.644876266306,91
1374.0480258164732,92
1408.878822025755,93
1444.5619405749578,94
1483.198149817298,95
1512.2102057863551,96
1544.326188414838,97
1566.1297766097623,98
1588.1731394039136,99
1607.3475456959848,100
1620.305388558217,101
1636.8818770536152,102
1641.3835163975277,103
1647.847072495383,104
1645.656105107831,105
1636.211327671816,106
1622.6951931820568,107
1595.3442523886172,108
1569.5162859235936,109
1534.2349093043392,110
1499.9936271844845,111
1468.6059893435179,112
1438.8351477298281,113
1421.9724866299723,114
1408.9932109009444,115
1412.665743574264,116
1422.7102573641139,117
1441.4410542069509,118
1466.967633086302,119
1489.1580897862743,120
