Torque,MaxAngle
343.1941429957919,0
424.980520208488,1
505.099114018708,2
582.989417691298,3
658.1065477786908,4
729.1941639453148,5
795.7089401186169,6
857.390007113382,7
914.2358922354432,8
966.5845684539764,9
1013.7741195420892,10
1055.246537819155,11
1092.3184800104052,12
1125.4831478653516,13
1155.562138956861,14
1183.075965492706,15
1208.4917849905737,16
1232.136803192616,17
1254.2147862811782,18
1274.8453508008215,19
1294.2079507864937,20
1312.413370885943,21
1329.6801887613756,22
1346.132265615396,23
1361.8178786790177,24
1376.6885109031527,25
1390.7724552175616,26
1404.112796040612,27
1416.7400853804822,28
1428.6762404364724,29
1439.934426819716,30
1450.4645056733261,31
1460.2461380079628,32
1469.221912500709,33
1477.3430527746448,34
1484.5171985240104,35
1490.680731353626,36
1495.7416202217091,37
1499.5313675997847,38
1501.8772309615006,39
1502.5175391047376,40
1501.1429384003327,41
1497.3770152450904,42
1490.9148026040532,43
1481.3691370447793,44
1468.4162790110863,45
1452.5919139086207,46
1436.2141125940125,47
1414.114832566377,48
1387.2675053143184,49
1356.1299198488023,50
1320.867514996388,51
1281.5920055383096,52
1238.6026763240768,53
1192.8815979986075,54
1145.1931990064013,55
1096.391399576896,56
1047.6023660750943,57
999.4937577418464,58
952.7925682462976,59
908.2944914819664,60
866.6951546523411,61
827.5418577982424,62
789.4725869616988,63
751.0669682977904,64
712.4470790340836,65
674.2479828069909,66
636.4826534142887,67
599.3019717048056,68
562.8415732275224,69
527.7595836743668,70
494.717291501492,71
463.3388398164912,72
433.5546829227352,73
404.9146042805244,74
377.29001164799024,75
350.45903690557776,76
324.2066620134734,77
298.35401286463207,78
272.94199616649126,79
247.88290200543008,80
223.07860879442228,81
198.39151693705267,82
173.79505474733014,83
149.239128281896,84
124.69834165539444,85
100.1010829728384,86
75.41081738924035,87
50.679521915501795,88
25.93143904508125,89
1.2376229000900096,90
-23.312233517936715,91
-47.86476996103604,92
-72.49377495463497,93
-97.0714905752916,94
-121.5631569929154,95
-146.03635182425228,96
-170.50709165301976,97
-194.9962944647517,98
-219.54438987366223,99
-244.26468223227144,100
-269.28932335582846,101
-294.5910002855408,102
-320.2400034403877,103
-346.40133979237464,104
-373.2667292026897,105
-400.892194929388,106
-429.3378147655404,107
-458.8774097156652,108
-489.9666431662864,109
-522.5011128185145,110
-557.1197615392216,111
-592.9819794988999,112
-629.5215995746556,113
-666.3939851969349,114
-703.6946206773413,115
-741.256458407572,116
-778.3256249015544,117
-814.9100746200988,118
-852.3574818677064,119
-892.0555453926272,120
-934.3962240676033,121
-979.0826988050601,122
-1025.208378885238,123
-1072.0496109999883,124
-1119.039637150861,125
-1165.146290473916,126
-1209.7377810261512,127
-1251.9042371266928,128
-1290.4973696975803,129
-1325.2939310767688,130
-1355.9763215571297,131
-1382.473617525914,132
-1404.268734525595,133
-1420.0885819042867,134
-1435.374297827806,135
-1447.805918019487,136
-1456.9506678873965,137
-1463.0223233852664,138
-1466.4146396477536,139
-1467.5208030254223,140
-1466.7093785245984,141
-1464.1823585263985,142
-1460.1698919918535,143
-1454.8655280409039,144
-1448.4328998830192,145
-1441.0306070147706,146
-1432.7138153882913,147
-1423.543182406756,148
-1413.567580050118,149
-1402.8612265069535,150
-1391.4607863735564,151
-1379.388971072185,152
-1366.62157543398,153
-1353.1574546309414,154
-1338.9402701458807,155
-1323.9528436052078,156
-1308.2009553842672,157
-1291.6608564417795,158
-1274.2837051552167,159
-1255.932551861212,160
-1236.448166458629,161
-1215.69871628085,162
-1193.556910171264,163
-1169.8561026909429,164
-1144.386344469717,165
-1116.7942925430507,166
-1086.6433733453723,167
-1053.3082680902712,168
-1016.2364532866328,169
-974.757555510762,170
-927.5566381508132,171
-875.2474940334351,172
-818.4414282080684,173
-756.8805955434956,174
-690.4143796370607,175
-619.38791927333,176
-544.3783173402236,177
-466.5408411270232,178
-386.382676075811,179
-304.5932859804933,180
-222.64554324065446,181
-141.18747670986173,182
-60.77871312216344,183
18.20930079562932,184
95.29489913745104,185
169.2765343584354,186
240.28782733584194,187
307.49803923230274,188
370.1796591158828,189
428.1500280505172,190
481.7510204388424,191
528.1423020458824,192
576.1855856875784,193
616.5480633974809,194
652.0619079141557,195
683.6971135577093,196
712.0813051219343,197
737.8225694782328,198
761.4030729622524,199
783.1720573906944,200
803.3906491260112,201
822.3619170802837,202
840.124059036036,203
856.7648277912308,204
872.38912678561,205
887.1035625252977,206
901.024880654266,207
914.1847750867304,208
926.6302814744232,209
938.3643877759048,210
949.4066924661472,211
959.70635509895,212
969.2030650875024,213
977.9086220268343,214
985.7604724624916,215
992.7566272275772,216
998.8824189604708,217
1004.030403322936,218
1008.0905723675464,219
1010.9538985206863,220
1012.4546012695977,221
1012.4246996672452,222
1010.583304103968,223
1006.7521487041205,224
1000.525742426714,225
991.6510597567292,226
979.5128251999552,227
964.1992513491192,228
947.9444549735288,229
928.5813426542665,230
904.0411770719617,231
875.6379190747908,232
843.9404492387384,233
809.53419008783,234
773.5803725897612,235
737.9515566121984,236
702.825570731736,237
668.7095223922212,238
636.3643459955592,239
605.557989681232,240
576.2798697445593,241
548.835533145934,242
522.191522528416,243
493.1394370883464,244
461.95278055489916,245
429.078342411508,246
395.14457668590654,247
361.2789027850724,248
328.590453583101,249
297.0287106862463,250
267.28700455170565,251
239.72021288490652,252
215.31489741980852,253
193.7088324012686,254
174.76754170046615,255
157.98865239983024,256
142.98126888643952,257
129.22835136099212,258
116.43616143092147,259
104.31797959109475,260
92.66359893122048,261
81.44192906565443,262
70.58668863803801,263
59.98027835866984,264
49.54926241032672,265
39.21622306535694,266
28.974356306711574,267
18.814882062994073,268
8.680925718251448,269
-1.4471867896822452,270
-11.579658005355387,271
-21.703967884373313,272
-31.83842700057028,273
-42.054964233382755,274
-52.38710172334296,275
-62.86508906917187,276
-73.55457550785604,277
-84.51154796859949,278
-95.74903271061264,279
-107.34671133461619,280
-119.42107541607176,281
-132.13856705194758,282
-145.79454327424807,283
-160.7159562416779,284
-177.24761572401394,285
-195.89509124217588,286
-217.16756763950184,287
-241.14614985614435,288
-268.1207260311499,289
-297.18820650311966,290
-327.69454650165505,291
-359.3590927822416,292
-392.32913865421955,293
-425.42051905912797,294
-456.95013536258,295
-486.5083045105648,296
-514.1534736210876,297
-538.8358281139972,298
-564.2060719785776,299
-591.4140552217541,300
-620.2059548127215,301
-650.6807044196145,302
-682.878418098664,303
-716.94783134854,304
-751.5198359787863,305
-786.3860998667228,306
-819.9329758248521,307
-850.9561841177737,308
-878.6543787117467,309
-902.5920019292853,310
-921.6932907157355,311
-937.4092268738824,312
-952.1414825299987,313
-963.7267685780097,314
-972.1617308733153,315
-977.9693490107464,316
-981.3712413921136,317
-982.6993275556068,318
-982.2641964570577,319
-980.3751468705541,320
-977.1078230664651,321
-972.6835337180504,322
-967.2127229764997,323
-960.7782817567156,324
-953.4860802224324,325
-945.365585122518,326
-936.4579782092856,327
-926.7600628636876,328
-916.3099870246012,329
-905.1180486343849,330
-893.2088143758829,331
-880.584571386524,332
-867.2380375564804,333
-853.1320708025037,334
-838.2368818497685,335
-822.4519824536017,336
-805.6234509393761,337
-787.6483675218412,338
-768.4873820275509,339
-748.0385375092233,340
-726.055002065926,341
-702.318034922594,342
-676.4535588596332,343
-647.9197270154832,344
-616.0434264792351,345
-580.3378191810073,346
-539.7709012916304,347
-494.38285474206725,348
-444.8705321614412,349
-390.96791670599714,350
-332.7757963360867,351
-269.7653622768727,352
-202.29801371071153,353
-131.07529000589696,354
-56.956865564227435,355
20.238133426913866,356
99.35814248383303,357
179.81069290073194,358
261.25707368979795,359
343.1941429974703,360
