X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
24.72,135.8,3.13,0.55,0.5,2.5,1.76,12.44,14.87,3.53,3.41,-30.0,-1927.14,60.2
18.48,120.1,1.85,0.88,2.68,2.32,1.67,11.29,14.34,6.85,6.88,-45.0,-1311.91,71.79
17.83,121.9,2.0,0.49,1.64,2.27,1.77,11.54,15.87,7.87,3.54,-48.0,-1266.91,42.1
23.9,108.4,2.29,0.51,0.5,2.44,1.79,10.12,16.87,4.51,1.41,-38.0,-1385.8,56.83
24.74,96.5,2.14,0.58,1.12,2.29,1.79,13.75,16.87,4.51,1.39,-39.0,-1649.51,44.71
24.81,130.0,0.76,0.71,2.61,2.5,1.76,11.92,13.02,2.6,3.7,-43.0,-1627.3,49.51
20.33,120.1,1.6,0.69,2.56,2.59,1.89,14.94,15.99,4.49,5.48,-43.0,-1583.7,62.41
21.39,102.1,3.65,0.26,0.5,2.33,1.83,14.54,17.46,0.22,3.12,-33.0,-1574.68,66.92
23.9,120.1,2.28,0.47,1.24,2.18,1.66,10.19,15.55,8.91,3.55,-39.0,-1720.61,36.96
19.17,132.5,0.5,0.3,1.01,2.14,1.59,11.73,13.09,8.15,6.83,-25.0,-1622.84,78.49
18.14,114.9,3.25,0.89,0.8,2.1,1.58,10.7,10.79,6.74,6.74,-41.0,-1246.14,73.11
23.76,95.7,3.19,0.28,0.5,2.44,1.6,10.15,13.33,8.67,5.49,-34.0,-1651.61,54.56
24.31,115.7,2.48,0.45,0.5,2.26,1.67,13.61,13.83,2.58,2.37,-43.0,-1646.21,71.42
23.64,85.8,1.52,0.64,1.84,2.24,1.7,11.59,16.36,6.88,3.0,-45.0,-1476.46,48.76
20.12,135.1,0.94,0.72,3.55,2.28,1.76,10.58,16.88,8.94,6.0,-42.0,-1358.23,53.17
23.24,118.5,1.01,0.1,0.56,2.26,1.73,10.22,14.92,6.32,4.84,-30.0,-1738.42,58.73
20.46,122.8,1.5,0.49,2.6,2.3,1.8,12.17,16.46,5.04,6.08,-44.0,-1620.15,80.85
23.43,120.2,3.11,0.57,0.5,2.18,1.66,13.86,15.55,4.22,2.71,-37.0,-1719.65,56.64
22.68,104.9,0.64,0.26,0.54,2.5,1.81,13.05,17.43,7.27,2.89,-25.0,-1554.96,60.81
23.62,85.8,0.5,0.45,1.05,2.14,1.6,11.73,13.19,5.84,4.38,-32.0,-1535.07,58.11
23.28,117.2,2.86,0.58,0.78,2.62,1.84,11.76,16.83,3.12,2.85,-32.0,-1632.8,61.77
24.07,134.9,3.11,0.55,0.5,2.29,1.76,12.44,14.73,5.7,3.41,-32.0,-1878.26,55.24
22.66,96.2,2.08,0.42,1.17,2.36,1.7,13.03,14.11,1.89,2.97,-45.0,-1491.47,82.41
20.48,111.4,1.59,0.69,0.84,2.4,1.89,14.94,16.8,4.49,5.72,-31.0,-1782.11,58.7
20.31,133.1,0.96,0.71,3.06,2.65,1.7,11.25,11.39,2.21,2.07,-44.0,-1242.18,41.94
22.92,115.7,3.45,0.44,0.5,2.21,1.66,11.38,13.16,3.71,1.93,-44.0,-1476.11,70.66
21.05,118.7,0.69,0.6,3.35,2.19,1.67,14.21,16.9,6.89,5.05,-45.0,-1499.15,33.83
23.17,120.0,1.39,0.02,2.26,2.4,1.74,10.61,14.66,8.67,4.66,-45.0,-1732.34,47.65
18.89,117.5,0.94,0.72,3.55,2.28,1.76,11.94,13.47,8.3,6.78,-46.0,-1228.62,27.25
23.9,120.1,2.28,0.47,1.24,2.17,1.66,10.21,15.55,8.89,3.55,-39.0,-1746.17,36.64
24.74,119.0,0.88,0.55,0.58,2.29,1.79,13.75,14.88,3.52,3.38,-34.0,-1837.62,58.71
20.17,123.9,1.2,0.7,2.58,2.31,1.8,11.93,16.4,5.04,6.08,-42.0,-1520.86,69.93
20.47,129.7,1.45,0.7,1.29,2.52,1.83,12.17,13.11,2.28,3.21,-43.0,-1341.32,75.68
24.81,130.0,0.77,0.23,0.9,2.48,1.74,11.92,13.02,2.6,3.7,-41.0,-1736.59,69.82
23.89,120.1,2.35,0.27,1.01,2.22,1.67,10.19,15.45,8.15,3.53,-39.0,-1734.11,41.82
24.19,118.8,0.8,0.56,0.73,2.38,1.52,10.02,13.73,3.93,5.07,-28.0,-1726.42,76.46
17.96,119.2,1.4,0.55,1.26,2.24,1.74,10.88,16.58,0.19,5.85,-37.0,-1168.22,103.31
23.46,135.9,3.11,0.56,0.5,2.4,1.74,12.43,14.83,7.11,4.71,-28.0,-1967.55,50.86
16.87,120.1,1.28,0.52,3.25,2.05,1.55,14.36,16.85,8.62,9.28,-43.0,-1465.31,57.9
19.16,132.5,1.16,0.83,1.01,2.14,1.59,11.73,13.73,8.23,6.83,-25.0,-1588.34,80.04
18.3,114.7,0.53,0.99,0.77,2.19,1.69,14.15,16.57,7.61,5.19,-25.0,-1492.82,81.88
24.75,120.1,3.11,0.58,0.5,2.34,1.81,13.86,16.38,4.39,1.86,-31.0,-1775.07,44.87
21.22,129.5,2.19,0.76,0.54,2.51,1.7,10.74,12.93,4.49,2.3,-43.0,-1315.52,71.69
21.21,122.9,2.1,0.66,0.96,2.54,1.97,13.03,16.13,8.08,5.66,-32.0,-1867.64,50.65
19.16,117.8,3.45,0.48,0.52,2.24,1.66,10.86,13.27,3.83,6.24,-39.0,-1336.11,99.4
23.24,117.3,1.01,0.23,0.56,2.26,1.73,10.74,14.97,6.33,4.79,-30.0,-1739.14,58.02
18.48,115.4,1.53,0.41,2.68,2.24,1.67,11.35,17.2,4.1,7.32,-44.0,-1408.36,97.66
20.57,119.0,0.91,0.02,2.26,2.4,1.74,10.61,14.97,8.7,4.66,-46.0,-1393.01,25.06
24.81,104.8,0.76,0.14,1.36,2.2,1.54,11.92,13.02,4.8,3.7,-43.0,-1656.57,51.88
24.09,134.9,3.24,0.34,0.5,2.39,1.84,10.63,11.4,3.06,3.83,-43.0,-1737.36,83.04
24.19,91.6,2.38,0.1,0.94,2.32,1.75,10.11,17.58,8.7,1.23,-37.0,-1440.69,22.58
23.53,120.5,2.28,0.47,1.24,2.17,1.65,10.19,15.55,8.91,3.55,-39.0,-1710.5,39.63
23.98,95.7,2.98,0.28,0.5,2.45,1.61,10.12,14.89,8.75,4.13,-35.0,-1564.36,39.99
23.43,112.0,1.48,0.81,0.96,2.21,1.71,14.28,16.84,2.78,2.71,-37.0,-1715.67,54.75
24.74,108.4,3.11,0.58,0.5,2.18,1.54,14.19,16.87,4.07,1.39,-30.0,-1653.94,45.88
20.46,134.9,1.46,0.49,2.66,2.31,1.8,12.17,16.46,5.04,6.04,-42.0,-1681.39,76.97
23.79,135.8,3.13,0.28,0.5,2.5,1.76,12.44,14.87,3.53,3.41,-32.0,-1860.76,69.46
24.37,99.2,1.37,0.9,1.8,2.15,1.63,11.37,12.63,4.81,3.55,-44.0,-1568.29,53.18
