X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
17,100,1,0.5,4,2.5,1.5,12,14,16,16,20.81
24,140,2,0.5,1,2.0,1.5,14,16,8,4,20.46
23,110,2,0.5,1,2.0,1.5,10,17,8,4,20.77
21,150,3,0.5,1,2.5,1.5,14,16,12,8,20.28
24,100,2,0.5,1,2.5,1.5,11,13,0,4,19.62
25,110,2,0.5,1,2.5,1.5,10,14,4,4,20.92
16,120,1,0.5,2,2.5,1.5,10,18,16,16,21.02
16,100,3,0.5,2,2.0,1.5,14,17,14,8,18.89
15,100,1,0.5,4,2.5,1.5,10,14,16,16,21.24
17,150,3,0.5,2,2.0,1.5,13,14,10,8,20.47
19,100,3,0.5,1,2.0,1.5,10,16,2,12,20.17
17,100,2,0.5,1,2.5,1.5,11,13,16,16,20.27
15,150,1,0.5,1,2.0,1.5,12,15,16,16,20.98
18,100,3,0.5,1,2.0,1.5,12,16,12,4,20.52
18,120,1,0.5,2,2.5,1.5,11,13,8,12,19.71
20,120,3,0.5,1,2.5,1.5,12,13,16,16,19.56
20,120,1,0.5,2,2.5,1.5,11,16,4,8,19.59
16,140,4,0.5,1,2.0,1.5,14,17,0,6,20.01
18,100,3,0.5,1,2.5,1.5,13,18,4,6,18.86
22,130,2,0.5,1,2.0,1.5,13,14,8,6,20.17
23,100,2,0.5,1,2.5,1.5,10,14,0,8,20.6
18,140,3,0.5,1,2.5,1.5,10,13,14,16,19.98
24,110,2,0.5,1,2.0,1.5,11,17,16,4,19.52
18,140,3,0.5,1,2.0,1.5,12,14,8,8,21.0
19,150,2,0.5,2,2.0,1.5,12,16,16,8,20.59
16,130,4,0.5,1,2.0,1.5,12,17,0,10,20.33
21,150,2,0.5,1,2.5,1.5,12,14,16,16,20.82
22,110,3,0.5,1,2.0,1.5,14,17,4,0,18.65
18,140,1,0.5,3,2.5,1.5,10,13,16,16,21.42
24,100,2,0.5,1,2.0,1.5,11,16,10,0,20.55
23,100,1,0.5,3,2.5,1.5,10,16,8,0,21.09
16,140,2,0.5,1,2.0,1.5,14,18,8,0,19.98
18,120,1,0.5,1,2.5,1.5,11,14,8,14,19.67
22,130,2,0.5,2,2.0,1.5,10,15,14,4,19.5
16,100,4,0.5,1,2.0,1.5,12,17,8,16,20.04
19,120,3,0.5,1,2.5,1.5,11,13,16,12,19.87
17,140,1,0.5,1,2.5,1.5,10,13,16,16,21.13
19,130,2,0.5,1,2.0,1.5,13,14,6,4,20.39
23,120,2,0.5,1,2.0,1.5,10,16,8,4,20.94
24,150,2,0.5,1,2.5,1.5,11,14,10,4,20.43
18,100,1,0.5,3,2.5,1.5,13,18,16,12,19.45
15,130,3,0.5,1,2.0,1.5,12,15,16,16,20.84
18,100,1,0.5,1,2.5,1.5,12,16,12,4,20.65
15,130,3,0.5,2,2.0,1.5,14,18,16,16,17.84
15,100,2,0.5,2,2.0,1.5,10,17,12,16,20.99
19,150,3,0.5,1,2.5,1.5,10,15,10,0,19.47
24,150,2,0.5,1,2.5,1.5,10,13,8,12,20.34
16,140,1,0.5,3,2.0,1.5,10,17,16,4,20.53
19,130,1,0.5,1,2.0,1.5,10,13,10,4,19.62
23,110,2,0.5,1,2.0,1.5,10,11,12,14,20.75
18,140,3,0.5,1,2.0,1.5,14,18,8,0,19.97
21,130,1,0.5,3,2.0,1.5,11,12,14,12,20.86
15,100,2,0.5,1,2.5,1.5,11,13,0,4,19.78
17,150,4,0.5,1,2.0,1.5,12,17,8,16,20.29
21,150,2,0.5,1,2.5,1.5,11,14,14,12,21.06
18,140,2,0.5,1,2.5,1.5,10,13,16,16,21.16
22,100,3,0.5,1,2.0,1.5,12,13,16,16,19.68
17,100,1,0.5,4,2.5,1.5,11,12,16,16,21.02
18,100,3,0.5,1,2.0,1.5,12,16,8,0,20.29
23,140,1,0.5,2,2.0,1.5,12,17,8,0,20.15
20,120,3,0.5,1,2.0,1.5,12,13,16,16,19.59
18,130,2,0.5,1,2.0,1.5,13,14,14,12,20.56
15,140,4,0.5,1,2.0,1.5,11,17,8,0,19.7
15,140,2,0.5,2,2.0,1.5,11,13,8,12,19.89
20,150,3,0.5,1,2.5,1.5,12,13,16,16,19.62
16,140,3,0.5,1,2.0,1.5,10,17,16,4,20.3
16,140,1,0.5,3,2.0,1.5,10,11,10,8,20.29
16,120,2,0.5,1,2.0,1.5,13,14,2,0,20.32
15,140,1,0.5,3,2.5,1.5,15,17,12,12,15.81
24,140,2,0.5,1,2.5,1.5,11,14,4,8,20.06
15,100,1,0.5,3,2.0,1.5,13,15,4,0,19.67
20,150,3,0.5,1,2.0,1.5,12,13,16,16,19.61
18,140,3,0.5,1,2.0,1.5,12,15,16,16,20.94
23,100,2,0.5,1,2.0,1.5,10,17,12,0,20.34
22,100,2,0.5,1,2.0,1.5,13,14,4,6,19.89
15,130,1,0.5,4,2.0,1.5,11,12,16,14,20.29
19,140,2,0.5,1,2.0,1.5,12,13,16,16,19.77
15,140,1,0.5,2,2.0,1.5,10,13,16,16,21.27
21,100,2,0.5,1,2.5,1.5,12,13,0,2,20.52
18,120,3,0.5,1,2.0,1.5,11,13,16,16,20.43
19,110,1,0.5,1,2.0,1.5,13,15,16,16,20.18
16,130,4,0.5,1,2.0,1.5,12,17,16,16,20.62
16,130,4,0.5,1,2.0,1.5,12,15,0,6,20.41
24,110,1,0.5,1,2.0,1.5,11,12,2,0,20.54
17,150,3,0.5,2,2.0,1.5,13,14,16,16,20.88
24,140,2,0.5,1,2.5,1.5,12,14,12,8,20.74
15,100,2,0.5,2,2.0,1.5,10,15,12,8,21.12
21,100,2,0.5,1,2.5,1.5,12,14,4,0,20.36
