X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP,COG
22,150,2,2,0.5,12,13,4,4,-45.0,-1739.65,75.81,19.72
22,110,1,2,0.5,10,17,7,0,-39.0,-1395.17,9.1,19.57
16,100,2,1,0.5,15,18,8,8,-32.0,-1465.75,56.51,13.52
22,150,3,1,0.5,12,13,9,8,-31.0,-2165.45,50.58,20.12
20,100,2,2,0.5,15,16,4,5,-48.0,-1524.1,74.16,18.14
17,150,2,3,0.5,10,18,12,4,-47.0,-1234.17,18.45,20.64
22,130,1,2,0.5,10,16,6,0,-41.0,-1458.85,18.9,20.9
16,140,1,1,0.5,15,18,8,8,-25.0,-1711.8,65.51,13.56
23,140,1,3,1.0,15,17,4,3,-33.0,-1766.95,27.12,16.18
21,150,2,2,0.5,15,18,7,4,-36.0,-1990.63,35.69,16.86
17,150,2,1,1.0,15,18,8,8,-26.0,-1860.66,59.28,13.61
19,150,2,2,0.5,15,18,4,6,-39.0,-1835.09,45.99,14.93
21,150,3,1,0.5,15,18,4,4,-30.0,-1971.82,38.64,13.68
16,150,1,3,0.5,15,18,8,9,-39.0,-1547.93,45.91,14.14
22,110,1,3,0.5,15,16,4,5,-47.0,-1587.32,51.76,18.45
23,150,2,1,0.5,15,16,5,4,-34.0,-2103.38,41.51,18.01
22,100,1,2,0.5,10,16,6,0,-41.0,-1369.96,16.4,20.57
22,110,2,2,0.5,14,16,7,5,-43.0,-1781.04,55.81,19.28
22,100,1,2,0.5,14,17,7,4,-45.0,-1557.48,44.14,19.02
22,130,1,3,0.5,10,17,7,0,-40.0,-1423.51,12.16,19.61
22,150,3,1,0.5,15,18,4,3,-28.0,-1978.53,35.99,14.13
22,150,2,1,0.5,15,18,4,3,-29.0,-1951.02,35.86,14.13
20,150,3,1,0.5,15,16,8,7,-34.0,-2067.82,37.34,18.01
21,150,2,2,0.5,15,17,7,5,-37.0,-2023.99,39.52,17.18
24,150,2,1,0.5,12,13,6,6,-31.0,-2148.47,58.61,19.77
22,100,1,3,0.5,14,17,7,4,-47.0,-1533.62,47.59,18.98
23,150,1,2,0.5,10,16,8,2,-44.0,-1596.89,20.61,20.9
19,140,1,3,0.5,15,18,6,4,-47.0,-1511.7,33.47,15.34
22,150,1,3,1.0,15,16,1,0,-38.0,-1463.13,23.85,17.91
22,110,2,2,0.5,15,16,6,5,-42.0,-1824.72,57.96,18.2
22,150,1,2,0.5,15,18,6,3,-37.0,-1920.73,30.17,17.12
17,140,2,3,0.5,15,18,8,6,-48.0,-1465.69,43.7,15.15
22,110,1,3,0.5,14,16,7,5,-46.0,-1604.94,44.91,19.35
25,150,2,1,0.5,12,13,2,3,-43.0,-1883.14,73.35,20.51
23,120,1,2,0.5,12,18,8,2,-39.0,-1654.95,22.74,20.6
22,110,1,3,0.5,14,17,7,4,-46.0,-1580.34,44.71,19.0
21,140,2,2,0.5,15,17,4,5,-39.0,-1897.66,54.33,15.87
19,150,1,2,0.5,15,18,3,0,-35.0,-1550.34,23.1,16.97
21,100,2,2,0.5,15,17,6,5,-45.0,-1675.83,55.23,15.74
