X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
18.0,107.2,3.7,0.01,1.21,2.48,1.5,13.18,17.95,8.74,7.05,19.98
16.35,117.8,1.08,0.01,1.48,2.38,1.5,10.15,12.93,13.08,11.08,19.91
21.91,109.4,2.33,0.01,1.9,2.5,1.5,11.02,11.98,4.19,4.19,20.56
24.48,111.1,1.8,0.01,1.24,2.22,1.5,10.55,15.07,7.45,3.45,19.16
15.67,122.9,1.34,0.01,1.08,2.38,1.5,11.97,15.98,7.24,7.2,19.56
19.78,123.7,3.41,0.01,1.18,2.45,1.5,10.19,16.19,2.01,7.03,20.48
15.1,126.9,1.01,0.01,3.85,2.46,1.5,13.98,17.32,2.33,2.52,18.3
16.88,131.1,3.72,0.01,1.37,2.36,1.5,13.66,17.27,6.41,4.0,18.3
20.34,115.7,3.45,0.01,1.0,2.22,1.5,12.56,17.51,0.5,4.5,19.19
23.91,101.4,2.57,0.01,1.29,2.43,1.5,12.79,15.52,5.57,3.57,19.41
24.32,146.8,2.72,0.01,1.0,2.12,1.5,10.44,11.82,3.8,2.8,20.01
21.07,120.7,3.35,0.01,1.0,2.35,1.5,11.2,14.59,3.91,0.91,19.93
17.29,133.2,2.49,0.01,2.48,2.08,1.5,12.85,17.97,12.74,7.74,20.25
24.76,145.1,2.62,0.01,1.0,2.04,1.5,10.33,13.61,6.01,4.63,21.26
16.68,148.6,3.3,0.01,1.81,2.32,1.5,13.34,13.82,0.21,0.21,20.24
19.92,136.5,2.41,0.01,2.09,2.07,1.5,10.05,16.07,5.12,7.01,19.36
17.2,116.9,2.57,0.01,2.44,2.23,1.5,10.62,12.5,8.07,9.07,20.7
22.7,106.5,1.07,0.01,2.56,2.41,1.5,10.06,15.38,9.92,4.92,20.17
24.15,132.2,1.02,0.01,2.45,2.43,1.5,14.15,15.19,4.66,3.66,18.51
17.74,128.0,3.02,0.01,1.93,2.43,1.5,10.98,15.98,4.63,9.28,19.6
19.28,140.4,2.06,0.01,1.64,2.38,1.5,11.54,15.87,7.54,3.54,20.69
17.14,109.9,1.43,0.01,2.13,2.02,1.5,10.55,15.4,5.29,1.29,19.19
17.32,110.4,3.75,0.01,1.24,2.28,1.5,11.52,16.68,6.96,9.0,20.55
22.06,123.9,1.38,0.01,2.74,2.08,1.5,11.01,13.45,4.35,2.35,20.6
22.29,109.4,2.93,0.01,1.15,2.1,1.5,13.0,15.99,6.72,4.72,19.6
17.95,136.6,3.84,0.01,1.07,2.39,1.5,10.28,16.68,3.08,6.32,19.39
20.08,113.1,2.07,0.01,1.32,2.4,1.5,10.53,17.89,2.83,5.04,20.13
15.45,139.4,1.57,0.01,2.58,2.37,1.5,10.75,14.41,3.47,6.47,20.49
22.23,108.8,3.16,0.01,1.0,2.43,1.5,12.79,13.23,7.55,7.55,20.48
24.87,113.9,1.01,0.01,2.67,2.43,1.5,13.64,14.13,3.99,3.99,20.0
21.14,116.2,2.37,0.01,1.97,2.42,1.5,12.13,12.77,3.54,3.54,20.01
19.33,145.5,2.82,0.01,1.82,2.25,1.5,12.49,16.74,1.08,5.08,20.17
24.43,125.9,1.58,0.01,2.11,2.12,1.5,13.5,14.32,4.25,4.25,19.73
19.4,112.8,3.41,0.01,1.19,2.06,1.5,14.64,17.17,7.86,6.43,16.84
15.14,135.8,2.69,0.01,2.68,2.26,1.5,13.96,15.57,7.5,6.5,20.35
21.48,109.0,1.97,0.01,1.52,2.2,1.5,11.21,13.26,7.13,5.13,20.14
