X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
24.81,130.0,2.08,0.71,1.29,2.5,1.76,10.63,13.65,2.28,4.48,-34.0,-1856.8,81.74
17.83,125.2,2.0,0.54,2.65,2.28,1.78,10.97,15.87,7.87,3.54,-48.0,-1340.89,42.74
23.12,119.5,1.0,0.58,0.51,2.18,1.62,12.47,14.96,5.0,2.51,-41.0,-1483.47,53.73
23.9,125.3,2.29,0.47,1.24,2.18,1.66,10.16,15.55,7.3,1.91,-42.0,-1602.03,35.68
16.79,121.1,2.28,0.5,1.06,2.11,1.61,10.19,15.55,8.91,3.55,-47.0,-1044.75,26.86
22.68,103.6,0.64,0.08,1.25,2.04,1.53,13.03,14.1,7.29,6.22,-26.0,-1843.37,49.01
23.3,111.9,1.03,0.58,2.6,2.56,1.84,11.67,16.84,3.12,2.85,-42.0,-1474.43,53.17
21.39,120.4,3.65,0.26,0.5,2.7,1.84,14.54,17.46,0.22,3.14,-25.0,-1653.7,63.61
18.48,120.1,1.85,0.87,2.68,2.33,1.83,11.35,17.17,6.85,7.35,-42.0,-1461.13,71.54
24.75,85.6,2.89,0.64,0.5,2.31,1.81,11.26,16.34,6.77,1.9,-39.0,-1404.53,32.52
21.02,118.6,0.69,0.6,1.66,2.1,1.57,14.22,15.05,4.65,3.91,-43.0,-1438.1,42.48
15.29,136.1,1.49,0.49,2.63,2.17,1.67,12.17,16.46,5.04,6.08,-48.0,-1181.28,73.45
23.51,93.3,2.66,0.23,1.0,2.4,1.74,10.76,14.97,8.7,4.51,-40.0,-1630.99,47.06
20.18,117.7,1.59,0.7,2.09,2.39,1.88,14.95,16.0,7.88,6.82,-38.0,-1819.77,53.29
21.24,127.0,0.53,0.99,0.77,2.63,1.97,10.04,16.72,11.71,5.04,-25.0,-1644.13,66.2
20.12,135.1,0.61,0.72,3.65,2.28,1.76,10.02,16.88,8.94,6.0,-43.0,-1273.41,76.04
24.74,99.5,3.04,0.46,0.5,2.3,1.79,13.75,16.87,4.51,1.39,-33.0,-1613.05,45.78
21.17,98.6,3.69,0.45,0.5,2.23,1.63,12.43,14.83,5.73,3.33,-42.0,-1342.11,62.74
21.02,118.9,0.58,0.28,0.53,2.07,1.57,14.22,15.05,4.65,3.91,-29.0,-1582.02,62.55
21.74,96.3,0.58,0.4,2.8,2.16,1.66,10.05,16.52,1.01,2.63,-46.0,-1215.19,58.25
20.13,134.9,1.5,0.49,2.73,2.34,1.83,11.58,16.44,5.01,6.08,-43.0,-1594.38,85.16
18.33,120.1,2.28,0.47,1.24,2.18,1.66,10.13,15.55,8.97,3.55,-47.0,-1215.77,39.8
23.3,111.7,1.03,0.58,1.11,2.56,1.84,13.02,14.03,3.96,4.98,-32.0,-1761.18,68.67
24.36,119.5,1.0,0.91,0.59,2.18,1.63,12.47,14.96,5.0,3.45,-34.0,-1762.57,53.03
24.01,125.3,1.07,0.47,2.69,2.35,1.83,10.16,17.13,7.3,1.86,-41.0,-1596.45,28.58
20.18,117.7,2.37,0.7,2.09,2.44,1.75,14.95,16.0,7.87,6.82,-36.0,-1869.18,51.4
23.45,107.0,3.26,0.35,0.5,2.61,1.81,10.06,15.92,3.35,3.63,-34.0,-1526.59,76.1
23.65,91.5,0.5,0.29,1.01,2.24,1.59,11.73,13.03,6.45,5.15,-28.0,-1638.46,58.15
23.87,117.4,1.61,0.45,0.52,2.22,1.7,14.5,17.46,4.63,1.67,-30.0,-1741.58,42.61
15.47,136.1,2.42,0.38,1.08,2.2,1.7,10.62,14.57,2.28,6.23,-42.0,-1058.46,102.36
22.8,85.6,2.89,0.64,0.5,2.14,1.64,11.29,16.71,3.8,3.49,-38.0,-1399.87,66.91
24.37,99.2,1.12,0.9,0.53,2.57,1.63,11.37,17.32,4.78,1.31,-30.0,-1360.19,55.11
24.25,93.3,2.65,0.23,0.84,2.37,1.79,10.76,14.97,7.99,3.78,-42.0,-1594.98,45.32
23.45,108.2,3.32,0.35,0.52,2.46,1.81,10.31,16.88,0.56,2.67,-33.0,-1457.68,80.95
23.83,85.4,2.56,0.62,0.76,2.24,1.74,11.75,16.91,7.28,2.26,-38.0,-1470.11,33.92
21.17,135.9,3.17,0.57,0.52,2.52,1.7,12.43,14.83,4.94,7.0,-25.0,-1924.22,73.11
24.85,85.6,2.89,0.64,0.52,2.37,1.87,11.26,16.44,6.46,1.71,-39.0,-1389.28,33.66
