X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,AVG,RIP,COG
15.49,137.4,1.71,0.12,2.49,2.23,1.73,15.0,18.0,9.4,-298.17,55.46,14.02
23.73,139.5,1.38,0.04,1.26,2.31,1.81,15.0,17.95,1.32,-271.66,44.37,14.31
23.49,140.0,1.72,0.01,1.58,2.3,1.76,15.0,17.99,1.46,-272.2,46.38,14.04
23.93,126.30000000000001,1.62,0.04,1.22,2.01,1.51,15.0,17.99,1.08,-262.61,41.1,13.64
15.46,135.1,1.58,0.01,3.6,2.0,1.5,15.0,17.99,9.51,-282.55,50.71,13.21
23.49,132.5,1.43,0.04,1.4,2.19,1.69,15.0,17.97,1.54,-271.37,48.0,13.79
16.42,132.20000000000002,2.07,0.47,2.04,2.02,1.51,15.0,18.0,8.45,-292.23,61.2,13.14
23.76,139.8,1.91,0.0,1.74,2.18,1.68,15.0,17.98,1.26,-267.97,42.76,14.09
15.46,125.0,1.59,0.01,3.45,2.0,1.5,15.0,18.0,9.51,-284.32,51.33,13.08
23.49,132.3,1.39,0.0,1.43,2.23,1.73,15.0,18.0,1.51,-272.65,47.78,13.81
15.46,135.1,1.36,0.01,3.59,2.01,1.51,15.0,17.99,9.55,-285.28,52.08,13.36
23.49,132.5,1.63,0.02,1.93,2.28,1.78,15.0,17.96,1.55,-272.13,45.58,13.85
15.46,139.9,1.6,0.01,3.67,2.02,1.52,15.0,17.99,9.55,-281.68,50.29,13.29
24.42,133.4,1.62,0.06,1.76,2.02,1.51,15.0,17.99,0.59,-255.8,42.99,13.42
23.49,120.39999999999999,1.62,0.01,1.95,2.08,1.58,15.0,18.0,1.51,-267.24,46.07,13.58
23.49,131.9,1.63,0.01,1.93,2.28,1.78,15.0,18.0,1.51,-270.09,45.05,13.88
23.79,132.0,1.74,0.01,2.06,2.05,1.55,15.0,17.98,1.23,-267.36,41.23,13.68
15.46,139.9,2.14,0.0,2.86,2.02,1.52,15.0,17.99,9.55,-290.54,54.0,13.24
15.45,139.8,1.53,0.09,1.26,2.27,1.77,15.0,17.95,9.54,-304.8,58.86,14.09
15.33,131.6,1.42,0.01,3.6,2.0,1.5,15.0,18.0,9.59,-285.05,51.62,13.18
23.51,139.60000000000002,1.63,0.04,1.55,2.08,1.58,15.0,17.99,1.5,-270.57,49.1,13.5
23.79,132.0,1.66,0.02,2.1,2.02,1.52,15.0,17.98,1.23,-265.77,41.95,13.54
15.49,140.0,2.09,0.09,1.28,2.26,1.76,15.0,18.0,9.51,-304.16,58.47,13.92
15.55,139.4,1.62,0.09,1.83,2.27,1.77,15.0,18.0,9.45,-303.01,57.55,13.97
15.45,139.8,1.73,0.04,1.5,2.27,1.77,15.0,17.98,9.54,-303.98,58.06,13.91
