X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,ANG,AVG,RIP,COG
22.17,137.3,1.55,0.14,2.09,2.06,1.56,14.41,15.36,2.74,-47.0,-1813.45,68.49,19.73
21.01,99.9,1.51,0.06,2.02,2.01,1.51,14.39,15.3,2.69,-48.0,-1621.31,67.53,19.61
22.22,110.19999999999999,0.5,0.06,3.55,2.04,1.53,11.14,14.83,2.63,-48.0,-1414.03,16.45,20.6
23.79,137.79999999999998,0.99,0.54,2.29,2.08,1.57,14.98,17.99,0.4,-35.0,-1761.92,40.75,13.6
23.49,130.7,1.12,0.16,2.49,2.19,1.62,14.9,17.3,1.86,-41.0,-1886.79,49.17,15.72
21.97,132.5,1.16,0.16,2.11,2.06,1.56,14.82,14.92,1.81,-46.0,-1724.09,52.15,18.89
23.57,139.8,0.59,0.15,2.13,2.06,1.55,11.12,11.47,7.96,-30.0,-1931.09,39.6,20.66
22.62,136.6,0.5,0.06,3.52,2.02,1.51,14.76,14.8,3.86,-46.0,-1477.73,15.67,18.74
23.45,128.8,0.6,0.06,3.19,2.28,1.58,14.98,17.32,0.39,-39.0,-1638.9,14.33,14.78
23.53,132.6,0.5,0.02,2.86,2.12,1.62,14.92,14.95,1.2,-45.0,-1764.39,23.82,20.18
23.53,138.7,1.12,0.16,2.73,2.13,1.62,14.94,17.32,1.86,-40.0,-1896.41,50.84,15.41
22.09,137.20000000000002,0.58,0.15,3.54,2.25,1.57,12.71,14.81,2.63,-45.0,-1372.63,13.0,19.95
22.44,139.60000000000002,2.66,0.19,1.34,2.34,1.65,12.18,12.82,7.35,-31.0,-2082.77,61.99,20.82
21.52,107.30000000000001,0.82,0.63,2.25,2.08,1.57,14.98,17.85,0.4,-35.0,-1518.76,30.79,13.69
23.24,129.1,1.32,0.13,2.17,2.02,1.51,14.06,15.39,4.37,-44.0,-1920.33,63.6,19.47
23.54,139.0,0.6,0.31,3.21,2.28,1.58,14.98,17.32,2.14,-36.0,-1673.92,17.3,15.31
22.13,135.5,0.52,0.14,2.09,2.06,1.56,14.92,17.99,2.88,-40.0,-1799.5,29.11,14.21
22.8,137.6,0.65,0.01,2.71,2.06,1.51,12.16,14.86,4.13,-47.0,-1710.17,38.53,20.88
23.17,131.1,0.5,0.19,3.43,2.18,1.51,12.71,14.81,2.63,-44.0,-1412.45,13.1,19.8
21.88,137.0,0.6,0.01,2.26,2.06,1.56,14.3,16.73,4.09,-45.0,-1758.94,38.82,18.58
22.26,137.0,1.12,0.13,2.49,2.19,1.62,14.95,16.33,4.37,-44.0,-1869.15,53.64,17.38
23.54,111.6,1.18,0.01,2.12,2.12,1.62,14.8,16.84,2.62,-45.0,-1850.68,57.76,16.55
22.22,119.9,0.5,0.06,3.58,2.04,1.53,10.94,14.83,2.63,-48.0,-1390.93,14.68,20.53
21.58,131.7,1.97,0.63,0.77,2.04,1.52,14.98,17.99,0.4,-31.0,-1563.61,54.35,13.37
22.18,135.8,1.33,0.14,2.09,2.07,1.57,14.08,15.36,2.74,-47.0,-1772.45,65.4,20.44
22.11,117.4,0.76,0.15,2.36,2.3,1.57,14.97,16.62,2.82,-45.0,-1596.38,31.9,16.25
22.13,135.5,1.57,0.14,2.09,2.11,1.61,14.47,17.99,2.88,-39.0,-1932.99,55.18,16.64
23.26,111.6,1.66,0.01,2.12,2.12,1.62,14.06,15.39,2.62,-47.0,-1853.94,71.27,20.31
22.11,137.20000000000002,0.76,0.15,2.36,2.12,1.57,14.97,16.66,2.86,-45.0,-1742.88,37.17,16.24
22.18,138.4,0.5,0.06,3.6,2.02,1.51,10.81,14.7,3.1,-47.0,-1315.01,9.5,20.49
21.22,104.80000000000001,0.8,0.49,3.05,2.03,1.52,14.98,17.98,0.4,-36.0,-1519.6,32.77,13.42
22.8,137.20000000000002,1.46,0.14,2.21,2.06,1.56,14.4,16.11,4.07,-43.0,-1951.16,62.57,19.21
22.26,137.0,0.98,0.09,2.49,2.19,1.62,14.95,16.33,4.24,-44.0,-1877.16,50.16,17.46
23.39,130.9,0.64,0.06,2.09,2.02,1.51,14.76,17.68,1.93,-40.0,-1863.52,35.22,15.48
22.22,128.8,2.0,0.13,2.09,2.08,1.57,14.07,15.36,4.29,-46.0,-1867.65,70.74,19.44
22.22,128.9,1.99,0.06,2.1,2.06,1.56,14.07,15.39,2.31,-46.0,-1866.96,72.97,19.32
24.24,137.89999999999998,0.79,0.45,2.01,2.06,1.56,14.92,16.57,1.64,-41.0,-1844.58,37.72,16.45
22.13,135.5,0.52,0.11,3.07,2.02,1.52,14.92,17.98,2.88,-43.0,-1777.54,19.98,14.13
23.57,139.60000000000002,0.9,0.14,2.12,2.02,1.51,14.43,16.31,1.67,-44.0,-1857.71,47.05,18.29
23.48,139.0,0.6,0.31,3.21,2.28,1.58,14.98,17.32,0.39,-37.0,-1555.53,11.15,14.88
22.34,137.20000000000002,1.55,0.14,2.36,2.07,1.57,14.4,16.65,3.92,-43.0,-1923.51,62.11,18.47
21.03,101.1,0.92,0.06,2.08,2.14,1.64,14.93,17.46,4.51,-47.0,-1578.43,54.23,14.94
23.53,138.7,0.65,0.44,2.85,2.02,1.51,14.91,17.8,1.67,-37.0,-1786.74,25.82,14.28
22.09,135.5,0.64,0.06,2.08,2.04,1.54,10.81,14.75,3.1,-47.0,-1544.04,53.95,20.75
22.13,104.5,0.82,0.13,0.71,2.04,1.52,14.98,17.99,0.4,-30.0,-1429.04,44.92,13.31
23.53,139.60000000000002,1.09,0.14,2.12,2.06,1.55,11.12,11.39,7.96,-34.0,-1977.93,39.75,20.65
23.48,127.0,0.6,0.31,3.02,2.1,1.56,14.91,17.98,1.54,-39.0,-1717.1,22.8,13.93
21.03,101.1,0.92,0.06,1.99,2.14,1.64,14.93,17.46,4.51,-46.0,-1588.28,51.6,14.97
