X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
17.61,135.1,1.37,0.16,3.34,2.32,1.79,12.51,14.8,12.16,10.59,21.07
17.64,133.1,1.9,0.54,2.63,2.47,1.81,10.88,14.73,7.37,8.13,21.21
20.67,93.4,2.03,0.4,2.2,2.06,1.56,10.62,13.0,8.88,6.5,20.66
21.53,124.4,0.52,0.92,1.93,2.03,1.53,11.94,14.68,5.6,2.85,20.49
24.95,89.8,1.03,0.4,2.21,2.37,1.59,10.27,14.91,6.1,3.14,21.44
23.8,127.9,3.22,0.95,0.5,2.72,1.97,10.67,12.15,8.03,6.74,20.97
19.14,116.2,2.25,0.51,2.0,2.2,1.7,11.92,16.66,6.02,2.93,21.13
23.72,114.8,0.95,0.38,2.6,2.18,1.56,11.32,14.89,5.08,4.4,20.97
21.93,134.6,0.5,0.17,3.65,2.06,1.53,12.32,16.28,4.15,4.79,20.64
24.17,116.2,1.5,0.51,1.27,2.22,1.72,10.31,17.01,6.07,1.82,21.68
20.67,94.2,2.03,0.99,2.2,2.08,1.58,10.41,12.07,8.16,6.5,20.07
23.75,84.3,1.47,0.15,2.06,2.22,1.68,11.08,15.0,7.13,4.25,21.13
21.47,118.2,3.74,0.99,0.5,2.48,1.68,10.01,16.63,8.34,4.9,21.72
22.07,120.9,2.21,0.67,1.92,2.54,1.76,12.46,17.06,6.6,3.86,21.0
22.78,125.2,0.98,0.55,2.35,2.47,1.54,10.51,13.54,0.9,3.93,20.33
24.54,94.4,1.27,0.29,2.06,2.52,1.76,10.08,11.35,7.2,7.11,21.22
19.52,116.1,1.21,0.43,2.1,2.39,1.89,10.89,11.73,1.9,1.9,21.55
23.87,135.1,0.5,0.14,3.28,2.32,1.79,11.03,15.91,7.79,3.22,20.36
23.96,97.6,2.91,0.38,0.5,2.02,1.51,11.32,17.34,7.72,1.7,20.18
24.52,120.4,0.94,0.48,2.61,2.29,1.76,10.21,11.32,3.83,2.72,21.04
19.17,125.3,1.58,0.91,2.93,2.54,1.8,10.3,15.91,7.17,1.58,20.37
15.08,136.7,1.17,0.67,1.25,2.15,1.65,12.47,17.06,8.46,3.87,20.29
18.87,128.7,2.53,0.91,2.19,2.36,1.63,11.62,16.77,6.03,1.58,20.4
22.82,97.8,1.41,0.69,2.45,2.38,1.78,10.98,12.63,1.29,0.95,21.19
23.21,117.8,3.13,0.99,0.5,2.44,1.65,14.39,17.45,4.94,1.88,18.28
17.61,135.1,1.78,0.31,3.17,2.28,1.76,11.26,14.79,4.48,0.95,20.95
20.79,111.6,1.5,0.54,2.57,2.46,1.9,10.45,17.31,7.19,4.9,20.98
24.46,95.8,2.94,0.99,0.53,2.2,1.7,14.4,17.21,4.12,1.31,19.73
24.91,110.5,1.99,0.43,1.35,2.32,1.64,12.66,16.12,4.99,1.53,20.64
21.56,130.3,0.5,0.92,3.71,2.1,1.53,11.56,16.28,7.48,5.16,20.41
22.72,94.4,1.27,0.6,1.95,2.33,1.67,10.08,16.66,7.21,2.73,19.94
24.13,116.2,1.5,0.51,1.25,2.23,1.73,12.17,14.33,3.98,1.82,21.05
24.18,134.5,0.57,0.51,1.27,2.04,1.54,12.77,16.29,5.69,2.16,18.95
23.8,76.0,2.08,0.66,1.42,2.04,1.54,11.12,17.62,8.07,1.58,19.64
20.67,96.3,2.03,0.4,2.2,2.06,1.56,10.62,13.11,8.88,6.5,20.69
20.68,94.2,2.04,0.37,2.19,2.08,1.57,10.41,12.07,5.56,3.9,20.24
22.08,120.9,1.17,0.67,1.92,2.06,1.54,12.3,17.06,7.46,3.86,19.17
21.45,134.6,0.5,0.36,3.65,2.06,1.55,10.93,13.32,4.1,1.71,20.04
20.79,113.5,1.47,0.54,2.57,2.2,1.7,14.45,17.32,7.19,4.89,18.72
19.24,115.8,1.21,0.3,2.1,2.34,1.65,10.89,16.6,1.9,1.93,19.92
24.28,89.9,0.93,0.98,1.11,2.36,1.59,10.22,13.59,7.18,3.81,20.08
