X1,X2,X3,X4,X5,X6:,X7:,X8:,X9:,AVG,RIP,COG
18,130,1,2,0.5,11,12,0,0,-1106.73,26.93,21.23
16,130,2,1,1.0,11,11,0,0,-793.9,31.0,20.0
25,150,2,1,0.5,13,13,8,8,-1899.33,82.49,19.91
25,150,2,1,0.5,10,10,16,16,-1967.98,69.97,20.36
18,110,1,2,0.5,12,12,0,0,-1030.11,25.42,20.47
16,140,2,1,0.5,15,18,0,0,-1339.72,46.15,13.53
25,150,2,1,0.5,15,17,0,2,-1896.76,61.81,16.81
25,150,1,2,0.5,15,18,0,0,-1814.26,53.01,13.89
25,140,2,1,0.5,10,10,16,16,-1924.28,73.31,19.99
18,140,1,2,0.5,12,13,0,0,-1200.28,32.73,19.71
25,140,1,1,0.5,15,17,0,0,-1797.69,49.09,15.59
25,150,1,2,0.5,15,16,0,0,-1888.05,44.34,18.33
25,150,2,1,0.5,15,16,0,0,-1858.41,48.68,17.98
25,150,1,1,0.5,15,17,0,2,-1881.94,58.06,16.78
24,150,1,2,0.5,15,17,0,0,-1820.59,40.44,15.89
18,120,1,2,0.5,12,12,0,0,-1071.05,26.2,20.68
19,150,1,1,0.5,15,18,0,0,-1443.98,41.54,13.56
16,130,2,1,0.5,11,11,0,0,-875.43,26.57,20.02
18,140,1,2,0.5,13,13,0,0,-1228.27,29.89,20.45
19,150,1,2,0.5,13,13,0,0,-1353.19,30.09,20.19
18,110,1,2,0.5,11,11,0,0,-994.67,28.89,20.27
16,150,2,1,0.5,11,11,0,0,-932.9,27.58,20.04
19,150,1,2,0.5,15,18,0,0,-1571.0,34.16,13.72
21,150,1,2,0.5,15,17,0,0,-1675.05,36.29,15.75
25,150,2,1,0.5,10,10,14,16,-1965.94,71.03,20.23
22,150,1,2,0.5,15,16,0,0,-1742.54,38.01,18.13
16,150,2,2,0.5,15,18,0,0,-1518.5,52.33,13.6
18,150,2,1,0.5,15,18,0,0,-1476.45,43.65,13.59
22,150,1,2,0.5,15,18,0,0,-1719.9,39.69,13.78
25,140,2,1,0.5,15,18,0,0,-1750.95,60.08,13.75
18,150,1,2,0.5,12,13,0,0,-1225.11,31.81,19.87
25,150,2,1,0.5,15,17,0,0,-1835.92,56.71,15.65
19,110,2,2,0.5,15,18,0,0,-1610.45,54.49,13.6
18,140,1,2,0.5,12,12,0,0,-1161.12,27.07,20.64
25,150,2,1,0.5,15,17,6,2,-1902.49,55.66,19.97
25,130,1,2,0.5,15,18,0,0,-1781.52,47.18,13.77
18,130,2,2,0.5,15,18,0,0,-1587.04,48.04,13.62
18,130,1,2,0.5,12,12,0,0,-1125.66,27.26,20.5
24,150,1,2,0.5,15,18,0,0,-1798.48,49.63,13.85
18,150,1,2,0.5,12,12,0,0,-1207.94,28.07,20.53
21,150,2,2,0.5,15,18,0,0,-1747.45,51.47,13.68
21,130,1,2,0.5,15,18,0,0,-1633.81,37.51,13.63
25,150,1,2,0.5,15,17,0,0,-1853.88,43.13,15.81
18,140,1,2,0.5,12,12,2,2,-1179.08,27.59,20.35
20,150,1,2,0.5,15,18,0,0,-1613.45,33.28,13.86
25,150,2,1,0.5,15,18,0,0,-1793.68,60.39,13.71
25,110,1,2,0.5,15,18,0,0,-1727.07,44.6,13.81
25,140,1,2,0.5,15,17,0,0,-1833.68,42.4,15.79
21,140,1,2,0.5,15,17,0,0,-1657.03,37.16,15.74
24,140,1,2,0.5,15,18,0,0,-1785.75,45.28,13.88
