X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.081,0.075,0.074,0.117,0.066,0.077,0.062,0.073,0.078,0.076,0.065
0.006,0.03,0.077,0.028,0.06,0.047,0.045,0.061,0.058,0.052,0.054
0.097,0.078,0.033,0.038,0.058,0.059,0.076,0.049,0.047,0.055,0.065
0.091,0.048,0.044,0.089,0.008,0.03,0.031,0.024,0.031,0.024,0.011
