X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.093,0.058,0.037,0.058,0.092,0.078,0.104,0.05,0.048,0.042,0.081
0.059,0.053,0.062,0.045,0.051,0.07,0.02,0.068,0.074,0.067,0.077
0.043,0.085,0.096,0.093,0.053,0.048,0.071,0.077,0.074,0.087,0.038
0.05,0.032,0.059,0.048,0.041,0.03,0.084,0.027,0.026,0.045,0.043
