X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.094,0.088,0.087,0.069,0.043,0.036,0.033,0.05,0.037,0.048,0.054
0.017,0.027,0.025,0.045,0.026,0.02,0.038,0.036,0.029,0.04,0.03
0.027,0.022,0.026,0.024,0.069,0.081,0.067,0.051,0.072,0.05,0.053
0.077,0.066,0.062,0.045,0.043,0.061,0.034,0.015,0.043,0.01,0.024
