X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Tavg,Trip,Tcog,ANavg,ANrip,ANcog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,10.0,0.0,0.0,598.68,32.1,18.11,0.2610486984542944,0.15319774562505206,0.0800843190184177
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,14.0,8.0,8.0,841.7,96.65,20.31,0.11119695547927821,0.07590184924579561,0.0629954042954186
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,18.0,16.0,16.0,822.42,128.89,19.65,0.12078505210566737,0.37038807367393967,0.008243673584596527
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,14.0,13.0,16.0,1109.52,48.18,18.06,0.01901213930472336,0.05074746092280562,0.08710033093003722
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,18.0,6.0,0.0,1248.73,57.36,18.33,0.0013122773853795043,0.017011322916781643,0.052713253919951436
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,10.0,8.0,8.0,919.84,40.33,20.02,0.07639682448106065,0.09386588007862308,0.03261654183412618
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,18.0,14.0,8.0,1070.29,72.24,16.85,0.027733078772487287,0.0005432361854334649,0.3467054268828093
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,10.0,16.0,16.0,1034.37,54.41,19.39,0.03715771475453331,0.025890682099521792,0.0007666188127920638
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,14.0,3.0,0.0,926.34,47.38,20.97,0.07379539651063115,0.05453966473464798,0.16907148225857369
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,14.0,8.0,0.0,1094.19,78.39,20.9,0.022224656078684974,0.007542410015506813,0.15538791345081776
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,18.0,0.0,8.0,1149.11,89.87,18.21,0.011875249941960332,0.04221148734181383,0.06693597885999157
20.0,10.0,2.5,1.0,2.0,1.0,1.25,10.0,10.0,16.0,16.0,1368.21,70.41,19.63,0.002603631796117093,1.9364539455529553e-05,0.007385736752486844
20.0,12.5,3.5,0.5,1.0,1.5,1.5,10.0,10.0,16.0,16.0,1410.32,70.26,20.41,0.00668746762989291,8.126883562423833e-06,0.07576845163817107
20.0,12.5,3.6,0.5,1.0,2.0,1.0,10.0,10.0,0.0,0.0,1301.06,66.26,17.98,3.9561409969386186e-06,0.0014803882923901544,0.09893863732956498
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,14.0,16.0,8.0,1358.24,74.47,20.05,0.0019136362443770585,0.002148044213562016,0.03529966727269523
20.0,15.0,1.0,0.75,1.0,1.5,1.5,10.0,10.0,8.0,8.0,1233.08,83.68,20.27,0.002270894095726011,0.020022662049201626,0.05821609392651459
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,14.0,16.0,16.0,1299.23,57.86,18.54,4.2593090612680635e-07,0.01569047829624098,0.03190610380631613
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,18.0,0.0,0.0,1224.36,45.34,19.24,0.002918348864060097,0.06482821015261986,7.603639325308647e-05
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,18.0,8.0,0.0,1241.65,105.22,19.83,0.0017135950686707846,0.13252884007654478,0.01808594586913479
25.0,10.0,2.6,0.75,1.0,1.0,1.5,10.0,10.0,8.0,8.0,1681.55,80.54,20.14,0.0783130432098572,0.011894102813510846,0.04398529582706732
25.0,10.0,2.6,0.75,1.0,1.5,1.0,10.0,10.0,16.0,16.0,1658.08,73.86,18.13,0.06901419742340219,0.0016035775123124669,0.0773603913958192
25.0,12.5,1.0,1.0,1.0,2.0,1.25,10.0,10.0,16.0,16.0,1707.46,81.87,19.52,0.08926091270650914,0.015080129082978639,0.0035095292696717822
25.0,12.5,1.0,1.0,2.5,1.0,1.5,14.0,14.0,0.0,0.0,1637.75,49.55,20.15,0.06143428163683333,0.04457064787902719,0.04500927791076262
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,14.0,8.0,8.0,1464.4,55.9,18.41,0.014706234208209271,0.021173644707370872,0.04417403320239135
25.0,15.0,2.5,0.5,1.0,2.0,1.25,14.0,14.0,8.0,8.0,1845.36,77.04,19.18,0.15957480779831043,0.005314311975862696,0.0005420977038803232
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,10.0,16.0,16.0,1968.06,71.31,20.23,0.23919019855463725,0.00018766252058817278,0.05362530273943733
25.0,15.0,2.5,0.5,1.1,1.5,1.0,10.0,10.0,0.0,0.0,1841.08,80.2,17.94,0.15708749947769812,0.011140238554383109,0.105140569302069
