X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.085,0.075,0.076,0.121,0.071,0.085,0.071,0.073,0.082,0.078,0.067
0.005,0.038,0.086,0.033,0.068,0.053,0.05,0.072,0.065,0.059,0.059
0.107,0.084,0.035,0.043,0.059,0.059,0.076,0.052,0.049,0.06,0.071
0.102,0.046,0.051,0.088,0.012,0.032,0.026,0.021,0.033,0.019,0.012
