X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP,COG
19,150,1,3,0.5,12,16,16,8,-48.0,-1386.38,19.93,20.68
22,150,2,2,0.5,15,15,4,4,-45.0,-1762.45,65.41,19.23
25,150,2,1,0.5,11,11,0,8,-43.0,-1857.17,84.03,19.43
21,150,2,2,0.5,15,17,8,8,-38.0,-1904.04,51.26,15.82
19,150,1,3,0.5,14,18,16,12,-44.0,-1622.88,28.4,18.24
15,150,1,3,0.5,15,18,16,16,-46.0,-1313.77,31.49,13.77
25,150,1,2,0.5,14,14,8,8,-38.0,-2013.11,46.31,20.22
18,150,1,3,0.5,14,18,14,6,-46.0,-1420.88,20.87,18.93
22,150,2,2,0.5,15,16,8,8,-38.0,-2000.96,55.7,18.17
22,150,2,2,0.5,15,16,6,4,-43.0,-1808.74,55.91,17.93
22,150,2,2,0.5,15,15,8,8,-41.0,-1902.63,66.17,19.01
19,150,2,2,0.5,15,17,16,14,-38.0,-1922.54,39.64,15.93
21,140,1,3,0.5,15,18,8,8,-42.0,-1709.98,36.29,13.98
21,150,2,2,0.5,13,13,8,8,-46.0,-1698.2,72.49,20.05
20,150,2,1,0.5,15,15,16,16,-30.0,-2072.56,46.15,19.05
22,140,1,2,0.5,15,15,8,8,-44.0,-1714.07,48.97,19.1
21,130,2,2,0.5,15,16,10,8,-45.0,-1723.59,62.34,18.0
25,150,1,2,0.5,12,14,12,8,-39.0,-1978.45,39.16,20.56
22,130,2,2,0.5,15,15,8,8,-45.0,-1770.41,67.42,18.93
21,150,1,3,0.5,15,18,8,4,-40.0,-1670.48,28.21,15.28
