X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Tavg,Trip,Tcog,ANavg,ANrip,ANcog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,10.0,0.0,0.0,598.68,32.1,18.11,0.24710138904192774,0.20650523997682396,0.14558448093048465
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,14.0,8.0,8.0,783.45,113.4,20.76,0.12896453572706348,0.15709007751365708,0.13945027146188674
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,18.0,16.0,16.0,826.69,127.66,20.3,0.10681585291020368,0.2976482875870126,0.05874626082224219
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,14.0,13.0,16.0,941.12,38.53,17.8,0.05826265470482688,0.14987808278241946,0.22078198263426452
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,18.0,6.0,0.0,1195.59,75.47,19.38,0.0026369910723759477,3.334976103415971e-07,0.00038935114107364947
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,10.0,8.0,8.0,899.67,67.17,20.26,0.07416323878618639,0.007644689982254592,0.0533518842133463
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,18.0,14.0,8.0,1000.09,88.69,17.99,0.03894341437025285,0.018979170471177222,0.17284255693816525
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,10.0,16.0,16.0,982.73,65.54,19.31,0.044227941545416,0.010918424246511807,0.0015741058343226157
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,14.0,3.0,0.0,922.18,61.07,20.13,0.06529046438456892,0.022882055645941122,0.0376139768430655
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,14.0,8.0,0.0,1070.03,104.95,21.31,0.021057872540556324,0.09481459502695583,0.28103311695947264
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,18.0,0.0,8.0,1094.58,119.9,18.6,0.016073332721371583,0.21563578054496904,0.05854183727709877
20.0,10.0,2.5,1.0,2.0,1.0,1.25,10.0,10.0,16.0,16.0,1322.38,36.86,19.67,0.0018773612077392654,0.16371478682869162,0.003955038889519701
20.0,12.5,3.5,0.5,1.0,1.5,1.5,10.0,10.0,16.0,16.0,1354.67,58.22,20.3,0.004548290719360486,0.03279444005926258,0.05874626082224219
20.0,12.5,3.6,0.5,1.0,2.0,1.0,10.0,10.0,0.0,0.0,1301.06,66.26,17.98,0.0007511908439167627,0.009400607627003872,0.1752195818961753
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,14.0,16.0,8.0,1299.81,91.11,20.53,0.0007008952371428332,0.026598124235091114,0.0948044698254761
20.0,15.0,1.0,0.75,1.0,1.5,1.5,10.0,10.0,8.0,8.0,1227.92,84.14,20.31,0.0007403449919897454,0.008127174979902207,0.06013543906063402
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,14.0,16.0,16.0,1258.6,72.33,19.01,1.848187725959517e-05,0.001117994805227676,0.015661293077571786
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,18.0,0.0,0.0,1199.23,42.09,19.24,0.0023652152773901234,0.12242079168663665,0.003554308616466967
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,18.0,8.0,0.0,1218.86,121.39,20.17,0.001154288220610842,0.2303599663919875,0.04216420445966466
25.0,10.0,2.6,0.75,1.0,1.0,1.5,10.0,10.0,8.0,8.0,1654.08,67.08,20.14,0.08469543955723739,0.007810270441691406,0.038727183295514486
25.0,10.0,2.6,0.75,1.0,1.5,1.0,10.0,10.0,16.0,16.0,1623.03,64.34,17.97,0.07173734770699691,0.013700426131069875,0.1776128404886534
25.0,12.5,1.0,1.0,1.0,2.0,1.25,10.0,10.0,16.0,16.0,1692.94,89.27,19.38,0.10242779905199792,0.02068833327115652,0.00038935114107364947
25.0,12.5,1.0,1.0,2.5,1.0,1.5,14.0,14.0,0.0,0.0,1637.75,49.55,20.15,0.07774640075377594,0.07388648778961532,0.039856623382430366
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,14.0,8.0,8.0,1447.14,64.75,18.71,0.018630283385893388,0.012714439026540904,0.044358751341348555
25.0,15.0,2.5,0.5,1.0,2.0,1.25,14.0,14.0,8.0,8.0,1806.46,88.23,19.41,0.1638745819715477,0.017676016413692385,0.00012510364669002298
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,10.0,16.0,16.0,1937.82,68.88,20.27,0.2529155129766364,0.004835728328733917,0.05467612791386919
25.0,15.0,2.5,0.5,1.1,1.5,1.0,10.0,10.0,0.0,0.0,1841.08,80.2,17.94,0.18547377968355228,0.002393186482853784,0.18489001807288963
