X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.092,0.105,0.056,0.101,0.109,0.086,0.133,0.081,0.074,0.06,0.101
0.084,0.076,0.095,0.068,0.058,0.105,0.032,0.083,0.112,0.086,0.074
0.065,0.059,0.089,0.071,0.073,0.049,0.076,0.077,0.055,0.094,0.066
0.027,0.046,0.039,0.033,0.051,0.056,0.101,0.006,0.057,0.034,0.035
