X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
0.097,0.154,0.1,0.084,0.087,0.086,0.07,0.066,0.049,0.078,0.085
0.075,0.037,0.073,0.06,0.053,0.037,0.083,0.081,0.062,0.084,0.052
0.043,0.023,0.041,0.07,0.074,0.091,0.061,0.067,0.104,0.052,0.077
0.054,0.131,0.059,0.024,0.034,0.054,0.022,0.015,0.055,0.032,0.033
