X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
1.2504,0.1365,0.0882,0.0088,0.0224,0.0206,0.0043,0.0462,0.0009,0.0169,0.0482
0.0583,0.2947,0.0059,0.0818,0.0068,0.1422,0.0517,0.0722,0.0805,0.1933,0.0839
0.0415,0.0202,0.0102,0.0086,0.0032,0.0104,1.416,0.1102,0.0892,0.0501,0.0001
1.3502,0.4514,0.1043,0.0992,0.0324,0.1732,1.472,0.22860000000000003,0.1706,0.2603,0.13219999999999998
