X1,X2,X3,X4,AVG,RIP,P2P,THD
10,10,4,4,-1373.06,34.85,20.08,40.28
10,10,16,16,-1369.75,16.44,20.18,41.03
12,12,14,14,-1501.03,35.82,20.27,39.74
11,13,6,10,-1361.33,50.12,20.87,39.29
12,12,12,12,-1416.02,26.18,20.35,39.65
