X1,X2,X3,X4,X5,X6,Tavg,SNavg,Trip,SNrip
16.0,120.0,1.0,0.6,2.0,1.5,1243.316636243172,61.89163489562267,0.5428100191462784,5.307042895272385
16.0,130.0,1.25,0.7,2.25,1.75,1226.2476971996668,61.771564096332305,0.5340607060842203,5.448187487933112
16.0,140.0,1.5,0.8,2.5,2.0,1172.8437277006346,61.38480299220756,0.605511542638737,4.357551472993964
16.0,150.0,1.75,0.9,2.75,2.25,1168.4171443814384,61.35195841648604,0.622027510636048,4.123808143700752
16.0,160.0,2.0,1.0,3.0,2.5,1095.0608944376286,60.78876540421526,0.6265499734199528,4.0608856820643
16.5,120.0,1.25,0.8,2.75,2.5,1119.3314994368036,60.97917451082313,0.5920454320425717,4.552899307152334
16.5,130.0,1.5,0.9,3.0,1.5,1272.2556980110194,62.09148809221067,0.44727411430767344,6.9885247120954155
16.5,140.0,1.75,1.0,2.0,1.75,1277.488269263974,62.12713841695981,0.5917188384505545,4.557692078888135
16.5,150.0,2.0,0.6,2.25,2.0,1309.6710495794835,62.343244549875436,0.6176262045779184,4.1854857216406485
16.5,160.0,1.0,0.7,2.5,2.25,1257.547346904007,61.990486906162474,0.7213929324818957,2.836562335976869
17.0,120.0,1.5,1.0,2.25,2.25,1213.5647421743452,61.68125900716283,0.5949672683436358,4.510138519672833
17.0,130.0,1.75,0.6,2.5,2.5,1228.4437787760867,61.787105705112715,0.6186457664192491,4.171159094735778
17.0,140.0,2.0,0.7,2.75,1.5,1382.7021072801153,62.81457249445404,0.46949753156085355,6.567333734935824
17.0,150.0,1.0,0.8,3.0,1.75,1310.5202350500554,62.348874620917314,0.6520802207445979,3.713979457030216
17.0,160.0,1.25,0.9,2.0,2.0,1352.5783027068965,62.62324832879452,0.6821699517517488,3.3221482865469536
17.5,120.0,1.75,0.7,3.0,2.0,1238.1980599322756,61.855802384082594,0.470727869285615,6.544601773461858
17.5,130.0,2.0,0.8,2.0,2.25,1316.7643788055568,62.3901613892984,0.6377499819607987,3.906990900049867
17.5,140.0,1.0,0.9,2.25,2.5,1317.766928060149,62.396772077567505,0.6860182704862636,3.2732863545033615
17.5,150.0,1.25,1.0,2.5,1.5,1445.6632523146645,63.20134283436499,0.55139726380016,5.17070786650698
17.5,160.0,1.5,0.6,2.75,1.75,1430.398007497093,63.10913792985312,0.5248147431202487,5.59987946480362
18.0,120.0,2.0,0.9,2.5,1.75,1363.303859511388,62.6918532839942,0.5114101351154902,5.824613387706577
18.0,130.0,1.0,1.0,2.75,2.0,1334.4912667224994,62.50631471980829,0.6479247648111417,3.7695084049434433
18.0,140.0,1.25,0.6,3.0,2.25,1333.8026864694593,62.50183175629487,0.6045797458284231,4.37092812636922
18.0,150.0,1.5,0.7,2.0,2.5,1437.4394147640978,63.15179098183336,0.7108564208727388,2.9643621884868585
18.0,160.0,1.75,0.8,2.25,1.5,1568.0036599489194,63.90694144112356,0.5605922333528786,5.027058468130889
