X1,X2,X3,X4,X5,X6,Tavg,SNavg,Trip,SNrip
16.0,120.0,1.0,0.6,2.0,1.5,1063.4256084478868,60.53414228777264,0.47160052331273145,6.528514433213886
16.0,130.0,1.25,0.7,2.25,1.75,1045.0314820233182,60.38258747904786,0.4816658424236493,6.345083016119791
16.0,140.0,1.5,0.8,2.5,2.0,998.9249317085578,59.990657052413454,0.5480014616376707,5.2243656631473465
16.0,150.0,1.75,0.9,2.75,2.25,999.1031400660589,59.99220647822164,0.5713402036419563,4.8621042950702815
16.0,160.0,2.0,1.0,3.0,2.5,943.893863701194,59.49846325459802,0.5894085830795184,4.5916708832294555
16.5,120.0,1.25,0.8,2.75,2.5,960.0439057890364,59.64582190258043,0.5411601262873912,5.333484210864335
16.5,130.0,1.5,0.9,3.0,1.5,1089.7148401413797,60.746257306418045,0.4254860223981155,7.422294046256566
16.5,140.0,1.75,1.0,2.0,1.75,1086.1377910724095,60.71769849596578,0.537499437043951,5.392439725506069
16.5,150.0,2.0,0.6,2.25,2.0,1112.9822697305901,60.92976491796999,0.5606576671251648,5.026044687839654
16.5,160.0,1.0,0.7,2.5,2.25,1077.7440225486177,60.650312456427116,0.6733561039284667,3.435103973482386
17.0,120.0,1.5,1.0,2.25,2.25,1041.7440797085246,60.355220820316575,0.5357860064450534,5.4201726679738185
17.0,130.0,1.75,0.6,2.5,2.5,1052.5666594069432,60.444992187938105,0.5611267117115089,5.018781135544588
17.0,140.0,2.0,0.7,2.75,1.5,1173.155742145397,61.387113413061016,0.43904184538893265,7.1498816974159904
17.0,150.0,1.0,0.8,3.0,1.75,1125.3611659260466,61.025838487995856,0.6614260256734015,3.5903744108843973
17.0,160.0,1.25,0.9,2.0,2.0,1155.8351940946516,61.25791828380471,0.6340439391591043,3.9576128905320758
17.5,120.0,1.75,0.7,3.0,2.0,1056.5170590095615,60.477530275261344,0.4232985884936109,7.467063593924378
17.5,130.0,2.0,0.8,2.0,2.25,1128.0506545833928,61.04657203748752,0.6010559257573425,4.421702336390641
17.5,140.0,1.0,0.9,2.25,2.5,1131.8952594679163,61.07612482079611,0.6555198886673442,3.668282543018871
17.5,150.0,1.25,1.0,2.5,1.5,1246.4252461606332,61.9133247397728,0.5274462041753907,5.556436575436856
17.5,160.0,1.5,0.6,2.75,1.75,1225.9079437073965,61.76915718438295,0.5046219744772524,5.940676828789807
18.0,120.0,2.0,0.9,2.5,1.75,1165.5582384483373,61.330679568369135,0.4833027341280329,6.315614959487701
18.0,130.0,1.0,1.0,2.75,2.0,1156.5797834721534,61.26351193498317,0.6286977215198708,4.031162271702798
18.0,140.0,1.25,0.6,3.0,2.25,1146.711996567728,61.18908711988823,0.5895049045587679,4.590251546273571
18.0,150.0,1.5,0.7,2.0,2.5,1234.9050801344388,61.832671544495284,0.6791100978902478,3.3611962366256574
18.0,160.0,1.75,0.8,2.25,1.5,1340.105361785802,62.54277889630116,0.5441937848491847,5.2849284507252525
