
 Nodal results 
Node x:0.0, y:0.0, Vector potential = 0
Node x:0.0, y:5.0, Je = 0
Node x:0.0, y:5.0, Js = 0
Node x:0.0, y:5.0, Mux = 1
Node x:0.0, y:5.0, Muy = 1
Node x:0.0, y:5.0, Pe = 0
Node x:0.0, y:5.0, Ph = 0

 Nodal results 
Node x:0.5, y:0.0, Vector potential = 1.216293730270581e-007
Node x:0.5, y:0.0, Bx = 1.30496842888041e-005
Node x:0.5, y:0.0, By = 0.001546876042784637
Node x:0.5, y:0.0, Sigma = 0
Node x:0.5, y:0.0, E = 0.9521427703503747
Node x:0.5, y:0.0, Hx = 10.38460880175908
Node x:0.5, y:0.0, Hy = 1230.964842798026
Node x:0.5, y:0.0, Je = 0
Node x:0.5, y:0.0, Js = 0
Node x:0.5, y:0.0, Mux = 1
Node x:0.5, y:0.0, Muy = 1
Node x:0.5, y:0.0, Pe = 0
Node x:0.5, y:0.0, Ph = 0

 Nodal results 
Node x:0.5, y:0.5, Vector potential = 1.172606626471644e-007
Node x:0.5, y:0.5, Bx = 2.955718399919672e-005
Node x:0.5, y:0.5, By = 0.001497742836107569
Node x:0.5, y:0.5, Sigma = 0
Node x:0.5, y:0.5, E = 0.8929018963014029
Node x:0.5, y:0.5, Hx = 23.52085968674417
Node x:0.5, y:0.5, Hy = 1191.86587923497
Node x:0.5, y:0.5, Je = 0
Node x:0.5, y:0.5, Js = 0
Node x:0.5, y:0.5, Mux = 1
Node x:0.5, y:0.5, Muy = 1
Node x:0.5, y:0.5, Pe = 0
Node x:0.5, y:0.5, Ph = 0

 Nodal results 
Node x:0.5, y:1.0, Vector potential = 1.130110809911902e-007
Node x:0.5, y:1.0, Bx = 3.592363854640183e-005
Node x:0.5, y:1.0, By = 0.001440510670581489
Node x:0.5, y:1.0, Sigma = 0
Node x:0.5, y:1.0, E = 0.8261579908732575
Node x:0.5, y:1.0, Hx = 28.58712324253201
Node x:0.5, y:1.0, Hy = 1146.321968998324
Node x:0.5, y:1.0, Je = 0
Node x:0.5, y:1.0, Js = 0
Node x:0.5, y:1.0, Mux = 1
Node x:0.5, y:1.0, Muy = 1
Node x:0.5, y:1.0, Pe = 0
Node x:0.5, y:1.0, Ph = 0

 Nodal results 
Node x:0.5, y:1.5, Vector potential = 1.058491747745729e-007
Node x:0.5, y:1.5, Bx = 4.636470846722254e-005
Node x:0.5, y:1.5, By = 0.00135122869593858
Node x:0.5, y:1.5, Sigma = 0
Node x:0.5, y:1.5, E = 0.7273256260763023
Node x:0.5, y:1.5, Hx = 36.8958626878656
Node x:0.5, y:1.5, Hy = 1075.273631031203
Node x:0.5, y:1.5, Je = 0
Node x:0.5, y:1.5, Js = 0
Node x:0.5, y:1.5, Mux = 1
Node x:0.5, y:1.5, Muy = 1
Node x:0.5, y:1.5, Pe = 0
Node x:0.5, y:1.5, Ph = 0

 Nodal results 
Node x:0.5, y:2.0, Vector potential = 1.00033957988732e-007
Node x:0.5, y:2.0, Bx = 5.456562021829378e-005
Node x:0.5, y:2.0, By = 0.001244269353471713
Node x:0.5, y:2.0, Sigma = 0
Node x:0.5, y:2.0, E = 0.6171963562519143
Node x:0.5, y:2.0, Hx = 43.4219409030826
Node x:0.5, y:2.0, Hy = 990.1580907138996
Node x:0.5, y:2.0, Je = 0
Node x:0.5, y:2.0, Js = 0
Node x:0.5, y:2.0, Mux = 1
Node x:0.5, y:2.0, Muy = 1
Node x:0.5, y:2.0, Pe = 0
Node x:0.5, y:2.0, Ph = 0

 Nodal results 
Node x:0.5, y:2.5, Vector potential = 8.454645724682516e-008
Node x:0.5, y:2.5, Bx = 7.256884706913975e-005
Node x:0.5, y:2.5, By = 0.001104751052118768
Node x:0.5, y:2.5, Sigma = 0
Node x:0.5, y:2.5, E = 0.4877068973765005
Node x:0.5, y:2.5, Hx = 57.74845362766697
Node x:0.5, y:2.5, Hy = 879.1329541533697
Node x:0.5, y:2.5, Je = 0
Node x:0.5, y:2.5, Js = 0
Node x:0.5, y:2.5, Mux = 1
Node x:0.5, y:2.5, Muy = 1
Node x:0.5, y:2.5, Pe = 0
Node x:0.5, y:2.5, Ph = 0

 Nodal results 
Node x:0.5, y:3.0, Vector potential = 7.33875565608522e-008
Node x:0.5, y:3.0, Bx = 7.911430244653231e-005
Node x:0.5, y:3.0, By = 0.0009502599847303101
Node x:0.5, y:3.0, Sigma = 0
Node x:0.5, y:3.0, E = 0.3617803180149236
Node x:0.5, y:3.0, Hx = 62.95716151816423
Node x:0.5, y:3.0, Hy = 756.1928689612892
Node x:0.5, y:3.0, Je = 0
Node x:0.5, y:3.0, Js = 0
Node x:0.5, y:3.0, Mux = 1
Node x:0.5, y:3.0, Muy = 1
Node x:0.5, y:3.0, Pe = 0
Node x:0.5, y:3.0, Ph = 0

 Nodal results 
Node x:0.5, y:3.5, Vector potential = 6.189173676935232e-008
Node x:0.5, y:3.5, Bx = 8.035412823407611e-005
Node x:0.5, y:3.5, By = 0.0007953804787958685
Node x:0.5, y:3.5, Sigma = 0
Node x:0.5, y:3.5, E = 0.2542845948071673
Node x:0.5, y:3.5, Hx = 63.94378353146622
Node x:0.5, y:3.5, Hy = 632.9436741958045
Node x:0.5, y:3.5, Je = 0
Node x:0.5, y:3.5, Js = 0
Node x:0.5, y:3.5, Mux = 1
Node x:0.5, y:3.5, Muy = 1
Node x:0.5, y:3.5, Pe = 0
Node x:0.5, y:3.5, Ph = 0

 Nodal results 
Node x:0.5, y:4.0, Vector potential = 4.867615221255328e-008
Node x:0.5, y:4.0, Bx = 6.677039495158672e-005
Node x:0.5, y:4.0, By = 0.0006434762866099819
Node x:0.5, y:4.0, Sigma = 0
Node x:0.5, y:4.0, E = 0.1665238237495294
Node x:0.5, y:4.0, Hx = 53.1341920437158
Node x:0.5, y:4.0, Hy = 512.062158881979
Node x:0.5, y:4.0, Je = 0
Node x:0.5, y:4.0, Js = 0
Node x:0.5, y:4.0, Mux = 1
Node x:0.5, y:4.0, Muy = 1
Node x:0.5, y:4.0, Pe = 0
Node x:0.5, y:4.0, Ph = 0

 Nodal results 
Node x:0.5, y:4.5, Vector potential = 4.438596170541305e-008
Node x:0.5, y:4.5, Bx = 7.341817243482622e-005
Node x:0.5, y:4.5, By = 0.0004882481341539791
Node x:0.5, y:4.5, Sigma = 0
Node x:0.5, y:4.5, E = 0.09699557494745405
Node x:0.5, y:4.5, Hx = 58.42432527887863
Node x:0.5, y:4.5, Hy = 388.5355200300031
Node x:0.5, y:4.5, Je = 0
Node x:0.5, y:4.5, Js = 0
Node x:0.5, y:4.5, Mux = 1
Node x:0.5, y:4.5, Muy = 1
Node x:0.5, y:4.5, Pe = 0
Node x:0.5, y:4.5, Ph = 0

 Nodal results 
Node x:0.5, y:5.0, Vector potential = 2.47535074986319e-008
Node x:0.5, y:5.0, Bx = 8.808470599403718e-005
Node x:0.5, y:5.0, By = 0.0003223086623381197
Node x:0.5, y:5.0, Sigma = 0
Node x:0.5, y:5.0, E = 0.04442085653620412
Node x:0.5, y:5.0, Hx = 70.0955818487366
Node x:0.5, y:5.0, Hy = 256.4850840622418
Node x:0.5, y:5.0, Je = 0
Node x:0.5, y:5.0, Js = 0
Node x:0.5, y:5.0, Mux = 1
Node x:0.5, y:5.0, Muy = 1
Node x:0.5, y:5.0, Pe = 0
Node x:0.5, y:5.0, Ph = 0

 Nodal results 
Node x:1.0, y:0.0, Vector potential = 4.87842913336531e-007
Node x:1.0, y:0.0, Bx = 2.530560975111447e-005
Node x:1.0, y:0.0, By = 0.001564824396305018
Node x:1.0, y:0.0, Sigma = 0
Node x:1.0, y:0.0, E = 0.9745517780438087
Node x:1.0, y:0.0, Hx = 20.13756439922168
Node x:1.0, y:0.0, Hy = 1245.247688713673
Node x:1.0, y:0.0, Je = 0
Node x:1.0, y:0.0, Js = 0
Node x:1.0, y:0.0, Mux = 1
Node x:1.0, y:0.0, Muy = 1
Node x:1.0, y:0.0, Pe = 0
Node x:1.0, y:0.0, Ph = 0

 Nodal results 
Node x:1.0, y:0.5, Vector potential = 4.735434738132945e-007
Node x:1.0, y:0.5, Bx = 5.407674260808734e-005
Node x:1.0, y:0.5, By = 0.001517668972371233
Node x:1.0, y:0.5, Sigma = 0
Node x:1.0, y:0.5, E = 0.9176250942154245
Node x:1.0, y:0.5, Hx = 43.03290446192606
Node x:1.0, y:0.5, Hy = 1207.722594650394
Node x:1.0, y:0.5, Je = 0
Node x:1.0, y:0.5, Js = 0
Node x:1.0, y:0.5, Mux = 1
Node x:1.0, y:0.5, Muy = 1
Node x:1.0, y:0.5, Pe = 0
Node x:1.0, y:0.5, Ph = 0

 Nodal results 
Node x:1.0, y:1.0, Vector potential = 4.5446347550123e-007
Node x:1.0, y:1.0, Bx = 7.850490674173581e-005
Node x:1.0, y:1.0, By = 0.001460245811694986
Node x:1.0, y:1.0, Sigma = 0
Node x:1.0, y:1.0, E = 0.8508744953422381
Node x:1.0, y:1.0, Hx = 62.47221982457756
Node x:1.0, y:1.0, Hy = 1162.02669530247
Node x:1.0, y:1.0, Je = 0
Node x:1.0, y:1.0, Js = 0
Node x:1.0, y:1.0, Mux = 1
Node x:1.0, y:1.0, Muy = 1
Node x:1.0, y:1.0, Pe = 0
Node x:1.0, y:1.0, Ph = 0

 Nodal results 
Node x:1.0, y:1.5, Vector potential = 4.286769660285915e-007
Node x:1.0, y:1.5, Bx = 9.570944226021597e-005
Node x:1.0, y:1.5, By = 0.001365718477453848
Node x:1.0, y:1.5, Sigma = 0
Node x:1.0, y:1.5, E = 0.7457790775543671
Node x:1.0, y:1.5, Hx = 76.16315418140857
Node x:1.0, y:1.5, Hy = 1086.804232793586
Node x:1.0, y:1.5, Je = 0
Node x:1.0, y:1.5, Js = 0
Node x:1.0, y:1.5, Mux = 1
Node x:1.0, y:1.5, Muy = 1
Node x:1.0, y:1.5, Pe = 0
Node x:1.0, y:1.5, Ph = 0

 Nodal results 
Node x:1.0, y:2.0, Vector potential = 3.887772578440871e-007
Node x:1.0, y:2.0, Bx = 0.0001241212651044659
Node x:1.0, y:2.0, By = 0.001258342311916783
Node x:1.0, y:2.0, Sigma = 0
Node x:1.0, y:2.0, E = 0.6361548260339688
Node x:1.0, y:2.0, Hx = 98.77256442097662
Node x:1.0, y:2.0, Hy = 1001.356995216198
Node x:1.0, y:2.0, Je = 0
Node x:1.0, y:2.0, Js = 0
Node x:1.0, y:2.0, Mux = 1
Node x:1.0, y:2.0, Muy = 1
Node x:1.0, y:2.0, Pe = 0
Node x:1.0, y:2.0, Ph = 0

 Nodal results 
Node x:1.0, y:2.5, Vector potential = 3.565573781926805e-007
Node x:1.0, y:2.5, Bx = 0.0001433149274012328
Node x:1.0, y:2.5, By = 0.001120030710558225
Node x:1.0, y:2.5, Sigma = 0
Node x:1.0, y:2.5, E = 0.5073095486904844
Node x:1.0, y:2.5, Hx = 114.0463955738116
Node x:1.0, y:2.5, Hy = 891.2921200003472
Node x:1.0, y:2.5, Je = 0
Node x:1.0, y:2.5, Js = 0
Node x:1.0, y:2.5, Mux = 1
Node x:1.0, y:2.5, Muy = 1
Node x:1.0, y:2.5, Pe = 0
Node x:1.0, y:2.5, Ph = 0

 Nodal results 
Node x:1.0, y:3.0, Vector potential = 3.004466946213601e-007
Node x:1.0, y:3.0, Bx = 0.0001584431546866567
Node x:1.0, y:3.0, By = 0.0009745556289472318
Node x:1.0, y:3.0, Sigma = 0
Node x:1.0, y:3.0, E = 0.3878856262864995
Node x:1.0, y:3.0, Hx = 126.0850563372761
Node x:1.0, y:3.0, Hy = 775.5267283249146
Node x:1.0, y:3.0, Je = 0
Node x:1.0, y:3.0, Js = 0
Node x:1.0, y:3.0, Mux = 1
Node x:1.0, y:3.0, Muy = 1
Node x:1.0, y:3.0, Pe = 0
Node x:1.0, y:3.0, Ph = 0

 Nodal results 
Node x:1.0, y:3.5, Vector potential = 2.451575329915336e-007
Node x:1.0, y:3.5, Bx = 0.0001663940544115958
Node x:1.0, y:3.5, By = 0.0008093170880864764
Node x:1.0, y:3.5, Sigma = 0
Node x:1.0, y:3.5, E = 0.271630191151702
Node x:1.0, y:3.5, Hx = 132.4121813035363
Node x:1.0, y:3.5, Hy = 644.0340754885081
Node x:1.0, y:3.5, Je = 0
Node x:1.0, y:3.5, Js = 0
Node x:1.0, y:3.5, Mux = 1
Node x:1.0, y:3.5, Muy = 1
Node x:1.0, y:3.5, Pe = 0
Node x:1.0, y:3.5, Ph = 0

 Nodal results 
Node x:1.0, y:4.0, Vector potential = 2.01806413244429e-007
Node x:1.0, y:4.0, Bx = 0.0001380499851043779
Node x:1.0, y:4.0, By = 0.0006482754418413323
Node x:1.0, y:4.0, Sigma = 0
Node x:1.0, y:4.0, E = 0.1747994151867122
Node x:1.0, y:4.0, Hx = 109.8566876156213
Node x:1.0, y:4.0, Hy = 515.8812052706528
Node x:1.0, y:4.0, Je = 0
Node x:1.0, y:4.0, Js = 0
Node x:1.0, y:4.0, Mux = 1
Node x:1.0, y:4.0, Muy = 1
Node x:1.0, y:4.0, Pe = 0
Node x:1.0, y:4.0, Ph = 0

 Nodal results 
Node x:1.0, y:4.5, Vector potential = 1.593227572600457e-007
Node x:1.0, y:4.5, Bx = 0.000147536057656331
Node x:1.0, y:4.5, By = 0.0004897062984366372
Node x:1.0, y:4.5, Sigma = 0
Node x:1.0, y:4.5, E = 0.1040790356518641
Node x:1.0, y:4.5, Hx = 117.4054643014798
Node x:1.0, y:4.5, Hy = 389.6958902971285
Node x:1.0, y:4.5, Je = 0
Node x:1.0, y:4.5, Js = 0
Node x:1.0, y:4.5, Mux = 1
Node x:1.0, y:4.5, Muy = 1
Node x:1.0, y:4.5, Pe = 0
Node x:1.0, y:4.5, Ph = 0

 Nodal results 
Node x:1.0, y:5.0, Vector potential = 1.070992710230841e-007
Node x:1.0, y:5.0, Bx = 0.0001614256065902251
Node x:1.0, y:5.0, By = 0.0003238920754669954
Node x:1.0, y:5.0, Sigma = 0
Node x:1.0, y:5.0, E = 0.05210904048289465
Node x:1.0, y:5.0, Hx = 128.4584161522098
Node x:1.0, y:5.0, Hy = 257.7451241943276
Node x:1.0, y:5.0, Je = 0
Node x:1.0, y:5.0, Js = 0
Node x:1.0, y:5.0, Mux = 1
